id,clockCycles,assemblyInstr
values_27,545,
values_84,246,
values_65,546,
values_96,512,
values_28,393,
values_54,416,
values_15,685,
values_87,331,
values_59,325,
values_5,165,
values_92,212,
values_0,319,
values_77,513,
values_17,160,
values_12,37,
values_33,43,
values_25,375,
values_19,79,
values_97,484,
values_81,478,
values_8,159,
values_73,640,
values_89,629,
values_82,499,
values_34,96,
values_70,370,
values_29,408,
values_51,596,
values_57,298,
values_88,85,
values_23,398,
values_45,20,
values_66,396,
values_36,889,
values_56,298,
values_26,328,
values_43,375,
values_52,784,
values_98,389,
values_61,125,
values_44,409,
values_68,23,
values_41,577,
values_85,204,
values_79,823,
values_71,44,
values_63,362,
values_20,285,
values_74,700,
values_72,497,
values_86,439,
values_75,16,
values_55,494,
values_14,365,
values_47,100,
values_91,256,
values_64,267,
values_11,527,
values_49,42,
values_62,660,
values_80,319,
values_39,125,
values_90,560,
values_53,689,
values_94,189,
values_7,658,
values_31,313,
values_93,88,
values_38,330,
values_58,614,
values_78,330,
values_50,722,
values_3,659,
values_13,503,
values_83,119,
values_1,310,
values_21,85,
values_32,83,
values_22,864,
values_9,940,
values_6,253,
values_76,749,
values_18,729,
values_16,418,
values_40,681,
values_2,265,
values_60,535,
values_99,136,
values_48,570,
values_69,229,
values_46,74,
values_24,102,
values_95,519,
values_42,472,
values_37,182,
values_10,37,
values_67,205,
values_35,135,
values_30,352,
values_4,608,
