id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,2000,,3196,0.626
values_84,1090,,1803,0.605
values_65,23957,,35188,0.681
values_96,30852,,36854,0.837
values_28,1994,,3210,0.621
values_54,66210,,78418,0.844
values_15,3709,,4865,0.762
values_87,30733,,36315,0.846
values_59,192262,,186198,1.033
values_5,2533,,3391,0.747
values_92,66099,,78196,0.845
values_0,30831,,36874,0.836
values_77,3093,,4095,0.755
values_17,107669,,127811,0.842
values_12,212582,,256516,0.829
values_33,17389,,25576,0.680
values_25,3093,,4101,0.754
values_19,212645,,258194,0.824
values_97,66319,,78369,0.846
values_81,2996,,3734,0.802
values_8,1997,,3195,0.625
values_73,17389,,25667,0.677
values_89,4314,,5241,0.823
values_82,12144,,18175,0.668
values_34,43063,,62974,0.684
values_70,66143,,77876,0.849
values_29,23945,,35121,0.682
values_51,1093,,1787,0.612
values_57,56223,,80186,0.701
values_88,56253,,79894,0.704
values_23,3394,,4477,0.758
values_45,3093,,4077,0.759
values_66,3389,,5296,0.640
values_36,2533,,3358,0.754
values_56,8240,,12613,0.653
values_26,,,456,0
values_43,192655,,187015,1.030
values_52,212609,,255640,0.832
values_98,66223,,78305,0.846
values_61,56268,,80749,0.697
values_44,2006,,3212,0.625
values_68,12126,,18131,0.669
values_41,30885,,36743,0.841
values_85,31188,,36920,0.845
values_79,32523,,47547,0.684
values_71,1093,,1791,0.610
values_63,67,,203,0.330
values_20,66086,,78209,0.845
values_74,23891,,34976,0.683
values_72,67,,203,0.330
values_86,71682,,102338,0.700
values_75,1090,,1788,0.610
values_55,3093,,4110,0.753
values_14,107565,,128091,0.840
values_47,12123,,18333,0.661
values_91,2996,,3707,0.808
values_64,56289,,80517,0.699
values_11,12105,,18475,0.655
values_49,5415,,8340,0.649
values_62,66253,,78140,0.848
values_80,66262,,78469,0.844
values_39,32505,,47738,0.681
values_90,2533,,3397,0.746
values_53,3093,,4041,0.765
values_94,546,,950,0.575
values_7,212588,,256904,0.827
values_31,43027,,61867,0.695
values_93,56283,,80477,0.699
values_38,546,,952,0.574
values_58,3394,,4489,0.756
values_78,56214,,81049,0.694
values_50,2533,,3358,0.754
values_3,107738,,129261,0.833
values_13,3394,,4465,0.760
values_83,3709,,4904,0.756
values_1,2006,,3149,0.637
values_21,3093,,4095,0.755
values_32,32526,,47286,0.688
values_22,1093,,1784,0.613
values_9,5424,,8322,0.652
values_6,2533,,3385,0.748
values_76,66283,,78381,0.846
values_18,192427,,186575,1.031
values_16,1997,,3197,0.625
values_40,4314,,5268,0.819
values_2,3394,,4435,0.765
values_60,2000,,3187,0.628
values_99,23891,,35329,0.676
values_48,212483,,255500,0.832
values_69,540,,948,0.570
values_46,540,,959,0.563
values_24,3093,,4095,0.755
values_95,43003,,62691,0.686
values_42,2996,,3746,0.800
values_37,3093,,4095,0.755
values_10,4314,,5280,0.817
values_67,2274,,3051,0.745
values_35,3093,,4086,0.757
values_30,67,,206,0.325
values_4,107846,,128769,0.838
