id,cInstr
values_27,3196
values_84,1803
values_65,35188
values_96,36854
values_28,3210
values_54,78418
values_15,4865
values_87,36315
values_59,186198
values_5,3391
values_92,78196
values_0,36874
values_77,4095
values_17,127811
values_12,256516
values_33,25576
values_25,4101
values_19,258194
values_97,78369
values_81,3734
values_8,3195
values_73,25667
values_89,5241
values_82,18175
values_34,62974
values_70,77876
values_29,35121
values_51,1787
values_57,80186
values_88,79894
values_23,4477
values_45,4077
values_66,5296
values_36,3358
values_56,12613
values_26,456
values_43,187015
values_52,255640
values_98,78305
values_61,80749
values_44,3212
values_68,18131
values_41,36743
values_85,36920
values_79,47547
values_71,1791
values_63,203
values_20,78209
values_74,34976
values_72,203
values_86,102338
values_75,1788
values_55,4110
values_14,128091
values_47,18333
values_91,3707
values_64,80517
values_11,18475
values_49,8340
values_62,78140
values_80,78469
values_39,47738
values_90,3397
values_53,4041
values_94,950
values_7,256904
values_31,61867
values_93,80477
values_38,952
values_58,4489
values_78,81049
values_50,3358
values_3,129261
values_13,4465
values_83,4904
values_1,3149
values_21,4095
values_32,47286
values_22,1784
values_9,8322
values_6,3385
values_76,78381
values_18,186575
values_16,3197
values_40,5268
values_2,4435
values_60,3187
values_99,35329
values_48,255500
values_69,948
values_46,959
values_24,4095
values_95,62691
values_42,3746
values_37,4095
values_10,5280
values_67,3051
values_35,4086
values_30,206
values_4,128769
