id,cInstr
values_27,16
values_84,43
values_65,43
values_96,16
values_28,16
values_54,16
values_15,16
values_87,16
values_59,52
values_5,16
values_92,16
values_0,16
values_77,52
values_17,16
values_12,16
values_33,52
values_25,34
values_19,16
values_97,16
values_81,16
values_8,16
values_73,25
values_89,16
values_82,16
values_34,52
values_70,34
values_29,16
values_51,16
values_57,34
values_88,16
values_23,16
values_45,34
values_66,16
values_36,16
values_56,16
values_26,16
values_43,34
values_52,61
values_98,16
values_61,16
values_44,52
values_68,0
values_41,16
values_85,16
values_79,16
values_71,16
values_63,16
values_20,16
values_74,43
values_72,16
values_86,16
values_75,13
values_55,16
values_14,16
values_47,52
values_91,16
values_64,16
values_11,16
values_49,52
values_62,16
values_80,34
values_39,16
values_90,43
values_53,16
values_94,16
values_7,16
values_31,34
values_93,25
values_38,16
values_58,13
values_78,34
values_50,43
values_3,52
values_13,16
values_83,61
values_1,52
values_21,52
values_32,16
values_22,16
values_9,16
values_6,16
values_76,43
values_18,16
values_16,16
values_40,43
values_2,43
values_60,52
values_99,16
values_48,52
values_69,16
values_46,16
values_24,16
values_95,16
values_42,34
values_37,16
values_10,16
values_67,25
values_35,16
values_30,61
values_4,16
