,FUNCTION,BugsDelivered,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,CoverageEstimation,SCALAR_INPUT,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,min_Slack
0,astar,2.12971,508927.51,851,0.01,6389.13,28273.75,571,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
1,astar,2.859836667,586809.43,1081,0.01,8579.51,32600.52,710,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,18,2,13,6,10,11,4,10,0,6,11,0,9,6,0,2,3,7,5,5,5,5,2,2,0,0,1.11022e-16
2,astar,6.278476667,2279087.48,2293,0.01,18835.43,126615.97,1446,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,26,3,61,14,22,19,29,35,0,65,0,18,4,36,16,25,10,52,0,27,4,36,28,4,0,56,0,26,1.11022e-16
3,astar,2.26592,503034.0,891,0.01,6797.76,27946.33,595,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,3,0,1,3,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
4,astar,2.1392,502530.58,853,0.01,6417.6,27918.37,573,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
5,astar,3.000446667,632833.07,1130,0.01,9001.34,35157.39,738,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8,0,27,11,6,14,10,11,0,18,0,4,15,14,9,4,0,19,11,9,7,3,9,3,0,4,0,6,1.11022e-16
6,astar,5.101906667,1506286.62,1870,0.01,15305.72,83682.59,1199,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,12,3,50,0,3,16,24,22,0,71,0,15,28,13,20,0,0,30,6,11,26,22,23,3,3,48,0,20,1.11022e-16
7,astar,2.861826667,600640.53,1085,0.01,8585.48,33368.92,714,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4,0,20,5,12,11,9,8,1,5,0,3,7,6,9,12,0,0,0,10,5,3,7,7,0,3,0,4,1.11022e-16
8,astar,3.04585,625414.26,1143,0.01,9137.55,34745.24,751,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,21,8,13,6,10,17,0,25,0,4,13,3,10,10,0,11,7,10,11,1,8,8,2,4,1,4,1.11022e-16
9,astar,2.35504,514940.63,920,0.01,7065.12,28607.81,613,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,1,0,3,1,0,3,0,1,0,1,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1.11022e-16
10,astar,2.278633333,505856.86,896,0.01,6835.9,28103.16,600,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,0,4,1,0,2,0,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,1.11022e-16
11,astar,2.36488,513398.56,923,0.01,7094.64,28522.14,616,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,1,0,7,2,0,5,2,0,1,0,2,2,3,5,0,0,0,1,0,1,1,1,1,0,0,0,1.11022e-16
