inputName,size,arr[size]
values_27,21,"{68, 14, -113, -89, 43, 96, -125, -114, -27, -104, 111, -62, -110, 108, -75, 56, -77, 15, -123, -7, -94"
values_84,6,"{88, -75, 103, 84, 10, -46"
values_65,20,"{91, -75, 125, -119, 88, -74, -35, -20, 51, 53, 88, -69, 66, -33, -100, -100, 1, 85, 84, 33"
values_96,22,"{88, -73, 10, -88, -58, -29, -71, 116, -29, -64, -107, -53, -89, -10, -32, -104, -36, -21, 104, 99, 38, 35"
values_28,14,"{-61, 41, -85, -9, 78, 111, 8, 114, -27, 99, -87, -59, -26, 95"
values_54,18,"{-34, -102, -99, 77, -93, -38, -98, -22, -110, -30, -24, -48, 74, -64, 32, -39, 82, 51"
values_15,4,"{102, -105, -113, 55"
values_87,10,"{-32, 29, 52, -6, 55, -40, -74, 80, 121, -66"
values_59,22,"{40, -29, -125, 100, 31, -106, 121, 54, -49, 8, 11, 23, -29, -18, -108, 77, 55, 21, 27, 100, -10, -1"
values_5,2,"{-3, -121"
values_92,8,"{-45, 125, -89, -46, -108, -43, 25, -111"
values_0,7,"{90, 26, 35, -53, 57, -87, -59"
values_77,5,"{-46, 12, -16, 54, 42"
values_17,16,"{124, 10, 44, -60, -104, 3, 78, -73, -64, -28, -109, 99, 5, 68, -16, -67"
values_12,5,"{-51, -116, -27, 92, -5"
values_33,7,"{81, 83, -20, 24, 99, -13, 53"
values_25,16,"{13, 125, -62, -65, -95, -91, -87, 50, 9, 0, -56, -90, -105, -93, 102, 116"
values_19,24,"{-107, 4, -77, 109, -124, -67, 13, 97, -98, -123, 74, 70, -35, -39, -29, 40, -23, 35, 107, 87, -48, 51, -3, 74"
values_97,2,"{-108, 97"
values_81,5,"{-22, 83, 92, -91, -31"
values_8,12,"{83, -67, 78, -72, -124, -45, -25, 78, -50, -117, -97, -123"
values_73,17,"{-71, -114, 27, -6, -79, -116, -93, -99, 69, -113, 71, -118, 115, 57, 111, -85, -50"
values_89,3,"{123, 20, 70"
values_82,5,"{89, -57, -96, -41, 23"
values_34,28,"{-69, -20, 115, -24, 2, 41, 63, -81, 67, -57, 116, -28, -40, 41, -74, 105, 12, 22, -58, 61, 83, -37, 9, -74, -34, 42, 112, 55"
values_70,16,"{-59, 110, -32, -108, -117, -53, -72, -94, 86, -71, 60, 101, -60, 77, 62, -105"
values_29,16,"{0, -91, 49, 93, 105, -115, -99, 22, -71, 120, -33, 73, 24, 47, -36, -74"
values_51,18,"{-20, 98, 67, -125, 2, -116, 75, -102, 97, -19, -124, -51, -51, -10, 95, 13, 126, -117"
