feature	avg
ID_VAL	0.04037118696184632
BugsDelivered	0.031837341283047146
DifficultyLevel	0.10798183970323032
DistinctOperands	0.0439257585790848
DistinctOperators	0.024771784070670277
Effort	0.018070291821934766
ProgramLength	0.03402106509399829
ProgramLevel	0.002058017243770184
ProgramVolume	0.030902958418596686
TimeToImplement	0.023974882869330867
TotalOperators	0.030205094981511166
Total_Operands	0.06839211380219093
VocabularySize	0.02271333385318721
Sloc	0.2579223313882069
DecisionPoint	0.07114591506966968
GlobalVariables	0.10839095459348827
If	0.1249898038034879
Loop	0.11655640306803065
Goto	0.34093818825828953
Assignment	0.14372612128741735
ExitPoint	0.11312507759095114
Function.1	0.11420401071881088
FunctionCall	0.125899565091643
PointerDereferencing	0.3633494082363172
CyclomaticComplexity	0.19262709831824326
SyntacticallyReachableFunctions	0.10291800223363563
SemanticallyReachedFunctions	0.15094054943857219
CoverageEstimation	0.0012416953115412244
SCALAR_INPUT	0.04341450666968081
RANGE_SCALAR_VALUES	0.04881381162562557
SCALAR_INDEX_INPUT	0.0006233999722224995
RANGE_SCALAR_INDEX_VALUES	0.0007138707862587168
ARRAY_INPUT	0.45575507523179865
RANGE_ARRAY_INPUT	0.016740810310554285
cInstr	0.03748421781136872
Bugs_Delivered	0.02827078687873184
SS_VAL_1	0.07806093283066459
SV_VAL_1	0.0029239767051321788
SV_VAL_2	3.872797122920562e-07
V_VAL_1	0.01931580086561081
V_VAL_2	0.009794096751927703
V_VAL_3	0.012595398268933291
V_VAL_4	0.02133693150530353
V_VAL_5	0.008870011560408706
V_VAL_6	0.013514753025172715
V_VAL_7	0.011496188356171302
V_VAL_8	0.004540800509194792
V_VAL_9	0.008357807786880115
V_VAL_10	0.01744398986035119
V_VAL_11	0.0016190984243754348
V_VAL_12	0.002630886530077104
V_VAL_13	0.014925922683916976
V_VAL_14	0.0010192711254457584
V_VAL_15	0.0030864909916730777
V_VAL_16	0.0021440786596822916
V_VAL_17	0.0006483356456344173
V_VAL_18	0.002005602206026895
V_VAL_19	0.0014144700585147078
V_VAL_20	0.000898440027612441
V_VAL_21	0.014264315880144632
V_VAL_22	0.012220892574871375
V_VAL_23	0.0042165582156410055
V_VAL_24	0.0007650980540404226
V_VAL_25	0.00027970975096455156
V_VAL_26	0.007160171206431723
V_VAL_27	0.0003508964988406923
V_VAL_28	0.00038960518036419863
M_VAL_1	0.10852359775567041
M_VAL_2	0.00925762398402381
M_VAL_3	0.012057598060295983
M_VAL_4	0.0375288722728256
M_VAL_5	0.007951796946179953
M_VAL_6	0.01788513379074657
M_VAL_7	0.009265656460095584
M_VAL_8	0.010072304164709375
M_VAL_9	0.023556361391548205
M_VAL_10	0.007501101947503343
M_VAL_11	0.06956327768924342
M_VAL_12	0.012062758253405744
M_VAL_13	0.02141936223971877
M_VAL_14	0.013711669254815451
M_VAL_15	0.018477813332875154
M_VAL_16	0.00520940591202376
M_VAL_17	0.084372573281241
M_VAL_18	0.01689185855925669
M_VAL_19	0.03420673349072992
M_VAL_20	0.012025581699824164
M_VAL_21	0.003612532147311573
M_VAL_22	0.00399307793577126
M_VAL_23	0.00455952953519987
M_VAL_24	0.010795003416715177
M_VAL_25	0.0049838961995713905
M_VAL_26	0.0015407264381350236
M_VAL_27	0.007043230348699979
M_VAL_28	0.01907813149010297
M_VAL_29	0.015516000303900278
M_VAL_30	0.011622844135681699
M_VAL_31	0.005406371406423254
M_VAL_32	0.014999384759088602
