feature	avg
ID_VAL	0.037833218314314396
BugsDelivered	0.029870431035503586
DifficultyLevel	0.10776871544596678
DistinctOperands	0.04511236730882412
DistinctOperators	0.028841527546056223
Effort	0.029582813142131282
ProgramLength	0.036879992619141336
ProgramLevel	0.0042376156150476735
ProgramVolume	0.0326346571892093
TimeToImplement	0.022514895933504225
TotalOperators	0.03245458137052211
Total_Operands	0.07007378304154249
VocabularySize	0.02623164607354838
Sloc	0.19526750402126003
DecisionPoint	0.11171018045772114
GlobalVariables	0.12088347203886947
If	0.11546569813805214
Loop	0.12729631792903054
Goto	0.33208617155866127
Assignment	0.14437522008182851
ExitPoint	0.1046412967903887
Function.1	0.12117994566059884
FunctionCall	0.09466099583912127
PointerDereferencing	0.37548037373602583
CyclomaticComplexity	0.2527620351720954
SyntacticallyReachableFunctions	0.11612350685762045
SemanticallyReachedFunctions	0.14492314619522673
CoverageEstimation	0.0006473384678096654
SCALAR_INPUT	0.023806127998752313
RANGE_SCALAR_VALUES	0.04740528935123921
SCALAR_INDEX_INPUT	0.00023128833948381743
RANGE_SCALAR_INDEX_VALUES	0.0003266453470566983
ARRAY_INPUT	0.4428605334881023
RANGE_ARRAY_INPUT	0.014712150399428515
cInstr	0.03627620476104208
Bugs_Delivered	0.030673134018016485
SS_VAL_1	0.07889187875516696
SV_VAL_1	0.0018663399230268447
SV_VAL_2	3.7314144374087273e-07
V_VAL_1	0.024728096909752813
V_VAL_2	0.009041866571378674
V_VAL_3	0.010795043805503168
V_VAL_4	0.02391523619603677
V_VAL_5	0.01542937376223138
V_VAL_6	0.007903872474360632
V_VAL_7	0.011575875210771719
V_VAL_8	0.004757719704898222
V_VAL_9	0.008295135058353508
V_VAL_10	0.016846010350257748
V_VAL_11	0.002468214993550203
V_VAL_12	0.0008645040714574198
V_VAL_13	0.01588702724532621
V_VAL_14	0.0011266735479349111
V_VAL_15	0.0022199445305934188
V_VAL_16	0.0022430300787762477
V_VAL_17	0.0006452723990397615
V_VAL_18	0.0015556301359491511
V_VAL_19	0.0016643937723692923
V_VAL_20	0.0007400937165041868
V_VAL_21	0.012994147657075513
V_VAL_22	0.004898264481276428
V_VAL_23	0.0011255636180205677
V_VAL_24	0.0006140453190505993
V_VAL_25	0.00042070958186322244
V_VAL_26	0.003762685171092407
V_VAL_27	0.00041025439097757316
V_VAL_28	0.0005173247250365444
M_VAL_1	0.11033291806717807
M_VAL_2	0.010936317054438307
M_VAL_3	0.012317001808911803
M_VAL_4	0.038436742941878876
M_VAL_5	0.008413491154740696
M_VAL_6	0.01493929450125527
M_VAL_7	0.010521703399907135
M_VAL_8	0.007241272368309568
M_VAL_9	0.02289635475872163
M_VAL_10	0.007268558106259218
M_VAL_11	0.0627371231351875
M_VAL_12	0.011452072759723556
M_VAL_13	0.023758947607766874
M_VAL_14	0.015312372660955453
M_VAL_15	0.017685763953287848
M_VAL_16	0.005167430170461606
M_VAL_17	0.08655141276815748
M_VAL_18	0.011904595519554011
M_VAL_19	0.0350379988703276
M_VAL_20	0.010598614244126715
M_VAL_21	0.003149738069657515
M_VAL_22	0.004101436106049887
M_VAL_23	0.007357580586356898
M_VAL_24	0.009842046704604366
M_VAL_25	0.005189169719298836
M_VAL_26	0.003251326119482696
M_VAL_27	0.004364081883181163
M_VAL_28	0.01697453020968174
M_VAL_29	0.018359105423657002
M_VAL_30	0.008705240101439395
M_VAL_31	0.005962327244571892
M_VAL_32	0.015198009399050102
