id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,1027,,1356,0.757
values_84,42,,58,0.724
values_65,359,,478,0.751
values_96,1628,,2098,0.776
values_28,1195,,1512,0.790
values_54,1044,,1350,0.773
values_15,1481,,1862,0.795
values_87,1711,,2070,0.827
values_59,500,,668,0.749
values_5,439,,606,0.724
values_92,232,,312,0.744
values_0,122,,182,0.670
values_77,2435,,3026,0.805
values_17,1642,,2016,0.814
values_12,191,,280,0.682
values_33,2079,,2616,0.795
values_25,21,,42,0.500
values_19,1696,,2094,0.810
values_97,1956,,2458,0.796
values_81,834,,1054,0.791
values_8,55,,78,0.705
values_73,253,,342,0.740
values_89,2430,,3010,0.807
values_82,56,,92,0.609
values_34,1284,,1632,0.787
values_70,126,,166,0.759
values_29,2703,,3370,0.802
values_51,142,,216,0.657
values_57,140,,214,0.654
values_88,27,,46,0.587
values_23,1941,,2494,0.778
values_45,129,,160,0.806
values_66,1082,,1400,0.773
values_36,263,,382,0.688
values_56,1246,,1616,0.771
values_26,2528,,3176,0.796
values_43,303,,438,0.692
values_52,1216,,1614,0.753
values_98,2171,,2770,0.784
values_61,178,,240,0.742
values_44,2142,,2620,0.818
values_68,1965,,2392,0.821
values_41,53,,94,0.564
values_85,128,,182,0.703
values_79,50,,74,0.676
values_71,1332,,1708,0.780
values_63,16,,24,0.667
values_20,222,,316,0.703
values_74,198,,312,0.635
values_72,785,,988,0.795
values_86,2121,,2476,0.857
values_75,11,,20,0.550
values_55,323,,454,0.711
values_14,101,,160,0.631
values_47,915,,1170,0.782
values_91,2314,,2766,0.837
values_64,319,,390,0.818
values_11,1386,,1768,0.784
values_49,78,,118,0.661
values_62,579,,778,0.744
values_80,797,,1070,0.745
values_39,352,,426,0.826
values_90,1442,,1888,0.764
values_53,1366,,1718,0.795
values_94,16,,24,0.667
values_7,544,,714,0.762
values_31,539,,686,0.786
values_93,564,,748,0.754
values_38,1986,,2592,0.766
values_58,2580,,3262,0.791
values_78,674,,884,0.762
values_50,424,,546,0.777
values_3,657,,832,0.790
values_13,16,,38,0.421
values_83,592,,788,0.751
values_1,360,,502,0.717
values_21,190,,296,0.642
values_32,320,,428,0.748
values_22,2657,,3380,0.786
values_9,272,,374,0.727
values_6,1986,,2478,0.801
values_76,80,,130,0.615
values_18,2064,,2536,0.814
values_16,1015,,1292,0.786
values_40,66,,114,0.579
values_2,125,,188,0.665
values_60,1026,,1252,0.819
values_99,219,,318,0.689
values_48,2380,,2964,0.803
values_69,2147,,2630,0.816
values_46,96,,156,0.615
values_24,169,,246,0.687
values_95,2458,,3162,0.777
values_42,1366,,1788,0.764
values_37,27,,46,0.587
values_10,71,,104,0.683
values_67,181,,270,0.670
values_35,1029,,1344,0.766
values_30,2630,,3260,0.807
values_4,1587,,1978,0.802
