id,clockCycles,assemblyInstr
values_27,1027,
values_84,42,
values_65,359,
values_96,1628,
values_28,1195,
values_54,1044,
values_15,1481,
values_87,1711,
values_59,500,
values_5,439,
values_92,232,
values_0,122,
values_77,2435,
values_17,1642,
values_12,191,
values_33,2079,
values_25,21,
values_19,1696,
values_97,1956,
values_81,834,
values_8,55,
values_73,253,
values_89,2430,
values_82,56,
values_34,1284,
values_70,126,
values_29,2703,
values_51,142,
values_57,140,
values_88,27,
values_23,1941,
values_45,129,
values_66,1082,
values_36,263,
values_56,1246,
values_26,2528,
values_43,303,
values_52,1216,
values_98,2171,
values_61,178,
values_44,2142,
values_68,1965,
values_41,53,
values_85,128,
values_79,50,
values_71,1332,
values_63,16,
values_20,222,
values_74,198,
values_72,785,
values_86,2121,
values_75,11,
values_55,323,
values_14,101,
values_47,915,
values_91,2314,
values_64,319,
values_11,1386,
values_49,78,
values_62,579,
values_80,797,
values_39,352,
values_90,1442,
values_53,1366,
values_94,16,
values_7,544,
values_31,539,
values_93,564,
values_38,1986,
values_58,2580,
values_78,674,
values_50,424,
values_3,657,
values_13,16,
values_83,592,
values_1,360,
values_21,190,
values_32,320,
values_22,2657,
values_9,272,
values_6,1986,
values_76,80,
values_18,2064,
values_16,1015,
values_40,66,
values_2,125,
values_60,1026,
values_99,219,
values_48,2380,
values_69,2147,
values_46,96,
values_24,169,
values_95,2458,
values_42,1366,
values_37,27,
values_10,71,
values_67,181,
values_35,1029,
values_30,2630,
values_4,1587,
