inputName,dim,a[dim]
values_27,18,"{-26, 68, 97, 78, 82, 120, -34, -38, -103, 22, -100, -38, 81, 3, -65, -8, 66, 26"
values_84,5,"{-108, -77, 52, -20, 64"
values_65,12,"{-63, 108, 81, -28, -23, 102, -1, -120, 122, 67, 119, 91"
values_96,23,"{37, -64, 60, 54, -86, 115, 25, -30, -88, 70, 21, 28, -6, -113, -37, -126, 47, -20, -80, -73, 103, -35, 118"
values_28,20,"{-82, 64, 83, -42, -5, -74, 82, 103, -97, -53, -108, -89, 29, 90, -66, -73, 121, -87, -29, 106"
values_54,19,"{29, 41, 96, 18, -92, 3, 38, 56, -102, -72, 66, 5, -67, -111, -44, 33, 95, 100, 30"
values_15,22,"{-111, 69, -34, -43, -19, 123, 54, 39, 42, 96, 10, -102, -34, 102, 104, 21, 20, 17, -80, -93, 63, 63"
values_87,24,"{-7, 44, 7, -6, -59, 48, -74, -58, -101, -51, 77, 116, 30, 11, 126, -11, 46, 81, -86, -79, 93, 100, -37, 78"
values_59,12,"{23, -10, -17, 14, -92, 37, 103, 106, 70, -52, -19, -57"
values_5,11,"{2, 109, -48, 61, 109, 36, 111, 99, -83, -127, -93"
values_92,9,"{68, -121, -19, 65, -21, -45, 68, 53, 1"
values_0,6,"{118, -127, 103, -23, -87, -42"
values_77,27,"{-11, -124, 88, 55, 15, -7, -72, 54, 57, -64, -89, 72, 22, -32, 32, 89, 96, -58, 12, 44, 59, 10, -4, -37, -123, -64, 41"
values_17,23,"{-94, -38, 48, -78, 82, 66, 97, 43, 72, 102, 64, 114, 120, 79, 55, 74, 19, -12, -42, 115, -29, 59, 60"
values_12,8,"{105, 127, 113, -112, -113, -51, 38, 94"
values_33,25,"{33, -52, 18, 110, 92, 20, 27, -4, -24, 10, 43, -66, -66, 32, 64, -118, -89, 7, 94, -88, -124, 60, 62, 108, -19"
values_25,3,"{-28, -103, 49"
values_19,23,"{-118, 18, -93, 82, -101, 82, 26, 80, 115, 5, 88, -83, -109, -109, -127, 109, -15, 37, 59, 73, 20, -8, -82"
