id,clockCycles,assemblyInstr
values_27,1682,
values_84,1253,
values_65,1302,
values_96,280,
values_28,1672,
values_54,63,
values_15,866,
values_87,1071,
values_59,877,
values_5,107,
values_92,816,
values_0,402,
values_77,1697,
values_17,127,
values_12,8,
values_33,19,
values_25,267,
values_19,43,
values_97,1261,
values_81,37,
values_8,441,
values_73,86,
values_89,1199,
values_82,318,
values_34,679,
values_70,709,
values_29,1300,
values_51,662,
values_57,594,
values_88,358,
values_23,1515,
values_45,8,
values_66,556,
values_36,37,
values_56,8,
values_26,1534,
values_43,417,
values_52,226,
values_98,1153,
values_61,676,
values_44,859,
values_68,250,
values_41,159,
values_85,284,
values_79,727,
values_71,1281,
values_63,327,
values_20,1076,
values_74,26,
values_72,1182,
values_86,1381,
values_75,22,
values_55,12,
values_14,363,
values_47,1742,
values_91,683,
values_64,1050,
values_11,535,
values_49,98,
values_62,710,
values_80,1435,
values_39,696,
values_90,46,
values_53,86,
values_94,601,
values_7,688,
values_31,632,
values_93,1055,
values_38,138,
values_58,11,
values_78,477,
values_50,389,
values_3,8,
values_13,441,
values_83,8,
values_1,677,
values_21,37,
values_32,15,
values_22,126,
values_9,347,
values_6,49,
values_76,1141,
values_18,633,
values_16,718,
values_40,1160,
values_2,19,
values_60,86,
values_99,135,
values_48,329,
values_69,54,
values_46,931,
values_24,792,
values_95,115,
values_42,243,
values_37,594,
values_10,243,
values_67,800,
values_35,225,
values_30,1302,
values_4,1811,
