inputName,dim,a[dim]
values_27,28,"{-89, 59, 36, -56, 109, -41, -43, -64, -88, 97, 120, 58, -21, -122, -101, -92, -9, -3, -54, 31, 116, -105, 0, -103, -44, 122, -84, -18"
values_84,24,"{84, -79, -64, -24, 47, -81, -14, 125, 58, -119, 55, -11, 24, 117, 81, 30, 106, 7, -32, 67, 96, -115, 79, -110"
values_65,24,"{62, -80, 56, 39, 88, -36, 1, 1, -12, -78, 46, -10, -88, -110, -46, 121, 103, 68, -38, -94, 124, 81, -112, -23"
values_96,12,"{-79, 71, -105, 16, -67, -107, 73, -65, 29, -88, 6, -54"
values_28,27,"{78, -124, -121, 8, 50, 92, 30, 23, 18, 113, -91, -22, -97, -5, 110, 23, 2, 90, 52, -25, -54, 77, 5, -60, -62, 22, -75"
values_54,5,"{85, -14, -52, 99, -100"
values_15,21,"{89, -54, -110, -94, 0, 51, -36, 41, 14, -87, -72, -89, 78, -9, -120, 68, -27, 74, -58, 117, -42"
values_87,22,"{19, -8, -114, -56, 42, -80, 66, -33, -22, 77, 41, 127, 11, 36, 14, -17, 66, -7, 59, -119, -82, -49"
values_59,21,"{-28, -123, -122, -113, -24, 51, 70, 102, 40, -114, 81, -86, 60, -66, -55, 96, 38, 89, 126, -5, -108"
values_5,8,"{-88, 103, 6, -97, 0, -34, 59, 21"
values_92,20,"{-59, -18, 120, -93, 7, -9, -95, -32, 118, 80, -2, -30, 85, 124, -82, -81, 53, -82, -56, 71"
values_0,14,"{91, -55, 23, 45, -115, 53, -75, 115, 68, -93, -87, -47, 102, -53"
values_77,27,"{60, 64, 5, -85, 123, 10, -103, 20, -16, 26, 16, -97, 97, -67, 2, -123, 19, -109, 106, -40, 18, 25, 9, -41, 27, -114, -46"
values_17,7,"{31, 46, 98, 25, 44, -23, -33"
values_12,2,"{-95, -88"
values_33,3,"{-99, 103, 101"
values_25,13,"{-78, 57, -77, -18, -91, -56, -43, 94, 69, -45, 73, -40, -27"
values_19,4,"{16, 122, -17, -81"
values_97,26,"{76, 1, -123, 33, 29, -114, -60, -32, -84, 106, -116, -39, 124, -43, -125, -103, -20, -48, 69, -57, 75, -24, -67, 29, 76, 30"
values_81,5,"{-73, -104, -83, 96, -28"
values_8,15,"{-23, -6, 92, 21, -100, -79, -38, -86, 50, 101, -121, 46, -45, 14, 3"
values_73,8,"{-43, -37, 100, -122, -109, -29, -21, 57"
values_89,23,"{-53, 59, 69, 43, -10, 79, -113, 28, 69, 102, -14, 14, -41, 4, 41, 102, -39, 32, 8, 50, -7, 76, -102"
values_82,12,"{-7, 112, -103, 35, 52, 61, 121, -120, 79, -84, -70, -75"
values_34,18,"{67, 79, 90, -120, -102, 0, 36, -92, 90, 3, 48, -78, -121, -7, 37, -11, -97, 99"
values_70,20,"{-8, -109, -54, -106, -111, 72, -120, -69, -53, 57, -95, 103, 12, 4, -40, -57, -62, -102, 40, 120"
values_29,26,"{57, -75, -80, -103, -23, -28, 68, -101, 73, -97, -60, 122, 35, 69, -2, -96, -41, 4, -23, -72, 120, -19, 97, -59, 110, -43"
values_51,17,"{-29, 42, -52, 80, -7, 10, 30, -35, -18, 61, -94, 118, 104, -6, -98, 22, -95"
values_57,18,"{-104, -20, -71, 63, 22, -124, -68, 84, -35, 35, -61, -113, -98, 75, -99, -39, -46, 91"
values_88,13,"{-79, 33, -120, -19, 104, -18, -77, -123, -76, 53, 67, 53, -104"
values_23,26,"{-92, -29, 61, 42, 78, -62, 51, -25, 109, -105, -98, -43, 13, 40, 110, -79, 116, 93, 48, 118, -83, 108, -29, 8, -91, -122"
values_45,2,"{-100, -83"
values_66,15,"{-31, 98, -34, 56, 105, 75, 93, 34, 107, -69, 80, 53, -80, -123, -91"
values_36,5,"{-5, 126, 9, 9, 76"
values_56,2,"{-96, -87"
values_26,26,"{-19, -122, 62, -48, 112, -63, 115, 6, 43, 62, 73, -26, 118, 64, -83, -121, -26, -110, -88, 33, -112, 71, -71, 110, -125, -7"
values_43,14,"{85, -68, -88, 122, 51, 116, 103, -125, -125, 45, 119, -86, 38, -43"
values_52,11,"{-103, -98, 11, -89, 92, 83, 120, 75, 126, 32, -49"
values_98,25,"{-87, 22, 69, -59, 22, 116, 4, 80, 101, -81, -28, -63, -47, -14, -48, -47, 107, -110, 96, 82, -92, -2, 93, 72, 118"
values_61,18,"{-5, 87, 94, -91, 23, -28, 115, -121, -86, -48, -82, -9, -117, 28, -4, -112, -66, 103"
values_44,21,"{-39, 13, 37, -102, -88, 102, -3, 44, -102, 49, -113, -79, -103, 93, 14, 5, -55, -27, -88, -50, 122"
values_68,10,"{102, -12, 45, -93, 34, -16, -46, -126, -6, -87"
values_41,9,"{-41, 92, -89, 102, 122, 116, -24, -27, -9"
values_85,13,"{-71, -59, -41, -98, 21, 29, -47, -49, 94, -56, -14, 71, -42"
values_79,18,"{48, 125, 106, 91, -124, -83, -44, 29, -100, -60, 68, -89, 67, 124, -51, -94, -87, 4"
values_71,25,"{58, -33, 74, 30, -31, -4, 91, -78, 36, -110, -62, 63, 120, 95, 81, -85, -28, -63, 106, 106, 15, -22, -111, 61, 74"
values_63,12,"{-58, 123, 59, 2, 86, -125, 105, -61, -127, -38, -69, -13"
values_20,22,"{-78, -51, 120, -32, 17, 56, -28, -12, 123, -64, 124, -67, 118, -101, -53, 18, -91, 34, -3, -96, 65, -63"
values_74,3,"{102, 97, -114"
values_72,22,"{86, -87, -25, 89, -54, 93, 120, -49, 55, -101, 3, -61, -37, -49, -56, -59, 35, -89, 15, 9, -92, -94"
values_86,25,"{-80, 65, -53, 39, -86, 18, 74, 26, 11, 92, 0, -126, 80, 31, 12, 46, -106, 27, -87, -120, -121, 52, -17, -125, 99"
values_75,3,"{124, -52, 34"
values_55,2,"{64, -68"
values_14,13,"{47, -54, -11, 58, 57, -57, -18, 91, -110, -62, 61, 38, -41"
values_47,28,"{-68, 4, -114, 1, -21, -43, -81, 102, 64, -93, -77, -63, 115, 0, -114, 79, -89, -8, -49, -76, -85, -125, -99, 121, -68, -70, -93, -27"
values_91,17,"{87, -29, 114, 104, -54, -60, -8, -19, -40, -99, -37, 102, -93, 126, -101, 86, -63"
