inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 453, 45, 250, 52, 703, 97, 4639.74, 501894.81, 0.01, 108.17, 27883.05
values_84, 461, 45, 254, 54, 715, 99, 4739.99, 501648.94, 0.01, 105.83, 27869.39
values_65, 461, 45, 255, 57, 716, 102, 4777.46, 480888.72, 0.01, 100.66, 26716.04
values_96, 450, 45, 249, 48, 699, 93, 4570.87, 533506.47, 0.01, 116.72, 29639.25
values_28, 455, 45, 250, 52, 705, 97, 4652.94, 503322.68, 0.01, 108.17, 27962.37
values_54, 455, 45, 250, 50, 705, 95, 4631.75, 521071.67, 0.01, 112.50, 28948.43
values_15, 459, 45, 255, 57, 714, 102, 4764.11, 479545.45, 0.01, 100.66, 26641.41
values_87, 450, 45, 247, 47, 697, 92, 4546.92, 537649.42, 0.01, 118.24, 29869.41
values_59, 460, 45, 254, 55, 714, 100, 4743.71, 492914.94, 0.01, 103.91, 27384.16
values_5, 459, 45, 254, 56, 713, 101, 4747.30, 484479.41, 0.01, 102.05, 26915.52
values_92, 461, 45, 255, 55, 716, 100, 4757.00, 496241.70, 0.01, 104.32, 27568.98
values_0, 452, 45, 250, 52, 702, 97, 4633.14, 501180.88, 0.01, 108.17, 27843.38
values_77, 452, 45, 250, 50, 702, 95, 4612.04, 518854.35, 0.01, 112.50, 28825.24
values_17, 464, 45, 255, 56, 719, 101, 4787.25, 490479.82, 0.01, 102.46, 27248.88
values_12, 449, 45, 247, 48, 696, 93, 4551.25, 526949.94, 0.01, 115.78, 29275.00
values_33, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_25, 454, 45, 250, 51, 704, 96, 4635.81, 511302.97, 0.01, 110.29, 28405.72
values_19, 460, 45, 255, 55, 715, 100, 4750.36, 495548.62, 0.01, 104.32, 27530.48
values_97, 454, 45, 249, 48, 703, 93, 4597.03, 536559.44, 0.01, 116.72, 29808.86
values_81, 459, 45, 254, 52, 713, 97, 4705.74, 517178.69, 0.01, 109.90, 28732.15
values_8, 460, 45, 254, 55, 714, 100, 4743.71, 492914.94, 0.01, 103.91, 27384.16
values_73, 452, 45, 249, 50, 701, 95, 4605.47, 516042.78, 0.01, 112.05, 28669.04
values_89, 448, 45, 247, 47, 695, 92, 4533.88, 536106.67, 0.01, 118.24, 29783.70
values_82, 458, 45, 254, 54, 712, 99, 4720.10, 499544.12, 0.01, 105.83, 27752.45
values_34, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_70, 452, 45, 249, 49, 701, 94, 4594.77, 525350.63, 0.01, 114.34, 29186.15
values_29, 453, 45, 250, 51, 703, 96, 4629.23, 510576.69, 0.01, 110.29, 28365.37
values_51, 453, 45, 250, 51, 703, 96, 4629.23, 510576.69, 0.01, 110.29, 28365.37
values_57, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_88, 449, 45, 247, 47, 696, 92, 4540.40, 536878.05, 0.01, 118.24, 29826.56
values_23, 450, 45, 249, 49, 699, 94, 4581.66, 523851.77, 0.01, 114.34, 29102.88
values_45, 453, 45, 249, 50, 702, 95, 4612.04, 516778.93, 0.01, 112.05, 28709.94
values_66, 459, 45, 255, 56, 714, 101, 4753.96, 487068.98, 0.01, 102.46, 27059.39
values_36, 448, 45, 247, 48, 695, 93, 4544.72, 526192.83, 0.01, 115.78, 29232.93
