inputName,nn,size,isign,data[size]
values_27,7,5,1,"{40, -44, -120, 45, 125"
values_84,8,9,0,"{-75, -17, 61, 61, -92, 79, -121, -45, -41"
values_65,5,10,1,"{-58, 54, -23, -118, 73, -94, 122, -121, 39, 31"
values_96,8,4,1,"{32, 36, 114, 87"
values_28,7,5,0,"{-81, -109, 84, -37, -22"
values_54,5,5,0,"{105, -7, -87, -8, -79"
values_15,7,10,1,"{81, -51, -107, 115, -70, 69, 37, 25, 68, 102"
values_87,8,2,1,"{-42, -43"
values_59,5,9,0,"{-103, -75, -93, -40, 103, 111, 55, 53, -114"
values_5,7,9,1,"{17, 90, 37, -44, 97, 103, -50, -117, -45"
values_92,8,10,1,"{106, -56, -32, -109, -87, 99, 102, 124, 24, -55"
values_0,7,5,1,"{89, 79, 37, 50, -29"
values_77,8,5,1,"{64, 100, 26, 114, -103"
values_17,7,10,1,"{117, -68, 49, -121, -67, -104, -33, -33, -74, -93"
values_12,7,2,1,"{-10, 121"
values_33,7,9,0,"{30, 44, -27, 37, 125, -89, -21, -115, 32"
values_25,7,5,1,"{-67, 29, -19, -16, 108"
values_19,7,10,0,"{0, -79, -51, 16, 55, 61, 17, -99, -31, 37"
values_97,8,4,1,"{-28, -16, -97, -24"
values_81,8,9,1,"{-26, 97, -111, -77, 93, 32, -20, 20, 4"
values_8,7,9,0,"{119, -11, 73, 17, -58, -58, -88, 65, -24"
values_73,5,4,0,"{80, -107, 57, -87"
values_89,8,2,0,"{74, 117"
values_82,8,9,1,"{19, 8, 27, -116, 83, -107, 104, 24, -41"
values_34,7,9,0,"{-118, 77, 5, -41, 18, -118, 48, -114, 46"
values_70,5,4,1,"{-29, 26, 0, -125"
values_29,7,5,0,"{-91, 13, 113, -11, 64"
values_51,5,5,1,"{-101, -58, 43, 112, 36"
values_57,5,9,1,"{94, 101, 29, 101, -11, -106, -96, 116, -69"
values_88,8,2,0,"{100, -83"
values_23,7,4,0,"{0, 73, 10, 60"
values_45,7,4,1,"{-122, 54, -12, -24"
values_66,5,10,1,"{63, 38, -74, -10, 122, 92, 117, 44, 81, -98"
values_36,7,2,1,"{52, 53"
values_56,5,9,1,"{94, -106, 53, -53, -2, 117, 62, -24, -113"
values_26,7,5,1,"{29, 87, -118, -22, -5"
values_43,7,10,0,"{-76, 5, -80, 103, -62, 122, -36, 1, -77, -86"
values_52,5,5,1,"{-54, -16, -90, 91, -77"
values_98,8,4,0,"{-112, -90, 103, 107"
values_61,5,2,1,"{-32, -109"
values_44,7,10,0,"{-99, 124, 92, 59, -62, -80, -69, 10, -51, -1"
values_68,5,10,0,"{-66, -60, 50, -58, -80, -92, -20, 6, -44, -51"
values_41,7,10,1,"{-109, 32, -56, 84, 22, -33, 40, 87, -47, -87"
values_85,8,2,1,"{71, -81"
values_79,8,5,0,"{56, -119, 109, 110, -41"
values_71,5,4,1,"{64, -83, 27, -107"
values_63,5,2,0,"{9, -12"
values_20,7,4,1,"{-70, 121, 54, -82"
values_74,5,4,0,"{-86, -46, 102, 8"
values_72,5,4,1,"{114, 81, 86, -54"
values_86,8,2,1,"{-78, 0"
values_75,8,5,1,"{-105, -112, 89, 115, 99"
values_55,5,9,1,"{36, -50, -119, 61, -62, 72, 100, -8, 70"
values_14,7,2,0,"{-73, -106"
values_47,7,4,1,"{-124, -111, 67, 41"
values_91,8,10,1,"{53, 110, -86, -2, 76, 102, 106, -106, -59, 2"
values_64,5,2,0,"{86, 26"
values_11,7,2,1,"{-45, -114"
values_49,7,4,0,"{58, -77, 117, 36"
values_62,5,2,1,"{6, -109"
values_80,8,9,1,"{123, -5, -60, -14, -68, 46, -72, -50, -12"
values_39,7,2,0,"{117, 94"
values_90,8,10,1,"{-64, -36, 88, -26, 113, -47, 86, -94, 99, 105"
values_53,5,5,0,"{41, -82, 117, -102, 121"
values_94,8,10,0,"{-42, -67, 62, -84, -42, -8, 91, 29, 126, 0"
values_7,7,9,1,"{-123, 84, -83, -101, -17, -41, -10, 0, -3"
values_31,7,9,1,"{-121, 33, 52, -20, -69, 43, 47, 15, 115"
values_93,8,10,0,"{1, -53, 99, -4, -71, -98, -63, -74, 47, 80"
values_38,7,2,0,"{0, -78"
values_58,5,9,0,"{-64, -124, 96, 107, -107, 78, 33, 57, -107"
values_78,8,5,0,"{0, -103, -91, 69, -46"
values_50,5,5,1,"{57, 58, 10, 91, -45"
values_3,7,5,0,"{7, -125, -27, -105, 102"
values_13,7,2,0,"{122, 8"
values_83,8,9,0,"{53, -114, 1, 5, 41, -64, -22, 31, -96"
values_1,7,5,1,"{12, 95, 84, -40, -60"
values_21,7,4,1,"{108, 46, -124, 44"
values_32,7,9,1,"{-11, 101, -14, -95, 91, -113, 113, 84, 82"
values_22,7,4,1,"{-53, 54, 38, 48"
values_9,7,9,0,"{40, 1, -122, -71, 83, -80, -93, -60, -118"
values_6,7,9,1,"{47, -30, -24, -70, 96, -126, -95, -19, -92"
values_76,8,5,1,"{-125, -126, 92, -38, -88"
values_18,7,10,0,"{-50, -28, 25, -108, -39, -87, -48, 18, -66, 45"
values_16,7,10,1,"{21, 40, 10, 86, 108, -59, 15, -96, -46, -108"
values_40,7,10,1,"{3, 93, -26, -47, 15, 58, -28, 86, -12, 88"
values_2,7,5,1,"{113, 79, 90, 11, 116"
values_60,5,2,1,"{-36, -80"
values_99,8,4,0,"{76, -24, -120, -64"
values_48,7,4,0,"{76, 117, 116, 50"
values_69,5,10,0,"{16, 5, 125, -65, 106, -84, -119, -81, 91, 26"
values_46,7,4,1,"{83, -97, -24, -115"
values_24,7,4,0,"{124, 9, -2, 85"
values_95,8,4,1,"{-90, 125, -124, -61"
values_42,7,10,1,"{115, -124, 57, 91, -122, 1, -3, 106, 98, -74"
values_37,7,2,1,"{119, 114"
values_10,7,2,1,"{-22, 69"
values_67,5,10,1,"{8, -112, -118, -29, 49, -108, 61, -4, 0, 107"
values_35,7,2,1,"{33, 8"
values_30,7,9,1,"{116, 111, -52, 60, 102, 80, 100, -85, -72"
values_4,7,5,0,"{-32, 20, -111, 46, -7"
