inputName,idum
values_27,-18
values_84,-61
values_65,-106
values_96,-72
values_28,45
values_54,-114
values_15,-48
values_87,32
values_59,11
values_5,-87
values_92,-91
values_0,-24
values_77,-56
values_17,123
values_12,50
values_33,-40
values_25,91
values_19,-7
values_97,-49
values_81,-3
values_8,-74
values_73,39
values_89,29
values_82,-119
values_34,61
values_70,-113
values_29,48
values_51,109
values_57,74
values_88,15
values_23,-74
values_45,-92
values_66,-20
values_36,66
values_56,-29
values_26,122
values_43,31
values_52,-93
values_98,-91
values_61,-64
values_44,-16
values_68,-116
values_41,-86
values_85,45
values_79,75
values_71,31
values_63,-113
values_20,-27
values_74,35
values_72,-47
values_86,-44
values_75,-75
values_55,-6
values_14,-111
values_47,-65
values_91,-37
values_64,122
values_11,100
values_49,72
values_62,91
values_80,80
values_39,-66
values_90,-114
values_53,89
values_94,-98
values_7,-29
values_31,-68
values_93,40
values_38,-75
values_58,76
values_78,124
values_50,-26
values_3,28
values_13,30
values_83,81
values_1,72
values_21,-23
values_32,2
values_22,-42
values_9,18
values_6,-59
values_76,33
values_18,90
values_16,-98
values_40,-56
values_2,-65
values_60,-53
values_99,-106
values_48,0
values_69,-39
values_46,89
values_24,-59
values_95,-95
values_42,73
values_37,-89
values_10,22
values_67,90
values_35,-69
values_30,-57
values_4,127
