inputName,idum
values_27,92
values_84,-32
values_65,119
values_96,98
values_28,-125
values_54,-61
values_15,52
values_87,99
values_59,-1
values_5,80
values_92,125
values_0,-19
values_77,105
values_17,-118
values_12,47
values_33,-60
values_25,-49
values_19,85
values_97,25
values_81,-47
values_8,9
values_73,-49
values_89,-101
values_82,85
values_34,3
values_70,-20
values_29,-106
values_51,74
values_57,-98
values_88,60
values_23,-44
values_45,-90
values_66,-122
values_36,-35
values_56,-76
values_26,127
values_43,5
values_52,22
values_98,6
values_61,12
values_44,-49
values_68,-105
values_41,-91
values_85,-1
values_79,22
values_71,54
values_63,-7
values_20,122
values_74,-18
values_72,114
values_86,-49
values_75,-27
values_55,-72
values_14,-28
values_47,-117
values_91,-92
values_64,-54
values_11,52
values_49,82
values_62,-36
values_80,-22
values_39,2
values_90,121
values_53,31
values_94,43
values_7,75
values_31,-45
values_93,35
values_38,-41
values_58,-2
values_78,-38
values_50,-50
values_3,8
values_13,127
values_83,-17
values_1,-36
values_21,-9
values_32,33
values_22,-6
values_9,91
values_6,72
values_76,116
values_18,-111
values_16,100
values_40,-27
values_2,9
values_60,-65
values_99,-39
values_48,-5
values_69,-19
values_46,-91
values_24,114
values_95,-83
values_42,-24
values_37,-24
values_10,-103
values_67,67
values_35,-27
values_30,-100
values_4,-31
