id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,1,,11,0.091
values_84,1,,12,0.083
values_65,1,,11,0.091
values_96,1,,12,0.083
values_28,1,,12,0.083
values_54,1,,12,0.083
values_15,1,,11,0.091
values_87,1,,11,0.091
values_59,1,,12,0.083
values_5,1,,12,0.083
values_92,1,,11,0.091
values_0,1,,11,0.091
values_77,1,,11,0.091
values_17,1,,12,0.083
values_12,1,,11,0.091
values_33,1,,11,0.091
values_25,1,,11,0.091
values_19,1,,12,0.083
values_97,1,,12,0.083
values_81,1,,12,0.083
values_8,1,,11,0.091
values_73,1,,11,0.091
values_89,1,,12,0.083
values_82,1,,12,0.083
values_34,1,,11,0.091
values_70,1,,11,0.091
values_29,1,,11,0.091
values_51,1,,12,0.083
values_57,1,,11,0.091
values_88,1,,12,0.083
values_23,1,,12,0.083
values_45,1,,12,0.083
values_66,1,,12,0.083
values_36,1,,11,0.091
values_56,1,,12,0.083
values_26,1,,11,0.091
values_43,1,,12,0.083
values_52,1,,12,0.083
values_98,1,,11,0.091
values_61,1,,11,0.091
values_44,1,,11,0.091
values_68,1,,12,0.083
values_41,1,,11,0.091
values_85,1,,12,0.083
values_79,1,,12,0.083
values_71,1,,12,0.083
values_63,1,,11,0.091
values_20,1,,11,0.091
values_74,1,,12,0.083
values_72,1,,11,0.091
values_86,1,,11,0.091
values_75,1,,12,0.083
values_55,1,,12,0.083
values_14,1,,11,0.091
values_47,1,,11,0.091
values_91,1,,12,0.083
values_64,1,,11,0.091
values_11,1,,11,0.091
values_49,1,,12,0.083
values_62,1,,12,0.083
values_80,1,,11,0.091
values_39,1,,12,0.083
values_90,1,,12,0.083
values_53,1,,11,0.091
values_94,1,,12,0.083
values_7,1,,11,0.091
values_31,1,,11,0.091
values_93,1,,12,0.083
values_38,1,,12,0.083
values_58,1,,11,0.091
values_78,1,,12,0.083
values_50,1,,12,0.083
values_3,1,,12,0.083
values_13,1,,11,0.091
values_83,1,,11,0.091
values_1,1,,12,0.083
values_21,1,,12,0.083
values_32,1,,11,0.091
values_22,1,,12,0.083
values_9,1,,12,0.083
values_6,1,,11,0.091
values_76,1,,11,0.091
values_18,1,,11,0.091
values_16,1,,12,0.083
values_40,1,,12,0.083
values_2,1,,11,0.091
values_60,1,,11,0.091
values_99,1,,11,0.091
values_48,1,,11,0.091
values_69,1,,11,0.091
values_46,1,,11,0.091
values_24,1,,11,0.091
values_95,1,,11,0.091
values_42,1,,11,0.091
values_37,1,,11,0.091
values_10,1,,11,0.091
values_67,1,,11,0.091
values_35,1,,12,0.083
values_30,1,,11,0.091
values_4,1,,12,0.083
