;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;DSP;BRAM;Flip_Flop;Area;min_Slack;Max_Freq;Time;Energy
0;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;27;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;29.65922539835243;889.7767619505728
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;84;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;4.993262173004934;149.79786519014803
2;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;65;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;5.520380642695783;165.6114192808735
3;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;96;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;44.241476779112766;1327.244303373383
4;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;28;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;49.22490236475945;1476.7470709427835
5;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;54;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;54.938345499877386;1648.1503649963215
6;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;15;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;49.526562509169054;1485.7968752750717
7;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;87;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;5.512922942141194;165.38768826423583
8;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;59;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;42.65776102096233;1279.73283062887
9;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;5;0.0;16.0;945.0;11500.0;6.661338147750939e-16;331.49887995881943;1.5686327509299494;47.05898252789848
10;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;92;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;43.71960472928415;1311.5881418785243
11;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;0;0.0;16.0;945.0;11500.0;6.661338147750939e-16;331.49887995881943;1.9577743372183407;58.73323011655022
12;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;77;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;4.995491991423069;149.8647597426921
13;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;17;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;7.248893270162824;217.4667981048847
14;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;12;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;4.358989086718802;130.76967260156405
