;DEVICE;BOARD;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;2.0;125.0;3
2;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;-127.0;254.0;3
3;Bambu;5SGXEA7N2F45C1-Stratix-V;fft;int8_t;2.0;8.0;3
4;Bambu;5SGXEA7N2F45C1-Stratix-V;fft;int8_t;-1.0;2.0;3
5;Bambu;5SGXEA7N2F45C1-Stratix-V;fibcall;int8_t;2.0;9.0;3
6;Bambu;5SGXEA7N2F45C1-Stratix-V;gcd;int8_t;2.0;125.0;3
7;Bambu;5SGXEA7N2F45C1-Stratix-V;gcd;int8_t;2.0;125.0;3
8;Bambu;5SGXEA7N2F45C1-Stratix-V;park_miller;int8_t;-126.0;253.0;3
9;Bambu;5SGXEA7N2F45C1-Stratix-V;prime;int8_t;-126.0;253.0;3
10;Bambu;5SGXEA7N2F45C1-Stratix-V;sqrt;int8_t;-126.0;253.0;3
11;Bambu;xc7a100t-1csg324-Artix-7;astar;int8_t;2.0;125.0;3
12;Bambu;xc7a100t-1csg324-Artix-7;binarysearch;int8_t;-127.0;254.0;3
13;Bambu;xc7a100t-1csg324-Artix-7;fft;int8_t;2.0;8.0;3
14;Bambu;xc7a100t-1csg324-Artix-7;fft;int8_t;-1.0;2.0;3
15;Bambu;xc7a100t-1csg324-Artix-7;fibcall;int8_t;2.0;9.0;3
16;Bambu;xc7a100t-1csg324-Artix-7;gcd;int8_t;2.0;125.0;3
17;Bambu;xc7a100t-1csg324-Artix-7;gcd;int8_t;2.0;125.0;3
18;Bambu;xc7a100t-1csg324-Artix-7;park_miller;int8_t;-126.0;253.0;3
19;Bambu;xc7a100t-1csg324-Artix-7;prime;int8_t;-126.0;253.0;3
20;Bambu;xc7a100t-1csg324-Artix-7;sqrt;int8_t;-126.0;253.0;3
21;Bambu;xc7vx690t-3ffg1930-Virtex-7;astar;int8_t;2.0;125.0;3
22;Bambu;xc7vx690t-3ffg1930-Virtex-7;binarysearch;int8_t;-127.0;254.0;3
23;Bambu;xc7vx690t-3ffg1930-Virtex-7;fft;int8_t;2.0;8.0;3
24;Bambu;xc7vx690t-3ffg1930-Virtex-7;fft;int8_t;-1.0;2.0;3
25;Bambu;xc7vx690t-3ffg1930-Virtex-7;fibcall;int8_t;2.0;9.0;3
26;Bambu;xc7vx690t-3ffg1930-Virtex-7;gcd;int8_t;2.0;125.0;3
27;Bambu;xc7vx690t-3ffg1930-Virtex-7;gcd;int8_t;2.0;125.0;3
28;Bambu;xc7vx690t-3ffg1930-Virtex-7;park_miller;int8_t;-126.0;253.0;3
29;Bambu;xc7vx690t-3ffg1930-Virtex-7;prime;int8_t;-126.0;253.0;3
30;Bambu;xc7vx690t-3ffg1930-Virtex-7;sqrt;int8_t;-126.0;253.0;3
31;Bambu;xc7z020-1clg484-Zynq-7000;astar;int8_t;2.0;125.0;3
32;Bambu;xc7z020-1clg484-Zynq-7000;binarysearch;int8_t;-127.0;254.0;3
33;Bambu;xc7z020-1clg484-Zynq-7000;fft;int8_t;2.0;8.0;3
34;Bambu;xc7z020-1clg484-Zynq-7000;fft;int8_t;-1.0;2.0;3
35;Bambu;xc7z020-1clg484-Zynq-7000;fibcall;int8_t;2.0;9.0;3
36;Bambu;xc7z020-1clg484-Zynq-7000;gcd;int8_t;2.0;125.0;3
37;Bambu;xc7z020-1clg484-Zynq-7000;gcd;int8_t;2.0;125.0;3
38;Bambu;xc7z020-1clg484-Zynq-7000;park_miller;int8_t;-126.0;253.0;3
39;Bambu;xc7z020-1clg484-Zynq-7000;prime;int8_t;-126.0;253.0;3
40;Bambu;xc7z020-1clg484-Zynq-7000;sqrt;int8_t;-126.0;253.0;3
