;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;BugsDelivered;DifficultyLevel;DistinctOperands;DistinctOperators;Effort;ProgramLength;ProgramLevel;ProgramVolume;TimeToImplement;TotalOperators;Total_Operands;VocabularySize;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SyntacticallyReachableFunctions;SemanticallyReachedFunctions;CoverageEstimation;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;CC4CS
0;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;27;7.379196666666667;142.86;231;66;3162512.86;2695;0.01;22137.59;175695.16;1695;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;14040;;9832.0;0.7002849002849003
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;84;2.5782233333333333;71.79;154;66;555238.92;994;0.01;7734.67;30846.61;659;335;220;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1871;;1105.0;0.5905932656333511
2;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;65;2.8714233333333334;69.17;177;66;595844.76;1087;0.01;8614.27;33102.49;716;371;243;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2662;;1830.0;0.6874530428249437
3;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;96;7.30094;143.48;230;66;3142578.75;2668;0.01;21902.82;174587.71;1668;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;20516;;14666.0;0.7148566972119321
4;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;28;7.36497;144.1;229;66;3183982.68;2693;0.01;22094.91;176887.93;1693;1000;295;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;24263;;16318.0;0.6725466760087376
5;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;54;6.248360000000001;121.0;231;66;2268154.22;2282;0.01;18745.08;126008.57;1435;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;26626;;18212.0;0.6839930894614287
6;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;15;3.0441800000000003;69.18;187;66;631757.21;1144;0.01;9132.54;35097.62;752;392;253;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12667;;16418.0;1.296123786216152
7;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;87;2.5910866666666665;69.09;160;66;537083.54;994;0.01;7773.26;29837.97;659;335;226;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2113;;1220.0;0.5773781353525793
8;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;59;6.270016666666667;122.59;228;66;2305963.43;2294;0.01;18810.05;128109.08;1447;847;294;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21152;;14141.0;0.6685419818456884
9;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;5;2.3666033333333334;71.35;142;66;506536.12;922;0.01;7099.81;28140.9;615;307;208;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;833;;520.0;0.6242496998799519
10;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;92;7.3819333333333335;142.86;231;66;3163686.34;2696;0.01;22145.8;175760.35;1696;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;20186;;14493.0;0.7179728524720103
11;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;0;2.3631066666666665;73.41;138;66;520448.63;924;0.01;7089.32;28913.81;617;307;204;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1053;;649.0;0.6163342830009497
12;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;77;2.8618266666666665;69.96;175;66;600640.53;1085;0.01;8585.48;33368.92;714;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2570;;1656.0;0.6443579766536965
13;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;17;3.0062266666666666;70.69;183;66;637517.34;1133;0.01;9018.68;35417.63;741;392;249;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3639;;2403.0;0.6603462489694971
14;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;12;3.0219966666666664;73.08;177;66;662585.25;1144;0.01;9065.99;36810.29;752;392;243;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;2199;;1445.0;0.6571168713051387
15;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;33;4.25138;84.38;219;66;1076239.38;1564;0.01;12754.14;59791.08;1004;560;285;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;9409;;6314.0;0.6710596237644808
16;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;25;7.420266666666667;142.86;231;66;3180114.97;2710;0.01;22260.8;176673.05;1710;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21339;;15441.0;0.7236046675101926
17;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;19;3.0283266666666666;71.47;181;66;649300.27;1143;0.01;9084.98;36072.24;751;392;247;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;15824;;12848.0;0.8119312436804853
18;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;97;7.349076666666667;142.86;231;66;3149604.65;2684;0.01;22047.23;174978.04;1684;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;20799;;14895.0;0.7161401990480312
19;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;81;2.583266666666667;69.09;160;66;535462.56;991;0.01;7749.8;29747.92;656;335;226;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;11505;;3653.0;0.31751412429378534
20;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;8;2.3481466666666666;73.95;137;66;520928.9;919;0.01;7044.44;28940.49;612;307;203;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1002;;696.0;0.6946107784431138
21;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;73;2.8778366666666666;68.02;180;66;587222.79;1087;0.01;8633.51;32623.49;716;371;246;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;19081;;9866.0;0.517058854357738
22;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;89;2.5851466666666667;70.87;156;66;549592.51;995;0.01;7755.44;30532.92;660;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1654;;1049.0;0.6342200725513906
23;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;82;2.58798;68.66;161;66;533107.54;992;0.01;7763.94;29617.09;657;335;227;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1750;;1042.0;0.5954285714285714
24;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;34;4.25871;81.77;226;66;1044702.72;1560;0.01;12776.13;58039.04;1000;560;292;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;8546;;5570.0;0.6517669084952025
25;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;70;2.84958;70.77;173;66;604983.8;1082;0.01;8548.74;33610.21;711;371;239;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;3140;;2090.0;0.6656050955414012
26;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;29;7.32557;143.48;230;66;3153179.65;2677;0.01;21976.71;175176.65;1677;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;25133;;18128.0;0.7212827756336291
27;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;51;6.283953333333334;121.0;231;66;2281075.35;2295;0.01;18851.86;126726.41;1448;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;27224;;18562.0;0.6818248604172789
28;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;57;6.2300033333333324;122.06;229;66;2281242.6;2278;0.01;18690.01;126735.7;1431;847;295;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;18243;;12701.0;0.6962122457929069
29;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;88;2.584233333333333;69.97;158;66;542443.9;993;0.01;7752.7;30135.77;658;335;224;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;932;;571.0;0.6126609442060086
30;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;23;7.320096666666667;143.48;230;66;3150823.9;2675;0.01;21960.29;175045.77;1675;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18150;;13171.0;0.7256749311294766
31;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;45;3.36672;74.85;194;66;755950.2;1259;0.01;10100.16;41997.23;819;440;260;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;4624;;3083.0;0.6667387543252595
32;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;66;2.8512766666666667;69.96;175;66;598426.18;1081;0.01;8553.83;33245.9;710;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2228;;1479.0;0.6638240574506283
33;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;36;4.208209999999999;85.95;215;66;1085130.96;1552;0.01;12624.63;60285.05;992;560;281;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;8279;;5555.0;0.6709747554052422
34;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;56;6.264550000000001;122.59;228;66;2303953.0;2292;0.01;18793.65;127997.39;1445;847;294;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;20603;;14562.0;0.7067902732611756
35;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;26;7.306413333333333;143.48;230;66;3144934.5;2670;0.01;21919.24;174718.58;1670;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;19044;;13743.0;0.7216446124763705
36;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;43;3.385903333333333;72.6;200;66;737449.83;1261;0.01;10157.71;40969.43;821;440;266;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;5060;;3357.0;0.6634387351778656
37;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;52;6.261076666666667;121.53;230;66;2282652.36;2288;0.01;18783.23;126814.02;1441;847;296;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;16141;;11639.0;0.7210829564463168
38;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;98;7.349076666666667;142.86;231;66;3149604.65;2684;0.01;22047.23;174978.04;1684;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;26094;;18087.0;0.6931478500804783
39;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;61;2.8507900000000004;69.56;176;66;594924.4;1080;0.01;8552.37;33051.36;709;371;242;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2495;;1744.0;0.698997995991984
40;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;44;3.3801200000000002;72.24;201;66;732527.17;1258;0.01;10140.36;40695.95;818;440;267;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18128;;12567.0;0.6932369814651368
41;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;68;2.8728366666666667;70.36;174;66;606416.25;1090;0.01;8618.51;33689.79;719;371;240;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3089;;2007.0;0.6497248300420848
42;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;41;3.36752;72.96;199;66;737131.51;1255;0.01;10102.56;40951.75;815;440;265;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12980;;9845.0;0.7584745762711864
43;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;85;2.56956;70.87;156;66;546278.38;989;0.01;7708.68;30348.8;654;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1053;;646.0;0.6134852801519468
44;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;79;2.8430066666666667;72.02;170;66;614239.94;1082;0.01;8529.02;34124.44;711;371;236;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12578;;8470.0;0.6733979965018286
45;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;71;2.866163333333333;67.27;182;66;578413.55;1081;0.01;8598.49;32134.09;710;371;248;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12428;;1653.0;0.13300611522368844
46;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;63;2.8820699999999997;67.27;182;66;581623.99;1087;0.01;8646.21;32312.44;716;371;248;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3259;;2208.0;0.6775084381712182
47;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;20;7.37372;142.86;231;66;3160165.91;2693;0.01;22121.16;175564.77;1693;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;22993;;16505.0;0.7178271647892837
48;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;74;2.854846666666667;70.77;173;66;606102.07;1084;0.01;8564.54;33672.34;713;371;239;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2659;;1744.0;0.6558856713050019
49;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;72;2.849073333333333;72.88;168;66;622878.37;1086;0.01;8547.22;34604.35;715;371;234;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;2222;;1441.0;0.6485148514851485
50;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;86;2.59554;70.87;156;66;551801.92;999;0.01;7786.62;30655.66;664;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1864;;1104.0;0.592274678111588
51;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;75;2.878353333333333;68.4;179;66;590609.3;1088;0.01;8635.06;32811.63;717;371;245;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3062;;2122.0;0.6930111038536904
52;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;55;6.30658;122.06;229;66;2309282.46;2306;0.01;18919.74;128293.47;1459;847;295;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21467;;14715.0;0.685470722504309
53;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;14;3.0495033333333335;69.18;187;66;632861.68;1146;0.01;9148.51;35158.98;754;392;253;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;15157;;8690.0;0.5733324536517781
54;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;47;3.37969;71.88;202;66;728808.69;1257;0.01;10139.07;40489.37;817;440;268;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;4947;;3278.0;0.6626238124115625
55;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;91;7.320539999999999;142.24;232;66;3123850.88;2672;0.01;21961.62;173547.27;1672;1000;298;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;28052;;19892.0;0.7091116497932411
56;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;64;2.85607;69.56;176;66;596026.11;1082;0.01;8568.21;33112.56;711;371;242;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1136;;752.0;0.6619718309859155
57;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;11;3.0261266666666664;67.73;191;66;614858.12;1134;0.01;9078.38;34158.78;742;392;257;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2810;;1848.0;0.6576512455516014
58;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;49;3.368306666666667;73.71;197;66;744789.11;1257;0.01;10104.92;41377.17;817;440;263;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;6287;;3817.0;0.607125815174169
59;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;62;2.877653333333333;69.96;175;66;603962.04;1091;0.01;8632.96;33553.45;720;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;1866;;1186.0;0.6355841371918542
60;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;80;2.5920433333333333;69.97;158;66;544082.71;996;0.01;7776.13;30226.82;661;335;224;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;912;;551.0;0.6041666666666666
61;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;39;4.248846666666667;85.56;216;66;1090537.09;1566;0.01;12746.54;60585.39;1006;560;282;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;11097;;7486.0;0.6745967378570785
62;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;90;7.3463400000000005;142.86;231;66;3148431.17;2683;0.01;22039.02;174912.84;1683;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;18990;;13445.0;0.7080042127435492
63;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;53;6.223716666666667;121.0;231;66;2259208.83;2273;0.01;18671.15;125511.6;1426;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18901;;13544.0;0.7165758425480133
64;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;94;7.340863333333333;142.86;231;66;3146084.22;2681;0.01;22022.59;174782.46;1681;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;26226;;17380.0;0.662701136276977
65;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;7;2.36016;72.88;139;66;516060.07;922;0.01;7080.48;28670.0;615;307;205;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;935;;585.0;0.6256684491978609
66;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;31;4.23787;84.77;218;66;1077740.5;1560;0.01;12713.61;59874.47;1000;560;284;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;5457;;3697.0;0.6774784680227232
67;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;93;7.303676666666666;143.48;230;66;3143756.63;2669;0.01;21911.03;174653.15;1669;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;17868;;13063.0;0.7310835012312514
68;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;38;4.248883333333334;85.95;215;66;1095618.69;1567;0.01;12746.65;60867.71;1007;560;281;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18932;;12834.0;0.6778998521022607
69;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;58;6.251096666666667;121.0;231;66;2269148.16;2283;0.01;18753.29;126063.79;1436;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;20306;;14265.0;0.7025017236284842
70;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;78;2.8838166666666667;70.77;173;66;612252.55;1095;0.01;8651.45;34014.03;724;371;239;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3087;;2010.0;0.6511175898931001
71;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;50;6.242883333333334;121.0;231;66;2266166.36;2280;0.01;18728.65;125898.13;1433;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;13312;;9330.0;0.7008713942307693
72;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;3;2.37078;73.41;138;66;522138.4;927;0.01;7112.34;29007.69;620;307;204;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1050;;638.0;0.6076190476190476
73;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;13;2.9929366666666666;73.08;177;66;656214.23;1133;0.01;8978.81;36456.35;741;392;243;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3182;;2115.0;0.664676304211188
74;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;83;2.5931966666666666;68.66;161;66;534182.35;994;0.01;7779.59;29676.8;659;335;227;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1062;;648.0;0.6101694915254238
75;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;1;2.3469433333333334;72.36;140;66;509504.96;916;0.01;7040.83;28305.83;609;307;206;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1127;;714.0;0.6335403726708074
76;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;21;7.380813333333333;142.24;232;66;3149571.21;2694;0.01;22142.44;174976.18;1694;1000;298;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;23866;;16004.0;0.6705773904299003
77;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;32;4.26515;85.95;215;66;1099813.79;1573;0.01;12795.45;61100.77;1013;560;281;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;3956;;2663.0;0.673154701718908
