;DEVICE;BOARD;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;2.0;26.0;3
2;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;2.0;26.0;3
3;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;2.0;26.0;3
4;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;2.0;26.0;3
5;Bambu;5SGXEA7N2F45C1-Stratix-V;bubblesort;int8_t;2.0;26.0;3
6;Bambu;5SGXEA7N2F45C1-Stratix-V;dijkstra;int8_t;2.0;26.0;3
7;Bambu;5SGXEA7N2F45C1-Stratix-V;fft;int8_t;2.0;8.0;3
8;Bambu;5SGXEA7N2F45C1-Stratix-V;floydwarshall;int8_t;2.0;26.0;3
9;Bambu;5SGXEA7N2F45C1-Stratix-V;insertionsort;int8_t;2.0;26.0;3
10;Bambu;5SGXEA7N2F45C1-Stratix-V;kruskal;int8_t;2.0;26.0;3
11;Bambu;5SGXEA7N2F45C1-Stratix-V;mergesort;int8_t;2.0;23.0;3
12;Bambu;5SGXEA7N2F45C1-Stratix-V;qsort;int8_t;2.0;26.0;3
13;Bambu;5SGXEA7N2F45C1-Stratix-V;quicksort;int8_t;2.0;26.0;3
14;Bambu;5SGXEA7N2F45C1-Stratix-V;selectionsort;int8_t;2.0;23.0;3
15;Bambu;5SGXEA7N2F45C1-Stratix-V;shell_sort;int8_t;2.0;26.0;3
16;Bambu;5SGXEA7N2F45C1-Stratix-V;straight_sort;int8_t;2.0;26.0;3
17;Bambu;xc7a100t-1csg324-Artix-7;astar;int8_t;2.0;26.0;3
18;Bambu;xc7a100t-1csg324-Artix-7;bellmanford;int8_t;2.0;26.0;3
19;Bambu;xc7a100t-1csg324-Artix-7;bfsdfs;int8_t;2.0;26.0;3
20;Bambu;xc7a100t-1csg324-Artix-7;binarysearch;int8_t;2.0;26.0;3
21;Bambu;xc7a100t-1csg324-Artix-7;bubblesort;int8_t;2.0;26.0;3
22;Bambu;xc7a100t-1csg324-Artix-7;dijkstra;int8_t;2.0;26.0;3
23;Bambu;xc7a100t-1csg324-Artix-7;fft;int8_t;2.0;8.0;3
24;Bambu;xc7a100t-1csg324-Artix-7;floydwarshall;int8_t;2.0;26.0;3
25;Bambu;xc7a100t-1csg324-Artix-7;insertionsort;int8_t;2.0;26.0;3
26;Bambu;xc7a100t-1csg324-Artix-7;kruskal;int8_t;2.0;26.0;3
27;Bambu;xc7a100t-1csg324-Artix-7;mergesort;int8_t;2.0;23.0;3
28;Bambu;xc7a100t-1csg324-Artix-7;qsort;int8_t;2.0;26.0;3
29;Bambu;xc7a100t-1csg324-Artix-7;quicksort;int8_t;2.0;26.0;3
