;DEVICE;BOARD;FUNCTION;DATA_TYPE;NUM_S;RANGE_S;NUM_SI;RANGE_SI;NUM_ARR;RANGE_ARR
0;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;1;3;1;3;1;1
1;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;0;0;1;3;1;1
2;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;0;0;1;3;2;0
3;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;1;3;1;3;1;1
4;Bambu;5SGXEA7N2F45C1-Stratix-V;bubblesort;int8_t;0;0;1;3;1;1
5;Bambu;5SGXEA7N2F45C1-Stratix-V;dijkstra;int8_t;0;0;1;3;1;1
6;Bambu;5SGXEA7N2F45C1-Stratix-V;fft;int8_t;2;3;1;3;1;1
7;Bambu;5SGXEA7N2F45C1-Stratix-V;fibcall;int8_t;1;3;0;0;0;0
8;Bambu;5SGXEA7N2F45C1-Stratix-V;floydwarshall;int8_t;0;0;1;3;1;0
9;Bambu;5SGXEA7N2F45C1-Stratix-V;gcd;int8_t;2;3;0;0;0;0
10;Bambu;5SGXEA7N2F45C1-Stratix-V;insertionsort;int8_t;0;0;1;3;1;1
11;Bambu;5SGXEA7N2F45C1-Stratix-V;kruskal;int8_t;0;0;1;3;1;1
12;Bambu;5SGXEA7N2F45C1-Stratix-V;mergesort;int8_t;0;0;1;3;1;1
13;Bambu;5SGXEA7N2F45C1-Stratix-V;park_miller;int8_t;1;3;0;0;0;1
14;Bambu;5SGXEA7N2F45C1-Stratix-V;prime;int8_t;1;3;0;0;0;1
15;Bambu;5SGXEA7N2F45C1-Stratix-V;qsort;int8_t;0;0;1;3;1;1
16;Bambu;5SGXEA7N2F45C1-Stratix-V;quicksort;int8_t;0;0;1;3;1;1
17;Bambu;5SGXEA7N2F45C1-Stratix-V;selectionsort;int8_t;0;0;1;3;1;1
18;Bambu;5SGXEA7N2F45C1-Stratix-V;shell_sort;int8_t;0;0;1;3;1;1
19;Bambu;5SGXEA7N2F45C1-Stratix-V;sqrt;int8_t;1;3;0;0;0;1
20;Bambu;5SGXEA7N2F45C1-Stratix-V;straight_sort;int8_t;0;0;1;3;1;0
21;Bambu;xc7a100t-1csg324-Artix-7;astar;int8_t;1;3;1;3;1;1
22;Bambu;xc7a100t-1csg324-Artix-7;bellmanford;int8_t;0;0;1;3;1;1
23;Bambu;xc7a100t-1csg324-Artix-7;bfsdfs;int8_t;0;0;1;3;2;0
24;Bambu;xc7a100t-1csg324-Artix-7;binarysearch;int8_t;1;3;1;3;1;1
