;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;DSP;BRAM;Flip_Flop;Area;min_Slack;Max_Freq;Time;Energy;BugsDelivered;DifficultyLevel;DistinctOperands;DistinctOperators;Effort;ProgramLength;ProgramLevel;ProgramVolume;TimeToImplement;TotalOperators;Total_Operands;VocabularySize;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SyntacticallyReachableFunctions;SemanticallyReachedFunctions;CoverageEstimation;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;CC4CS;Bugs_Delivered
0;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;27;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;29.65922539835243;889.7767619505728;7.379196666666667;142.86;231;66;3162512.86;2695;0.01;22137.59;175695.16;1695;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;14040;;9832.0;0.7002849002849003;7.379196666666667
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;84;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;4.993262173004934;149.79786519014803;2.5782233333333333;71.79;154;66;555238.92;994;0.01;7734.67;30846.61;659;335;220;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1871;;1105.0;0.5905932656333511;2.5782233333333333
2;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;65;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;5.520380642695783;165.6114192808735;2.8714233333333334;69.17;177;66;595844.76;1087;0.01;8614.27;33102.49;716;371;243;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2662;;1830.0;0.6874530428249437;2.8714233333333334
3;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;96;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;44.241476779112766;1327.244303373383;7.30094;143.48;230;66;3142578.75;2668;0.01;21902.82;174587.71;1668;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;20516;;14666.0;0.7148566972119321;7.30094
4;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;28;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;49.22490236475945;1476.7470709427835;7.36497;144.1;229;66;3183982.68;2693;0.01;22094.91;176887.93;1693;1000;295;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;24263;;16318.0;0.6725466760087376;7.36497
5;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;54;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;54.938345499877386;1648.1503649963215;6.248360000000001;121.0;231;66;2268154.22;2282;0.01;18745.08;126008.57;1435;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;26626;;18212.0;0.6839930894614287;6.248360000000001
6;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;15;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;49.526562509169054;1485.7968752750717;3.0441800000000003;69.18;187;66;631757.21;1144;0.01;9132.54;35097.62;752;392;253;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12667;;16418.0;1.296123786216152;3.0441800000000003
7;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;87;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;5.512922942141194;165.38768826423583;2.5910866666666665;69.09;160;66;537083.54;994;0.01;7773.26;29837.97;659;335;226;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2113;;1220.0;0.5773781353525793;2.5910866666666665
8;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;59;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;42.65776102096233;1279.73283062887;6.270016666666667;122.59;228;66;2305963.43;2294;0.01;18810.05;128109.08;1447;847;294;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21152;;14141.0;0.6685419818456884;6.270016666666667
9;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;5;0.0;16.0;945.0;11500.0;6.661338147750939e-16;331.49887995881943;1.5686327509299494;47.05898252789848;2.3666033333333334;71.35;142;66;506536.12;922;0.01;7099.81;28140.9;615;307;208;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;833;;520.0;0.6242496998799519;2.3666033333333334
10;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;92;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;43.71960472928415;1311.5881418785243;7.3819333333333335;142.86;231;66;3163686.34;2696;0.01;22145.8;175760.35;1696;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;20186;;14493.0;0.7179728524720103;7.3819333333333335
