inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_84, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_65, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_96, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_28, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_54, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_15, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_87, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_59, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_5, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_92, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_0, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_77, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_17, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_12, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_33, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_25, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_19, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_97, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_81, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_8, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_73, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_89, 181, 31, 52, 18, 233, 49, 1308.23, 58579.52, 0.02, 44.78, 3254.42
values_82, 182, 31, 52, 18, 234, 49, 1313.84, 58830.93, 0.02, 44.78, 3268.38
values_34, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_70, 182, 31, 52, 18, 234, 49, 1313.84, 58830.93, 0.02, 44.78, 3268.38
values_29, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_51, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_57, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_88, 181, 31, 52, 18, 233, 49, 1308.23, 58579.52, 0.02, 44.78, 3254.42
values_23, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_45, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_66, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_36, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_56, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_26, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_43, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_52, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_98, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_61, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_44, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_68, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_41, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_85, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_79, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_71, 182, 31, 52, 18, 234, 49, 1313.84, 58830.93, 0.02, 44.78, 3268.38
values_63, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_20, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_74, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_72, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_86, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_75, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_55, 182, 31, 52, 18, 234, 49, 1313.84, 58830.93, 0.02, 44.78, 3268.38
values_14, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_47, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_91, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_64, 181, 31, 52, 18, 233, 49, 1308.23, 58579.52, 0.02, 44.78, 3254.42
values_11, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_49, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_62, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_80, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_39, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_90, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_53, 182, 31, 52, 18, 234, 49, 1313.84, 58830.93, 0.02, 44.78, 3268.38
values_94, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_7, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_31, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_93, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_38, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_58, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_78, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_50, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_3, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_13, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_83, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
