inputName,val
values_27,69
values_84,82
values_65,-27
values_96,-109
values_28,78
values_54,-25
values_15,-41
values_87,76
values_59,81
values_5,-85
values_92,-22
values_0,-68
values_77,-68
values_17,-13
values_12,91
values_33,-46
values_25,-75
values_19,-69
values_97,11
values_81,79
values_8,-3
values_73,-113
values_89,1
values_82,-20
values_34,-30
values_70,-10
values_29,-94
values_51,-102
values_57,-63
values_88,0
values_23,-46
values_45,-99
values_66,-34
values_36,-84
values_56,-97
values_26,-105
values_43,-53
values_52,113
values_98,-78
values_61,-73
values_44,-96
values_68,74
values_41,76
values_85,-82
values_79,-90
values_71,-10
values_63,-109
values_20,-89
values_74,7
values_72,-121
values_86,102
values_75,-124
values_55,-1
values_14,-124
values_47,63
values_91,-11
values_64,20
values_11,-116
values_49,7
values_62,8
values_80,-103
values_39,-68
values_90,-125
values_53,-1
values_94,-21
values_7,3
values_31,71
values_93,53
values_38,80
values_58,-6
values_78,8
values_50,-62
values_3,-96
values_13,-14
values_83,-39
values_1,71
values_21,25
values_32,-2
values_22,-88
values_9,-79
values_6,93
values_76,49
values_18,124
values_16,-118
values_40,120
values_2,77
values_60,-11
values_99,-3
values_48,95
values_69,47
values_46,105
values_24,41
values_95,-9
values_42,-21
values_37,-36
values_10,-120
values_67,-84
values_35,-29
values_30,-1
values_4,-122
