id,clockCycles,assemblyInstr
values_27,5,
values_84,12,
values_65,4,
values_96,10,
values_28,7,
values_54,12,
values_15,10,
values_87,13,
values_59,7,
values_5,10,
values_92,11,
values_0,13,
values_77,9,
values_17,9,
values_12,8,
values_33,6,
values_25,8,
values_19,9,
values_97,4,
values_81,4,
values_8,4,
values_73,11,
values_89,12,
values_82,4,
values_34,4,
values_70,4,
values_29,4,
values_51,12,
values_57,11,
values_88,13,
values_23,5,
values_45,9,
values_66,10,
values_36,10,
values_56,12,
values_26,7,
values_43,5,
values_52,4,
values_98,10,
values_61,10,
values_44,6,
values_68,6,
values_41,9,
values_85,11,
values_79,8,
values_71,11,
values_63,8,
values_20,4,
values_74,9,
values_72,5,
values_86,11,
values_75,9,
values_55,7,
values_14,7,
values_47,13,
values_91,10,
values_64,7,
values_11,4,
values_49,6,
values_62,10,
values_80,11,
values_39,13,
values_90,11,
values_53,4,
values_94,9,
values_7,13,
values_31,5,
values_93,12,
values_38,12,
values_58,4,
values_78,11,
values_50,10,
values_3,10,
values_13,9,
values_83,6,
values_1,5,
values_21,12,
values_32,12,
values_22,10,
values_9,4,
values_6,9,
values_76,13,
values_18,11,
values_16,12,
values_40,11,
values_2,4,
values_60,11,
values_99,10,
values_48,8,
values_69,12,
values_46,6,
values_24,8,
values_95,5,
values_42,4,
values_37,4,
values_10,11,
values_67,8,
values_35,4,
values_30,12,
values_4,11,
