inputName,n
values_27,3
values_84,10
values_65,2
values_96,8
values_28,5
values_54,10
values_15,8
values_87,11
values_59,5
values_5,8
values_92,9
values_0,11
values_77,7
values_17,7
values_12,6
values_33,4
values_25,6
values_19,7
values_97,2
values_81,2
values_8,2
values_73,9
values_89,10
values_82,2
values_34,2
values_70,2
values_29,2
values_51,10
values_57,9
values_88,11
values_23,3
values_45,7
values_66,8
values_36,8
values_56,10
values_26,5
values_43,3
values_52,2
values_98,8
values_61,8
values_44,4
values_68,4
values_41,7
values_85,9
values_79,6
values_71,9
values_63,6
values_20,2
values_74,7
values_72,3
values_86,9
values_75,7
values_55,5
values_14,5
values_47,11
values_91,8
values_64,5
values_11,2
values_49,4
values_62,8
values_80,9
values_39,11
values_90,9
values_53,2
values_94,7
values_7,11
values_31,3
values_93,10
values_38,10
values_58,2
values_78,9
values_50,8
values_3,8
values_13,7
values_83,4
values_1,3
values_21,10
values_32,10
values_22,8
values_9,2
values_6,7
values_76,11
values_18,9
values_16,10
values_40,9
values_2,2
values_60,9
values_99,8
values_48,6
values_69,10
values_46,4
values_24,6
values_95,3
values_42,2
values_37,2
values_10,9
values_67,6
values_35,2
values_30,10
values_4,9
