id,cInstr
values_27,44
values_84,139
values_65,80
values_96,95
values_28,78
values_54,85
values_15,75
values_87,67
values_59,80
values_5,88
values_92,69
values_0,91
values_77,75
values_17,64
values_12,60
values_33,53
values_25,78
values_19,87
values_97,93
values_81,96
values_8,88
values_73,94
values_89,105
values_82,41
values_34,100
values_70,56
values_29,81
values_51,70
values_57,76
values_88,105
values_23,51
values_45,85
values_66,107
values_36,104
values_56,97
values_26,91
values_43,59
values_52,66
values_98,75
values_61,87
values_44,89
values_68,80
values_41,71
values_85,105
values_79,93
values_71,94
values_63,48
values_20,54
values_74,89
values_72,70
values_86,108
values_75,82
values_55,66
values_14,96
values_47,85
values_91,91
values_64,91
values_11,22
values_49,80
values_62,34
values_80,37
values_39,90
values_90,89
values_53,67
values_94,84
values_7,52
values_31,71
values_93,86
values_38,113
values_58,66
values_78,82
values_50,60
values_3,115
values_13,76
values_83,47
values_1,100
values_21,78
values_32,62
values_22,54
values_9,96
values_6,84
values_76,100
values_18,75
values_16,104
values_40,69
values_2,73
values_60,62
values_99,102
values_48,85
values_69,95
values_46,101
values_24,130
values_95,75
values_42,66
values_37,61
values_10,55
values_67,76
values_35,113
values_30,52
values_4,98
