inputName,m,n
values_27,44,66
values_84,45,89
values_65,70,82
values_96,101,113
values_28,44,82
values_54,98,89
values_15,74,82
values_87,45,66
values_59,98,116
values_5,121,82
values_92,101,10
values_0,121,18
values_77,69,66
values_17,74,66
values_12,74,10
values_33,84,40
values_25,44,82
values_19,74,116
values_97,101,66
values_81,45,74
values_8,121,82
values_73,69,40
values_89,45,116
values_82,45,10
values_34,84,89
values_70,69,18
values_29,44,116
values_51,98,74
values_57,98,66
values_88,45,82
values_23,44,40
values_45,104,82
values_66,70,113
values_36,84,113
values_56,98,113
values_26,44,113
values_43,104,40
values_52,98,10
values_98,101,82
values_61,70,74
values_44,104,89
values_68,70,82
values_41,104,74
values_85,45,82
values_79,69,116
values_71,69,74
values_63,70,40
values_20,44,18
values_74,69,89
values_72,69,10
values_86,45,113
values_75,69,82
values_55,98,82
values_14,74,89
values_47,104,66
values_91,101,74
values_64,70,89
values_11,74,74
values_49,104,116
values_62,70,10
values_80,45,18
values_39,84,116
values_90,101,18
values_53,98,40
values_94,101,89
values_7,121,66
values_31,84,74
values_93,101,40
values_38,84,82
values_58,98,82
values_78,69,82
values_50,98,18
values_3,121,40
values_13,74,40
values_83,45,40
values_1,121,74
values_21,44,74
values_32,84,10
values_22,44,10
values_9,121,116
values_6,121,113
values_76,69,113
values_18,74,82
values_16,74,113
values_40,104,18
values_2,121,10
values_60,70,18
values_99,101,116
values_48,104,82
values_69,70,116
values_46,104,113
values_24,44,89
values_95,101,82
values_42,104,10
values_37,84,66
values_10,74,18
values_67,70,66
values_35,84,82
values_30,84,18
values_4,121,89
