,BugsDelivered,ProgramLevel,GlobalVariables,CoverageEstimation,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_3,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
0,2.58944,0.01,13,90,1,3,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,3,6,8,6,4,1,4,1,0,0,0,9,4,8,7,3,0,0,2,3,2,1,4,1,0,0,0,219.731927
1,6.564826667,0.01,13,90,1,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,16,58,0,13,23,13,28,0,50,0,10,15,36,13,26,0,73,0,20,11,29,29,23,0,72,0,30,200.0
2,2.359336667,0.01,13,90,1,3,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,3,2,1,2,1,1,0,0,4,2,4,3,1,0,3,0,1,0,0,0,1,0,1,0,200.0
3,2.13947,0.01,13,90,1,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
4,2.572156667,0.01,13,90,1,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,8,0,8,10,8,2,4,1,2,0,8,3,11,5,2,0,0,1,2,2,6,4,1,0,1,0,219.731927
5,2.566486667,0.01,13,90,1,3,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,4,6,0,8,7,0,2,0,2,0,2,7,2,10,6,0,0,1,1,5,2,2,3,2,0,1,0,219.731927
6,2.464366667,0.01,13,90,1,3,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,10,4,9,3,0,1,1,0,1,1,3,6,5,5,0,0,0,3,1,0,4,2,1,0,0,0,200.0
7,6.61917,0.01,13,90,1,3,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,4,69,0,13,13,39,0,0,47,0,13,16,43,31,11,1,82,11,8,41,27,3,12,0,46,0,20,200.0
8,2.59678,0.01,13,90,1,3,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,2,5,3,10,7,0,3,2,0,0,0,10,4,7,5,0,3,1,5,3,2,4,3,1,0,0,0,219.731927
9,3.768283333,0.01,13,90,1,3,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,0,48,0,19,14,41,1,0,30,0,27,23,18,12,17,0,29,0,22,16,6,20,13,8,27,10,22,200.0
