,ProgramLevel,TimeToImplement,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
0,0.03,7078.03,100,0,0,1,0,0,-19,-10,106,61,34,-35,96,62,27,97,112,125,7,-91,-76,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
1,0.03,7249.47,100,0,0,1,0,0,33,-53,-25,84,-64,107,67,99,83,11,-45,95,13,-10,-94,-119,105,105,22,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702
2,0.03,7746.31,100,0,0,1,0,0,24,58,-78,-92,-124,-69,-2,-36,-69,-126,-92,0,-76,74,-105,-32,-23,102,-62,-112,103,-111,-57,-86,-32,95,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084
3,0.03,7085.77,100,0,0,1,0,0,-65,-40,1,63,78,-98,48,5,-6,-63,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
4,0.03,7096.91,100,0,0,1,0,0,-2,-74,-25,111,58,-34,94,124,16,91,112,-58,-92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
5,0.03,7051.26,100,0,0,1,0,0,-104,-72,85,-63,-51,-20,0,-53,123,-23,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
6,0.03,6888.22,100,0,0,1,0,0,95,63,109,58,84,-7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
7,0.03,7284.34,100,0,0,1,0,0,90,-32,2,74,80,21,15,-64,55,-113,86,-75,110,58,-81,114,-65,52,-71,-5,-49,-124,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978
8,0.03,7085.25,100,0,0,1,0,0,27,-53,125,-99,-11,-12,-90,-35,-42,7,43,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
9,0.03,6881.73,100,0,0,1,0,0,3,-50,-73,-54,-38,51,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
10,0.03,7034.13,100,0,0,1,0,0,54,70,121,51,85,40,-30,-68,41,-121,94,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
11,0.03,6744.32,100,0,0,1,0,0,-15,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12,0.03,7003.16,100,0,0,1,0,0,68,61,-117,-8,-11,102,5,-125,-68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
13,0.03,7023.55,100,0,0,1,0,0,50,-43,-79,-112,-67,-105,-114,25,-95,-109,22,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
14,0.03,7277.68,100,0,0,1,0,0,-120,-123,-89,2,-121,-122,30,66,72,-108,35,68,86,-65,-65,-77,34,-88,74,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442
15,0.03,7306.34,100,0,0,1,0,0,22,-19,23,-62,80,121,-33,31,-79,-52,68,126,-12,-106,60,15,59,73,-18,58,104,-90,-86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970
