,BugsDelivered,DistinctOperands,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,VocabularySize,DecisionPoint,GlobalVariables,If,PointerDereferencing,SyntacticallyReachableFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Area
0,1.225496667,104,127404.48,504,0.03,3676.49,7078.03,368,157,3,6,3,5,2,100,0,0,1,3,1,297.0,1.225496667,16,0,0,-19,-10,106,61,34,-35,96,62,27,97,112,125,7,-91,-76,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
1,1.25449,107,130490.44,514,0.03,3763.47,7249.47,374,160,3,6,3,5,2,100,0,0,1,3,1,426.0,1.25449,20,0,0,33,-53,-25,84,-64,107,67,99,83,11,-45,95,13,-10,-94,-119,105,105,22,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
2,1.32436,111,139433.56,540,0.03,3973.08,7746.31,393,164,3,6,3,5,2,100,0,0,1,3,1,639.0,1.32436,27,0,0,24,58,-78,-92,-124,-69,-2,-36,-69,-126,-92,0,-76,74,-105,-32,-23,102,-62,-112,103,-111,-57,-86,-32,95,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
3,1.187936667,97,127543.9,493,0.03,3563.81,7085.77,362,150,3,6,3,5,2,100,0,0,1,3,1,135.0,1.187936667,11,0,0,-65,-40,1,63,78,-98,48,5,-6,-63,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
4,1.21113,101,127744.35,500,0.03,3633.39,7096.91,366,154,3,6,3,5,2,100,0,0,1,3,1,222.0,1.21113,14,0,0,-2,-74,-25,111,58,-34,94,124,16,91,112,-58,-92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
5,1.194336667,98,126922.66,495,0.03,3583.01,7051.26,364,151,3,6,3,5,2,100,0,0,1,3,1,108.0,1.194336667,11,0,0,-104,-72,85,-63,-51,-20,0,-53,123,-23,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
6,1.154346667,94,123987.97,481,0.03,3463.04,6888.22,354,147,3,6,3,5,2,100,0,0,1,3,1,93.0,1.154346667,7,0,0,95,63,109,58,84,-7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
7,1.280213333,111,131118.14,522,0.03,3840.64,7284.34,379,164,3,6,3,5,2,100,0,0,1,3,1,573.0,1.280213333,23,0,0,90,-32,2,74,80,21,15,-64,55,-113,86,-75,110,58,-81,114,-65,52,-71,-5,-49,-124,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
8,1.203156667,99,127534.53,498,0.03,3609.47,7085.25,366,152,3,6,3,5,2,100,0,0,1,3,1,171.0,1.203156667,12,0,0,27,-53,125,-99,-11,-12,-90,-35,-42,7,43,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
9,1.165526667,95,123871.12,485,0.03,3496.58,6881.73,358,148,3,6,3,5,2,100,0,0,1,3,1,78.0,1.165526667,7,0,0,3,-50,-73,-54,-38,51,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
10,1.19747,100,126614.38,495,0.03,3592.41,7034.13,362,153,3,6,3,5,2,100,0,0,1,3,1,234.0,1.19747,13,0,0,54,70,121,51,85,40,-30,-68,41,-121,94,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
11,1.126486667,90,121397.69,472,0.03,3379.46,6744.32,350,143,3,6,3,5,2,100,0,0,1,3,1,18.0,1.126486667,2,0,0,-15,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
12,1.183116667,97,126056.81,491,0.03,3549.35,7003.16,361,150,3,6,3,5,2,100,0,0,1,3,1,144.0,1.183116667,10,0,0,68,61,-117,-8,-11,102,5,-125,-68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
13,1.204726667,100,126423.99,498,0.03,3614.18,7023.55,366,153,3,6,3,5,2,100,0,0,1,3,1,174.0,1.204726667,12,0,0,50,-43,-79,-112,-67,-105,-114,25,-95,-109,22,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
14,1.25937,107,130998.19,516,0.03,3778.11,7277.68,376,160,3,6,3,5,2,100,0,0,1,3,1,291.0,1.25937,20,0,0,-120,-123,-89,2,-121,-122,30,66,72,-108,35,68,86,-65,-65,-77,34,-88,74,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
15,1.28665,112,131514.11,524,0.03,3859.95,7306.34,380,165,3,6,3,5,2,100,0,0,1,3,1,573.0,1.28665,24,0,0,22,-19,23,-62,80,121,-33,31,-79,-52,68,126,-12,-106,60,15,59,73,-18,58,104,-90,-86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
16,1.137626667,91,123238.88,476,0.03,3412.88,6846.6,352,144,3,6,3,5,2,100,0,0,1,3,1,39.0,1.137626667,4,0,0,92,-106,15,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
17,1.30474,111,137367.88,532,0.03,3914.22,7631.55,385,164,3,6,3,5,2,100,0,0,1,3,1,783.0,1.30474,27,0,0,80,35,101,-73,-26,94,-37,113,69,84,105,16,-105,-114,-67,8,101,17,-72,-36,-54,108,54,-119,-70,86,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
18,1.15277,93,124164.33,481,0.03,3458.31,6898.02,355,146,3,6,3,5,2,100,0,0,1,3,1,66.0,1.15277,6,0,0,24,-46,1,-41,27,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
19,1.17986,98,124427.07,489,0.03,3539.58,6912.61,359,151,3,6,3,5,2,100,0,0,1,3,1,123.0,1.17986,10,0,0,124,-56,-74,28,55,2,87,50,-27,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
20,1.185526667,97,126313.55,492,0.03,3556.58,7017.42,362,150,3,6,3,5,2,100,0,0,1,3,1,159.0,1.185526667,10,0,0,-29,125,42,-80,90,-45,-90,-112,-114,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
21,1.25937,107,131933.89,516,0.03,3778.11,7329.66,375,160,3,6,3,5,2,100,0,0,1,3,1,390.0,1.25937,21,0,0,-82,-49,68,55,-33,-19,52,84,114,16,-78,99,8,15,91,-36,45,-15,103,-64,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
22,1.27378,110,130724.52,520,0.03,3821.34,7262.47,378,163,3,6,3,5,2,100,0,0,1,3,1,498.0,1.27378,22,0,0,102,-18,-11,98,95,79,-74,-49,-94,-116,109,-112,17,7,122,5,-121,-27,-9,60,71,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
23,1.205573333,99,129726.85,499,0.03,3616.72,7207.05,365,152,3,6,3,5,2,100,0,0,1,3,1,243.0,1.205573333,14,0,0,101,-20,0,5,20,-21,86,-92,92,76,-123,2,48,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
24,1.194336667,98,127891.53,495,0.03,3583.01,7105.09,363,151,3,6,3,5,2,100,0,0,1,3,1,162.0,1.194336667,12,0,0,12,-74,65,17,-111,-12,42,87,-35,60,-101,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
25,1.159146667,94,124503.51,483,0.03,3477.44,6916.86,356,147,3,6,3,5,2,100,0,0,1,3,1,84.0,1.159146667,7,0,0,99,12,-81,-99,125,-126,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
26,1.151946667,94,122755.95,480,0.03,3455.84,6819.77,354,147,3,6,3,5,2,100,0,0,1,3,1,69.0,1.151946667,6,0,0,101,44,-76,100,98,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
27,1.27244,106,135515.03,522,0.03,3817.32,7528.61,380,159,3,6,3,5,2,100,0,0,1,3,1,414.0,1.27244,22,0,0,-74,29,75,-78,-73,122,-48,53,101,-19,-39,-87,-5,-96,-36,15,103,-39,53,-4,55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
28,1.285353333,108,136247.53,526,0.03,3856.06,7569.31,382,161,3,6,3,5,2,100,0,0,1,3,1,597.0,1.285353333,24,0,0,33,-100,51,67,-1,-96,-63,120,-54,88,108,106,-3,65,-89,33,3,-118,-76,-33,34,-53,-74,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
29,1.281126667,110,133330.51,523,0.03,3843.38,7407.25,379,163,3,6,3,5,2,100,0,0,1,3,1,579.0,1.281126667,24,0,0,107,-33,63,77,105,-109,-13,-39,83,32,16,-60,-110,118,-73,-41,57,24,10,29,85,71,26,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216
