,ProgramLevel,TimeToImplement,CoverageEstimation,RANGE_SCALAR_VALUES,SV_VAL_1,V_VAL_1,V_VAL_2,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
0,0.01,175695.16,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,8,51,5,16,21,30,16,18,6,80,0,37,31,6,20,11,0,58,0,20,32,36,27,24,5,76,0,13,9832
1,0.01,30846.61,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,8,2,2,13,0,9,6,4,8,3,1,1,0,3,11,2,8,7,0,2,0,3,4,3,4,5,1,0,1,0,1105
2,0.01,33102.49,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,24,1,0,25,11,11,14,8,5,0,1,1,0,4,21,4,10,7,0,4,6,22,6,3,8,8,1,0,1,1,1830
3,0.01,174587.71,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,22,1,0,65,0,18,1,42,17,5,0,53,0,23,44,15,14,0,0,57,0,41,20,33,21,23,0,76,0,21,14666
4,0.01,176887.93,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,48,12,0,69,0,19,26,16,4,0,0,51,0,22,19,17,24,46,0,60,0,12,24,18,25,0,0,72,0,35,16318
5,0.01,126008.57,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,3,25,0,72,0,16,21,31,11,9,0,66,7,30,27,2,36,19,0,43,0,23,35,28,17,23,0,54,0,30,18212
6,0.01,35097.62,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,15,0,0,21,2,13,16,3,15,2,0,35,0,10,13,6,18,21,0,8,16,21,17,4,10,4,3,9,2,1,16418
7,0.01,29837.97,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11,4,3,8,0,7,9,3,8,3,2,2,0,0,4,2,7,4,1,0,1,2,2,2,3,4,1,0,1,0,1220
8,0.01,128109.08,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,20,1,0,50,0,41,6,18,5,1,20,49,0,30,15,20,40,24,0,67,0,52,12,22,42,7,14,65,0,21,14141
9,0.01,28140.9,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,4,0,1,0,1,0,0,2,1,1,0,1,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,520
10,0.01,175760.35,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,15,8,0,51,0,23,23,14,22,1,0,70,17,14,22,35,17,21,0,61,0,10,14,41,15,0,0,59,0,24,14493
11,0.01,28913.81,90,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,9,6,2,0,0,3,3,1,5,3,2,1,3,0,3,2,5,4,0,0,1,0,0,1,0,1,1,0,0,0,649
12,0.01,33368.92,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,16,7,0,20,9,20,14,7,11,2,3,8,0,1,11,13,12,9,4,4,3,9,4,3,6,4,2,1,0,5,1656
13,0.01,35417.63,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,12,17,1,21,15,15,13,9,15,3,0,11,0,6,7,6,9,9,5,5,2,14,5,4,11,2,1,1,1,5,2403
14,0.01,36810.29,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,21,3,1,32,0,10,9,6,14,1,0,16,2,7,5,10,13,10,0,13,4,14,11,4,9,3,0,10,0,9,1445
15,0.01,59791.08,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,26,28,0,62,10,21,19,13,38,0,2,51,3,13,25,9,28,28,0,31,2,19,15,36,15,4,2,26,16,19,6314
16,0.01,176673.05,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,44,10,3,53,0,47,41,28,17,18,0,50,0,38,10,18,41,27,0,51,0,9,8,53,20,31,0,52,0,32,15441
17,0.01,36072.24,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,16,0,28,11,20,15,11,15,3,0,9,0,11,15,8,11,7,0,9,2,13,8,3,10,6,1,6,0,5,12848
18,0.01,174978.04,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,12,9,0,75,0,33,32,3,31,16,0,69,12,28,38,19,18,18,1,80,0,30,6,17,29,3,2,71,0,49,14895
19,0.01,29747.92,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12,7,0,11,6,11,4,1,5,1,2,0,0,0,8,3,5,8,0,0,0,5,2,1,4,4,1,0,0,0,3653
20,0.01,28940.49,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,5,3,0,1,5,3,0,3,2,1,1,0,0,3,2,4,5,1,1,0,0,0,0,0,1,1,0,0,0,696
21,0.01,32623.49,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,12,1,0,25,2,17,7,7,14,5,0,5,1,5,8,9,9,7,1,0,0,14,11,3,10,7,5,1,1,2,9866
22,0.01,30532.92,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14,3,0,12,3,6,11,2,6,1,2,1,3,0,6,7,5,6,2,0,0,3,4,3,2,2,1,0,0,0,1049
23,0.01,29617.09,90,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,6,1,14,0,8,4,2,7,2,3,0,3,0,8,2,9,6,2,2,1,2,3,4,3,5,1,0,1,0,1042
24,0.01,58039.04,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,38,11,0,49,0,13,15,27,6,0,0,56,0,24,8,21,36,28,0,34,11,24,30,14,28,8,0,37,0,16,5570
25,0.01,33610.21,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,11,17,4,33,5,7,8,6,9,2,8,6,0,6,14,10,16,6,1,8,0,8,11,2,7,3,3,0,0,2,2090
26,0.01,175176.65,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,32,5,21,49,9,18,21,27,26,14,0,53,0,35,23,14,10,8,0,59,0,37,21,22,17,0,4,85,0,16,18128
27,0.01,126726.41,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,21,11,0,69,0,18,21,27,22,11,0,46,0,11,33,4,22,20,0,59,0,22,34,14,9,8,0,63,4,15,18562
28,0.01,126735.7,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,22,15,0,74,0,38,31,12,19,10,0,67,0,30,15,10,26,0,0,60,0,28,30,35,9,13,0,55,0,27,12701
29,0.01,30135.77,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,19,8,0,13,0,12,5,4,6,3,3,3,0,1,4,5,9,10,3,2,3,4,5,3,3,3,1,0,0,0,571
30,0.01,175045.77,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,29,14,0,43,5,37,1,38,17,0,11,64,0,14,10,33,9,12,0,58,0,53,13,11,37,25,0,52,0,42,13171
31,0.01,41997.23,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,12,6,0,20,19,21,15,7,18,10,0,19,0,2,15,4,25,10,0,16,0,12,10,6,13,2,1,13,0,8,3083
32,0.01,33245.9,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,19,9,0,28,7,5,6,10,16,1,0,0,0,3,14,3,8,8,0,7,0,14,6,3,13,8,2,1,0,2,1479
33,0.01,60285.05,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,19,22,5,75,0,18,9,15,22,18,0,44,0,11,17,26,21,18,4,30,9,7,19,9,20,1,0,36,0,6,5555
34,0.01,127997.39,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,22,12,0,54,0,28,18,28,19,23,0,41,10,22,6,30,16,26,0,68,0,36,28,33,41,21,0,50,0,30,14562
35,0.01,174718.58,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,23,31,0,55,0,29,13,15,38,3,0,61,3,36,9,25,17,13,0,50,0,13,32,24,23,10,0,67,0,13,13743
36,0.01,40969.43,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,28,3,0,30,10,8,20,14,9,0,2,17,0,5,17,8,16,16,0,8,1,15,15,2,12,3,0,8,1,6,3357
