,DistinctOperators,ProgramLevel,Goto,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
0,53,0.03,0,100,0,0,0,0,-85,41,1,-67,105,92,126,-36,8,-44,9,-70,-126,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
1,53,0.03,0,100,0,0,0,0,-42,-106,-57,26,102,68,114,-37,111,1,117,-125,6,-108,114,-98,38,-107,-12,-114,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550
2,53,0.03,0,100,0,0,0,0,-115,-94,28,-43,88,30,-69,23,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
3,53,0.03,0,100,0,0,0,0,67,-34,31,91,-101,18,21,-124,100,-10,37,13,23,-108,-80,-122,-97,-77,-100,88,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
4,53,0.03,0,100,0,0,0,0,-28,-52,101,91,-81,79,-88,6,-88,-101,-17,16,11,-111,37,-97,-50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441
5,53,0.03,0,100,0,0,0,0,-103,95,-37,10,-23,45,63,104,-63,-107,-12,-109,89,-14,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298
6,53,0.03,0,100,0,0,0,0,-19,109,97,88,-117,53,-118,-85,38,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
7,53,0.03,0,100,0,0,0,0,-26,-55,-13,-14,44,-23,73,15,58,-55,96,40,-72,-117,33,-69,111,-97,-96,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556
8,53,0.03,0,100,0,0,0,0,1,-62,-119,-43,46,29,-66,-24,-8,-67,16,55,81,-4,116,51,3,69,-59,-47,31,124,61,-44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537
9,53,0.03,0,100,0,0,0,0,119,73,-16,99,-91,-112,-45,-107,-6,94,-123,-66,-56,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
10,53,0.03,0,100,0,0,0,0,-16,22,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
11,53,0.03,0,100,0,0,0,0,12,15,-53,-112,-95,34,92,44,-72,-97,16,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
12,53,0.03,0,100,0,0,0,0,21,98,104,-69,69,78,69,97,2,76,-80,122,28,113,-82,-29,112,-46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
13,53,0.03,0,100,0,0,0,0,-116,37,-108,-55,-90,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
14,53,0.03,0,100,0,0,0,0,43,-125,-97,-116,-19,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
15,53,0.03,0,100,0,0,0,0,-45,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
