,BugsDelivered,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,VocabularySize,DecisionPoint,GlobalVariables,Goto,ExitPoint,PointerDereferencing,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Area
0,1.231233333,103,53,130193.92,507,0.03,3693.7,7233.0,370,156,3,6,0,2,5,2,2,100,0,0,1,3,1,330.0,1.231233333,0,0,-85,41,1,11,-67,105,92,126,-36,8,115,-95,-44,9,-70,-126,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
1,1.28692,109,53,135162.06,526,0.03,3860.76,7509.0,382,162,3,6,0,2,5,2,2,100,0,0,1,3,1,612.0,1.28692,0,0,-42,-106,-57,88,26,102,68,114,-37,111,-18,103,1,117,-125,6,-108,114,-98,38,-107,-12,-114,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
2,1.190346667,97,53,128778.2,494,0.03,3571.04,7154.34,362,150,3,6,0,2,5,2,2,100,0,0,1,3,1,129.0,1.190346667,0,0,-115,-94,28,30,-43,88,30,-69,23,43,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
3,1.29493,111,53,133552.69,528,0.03,3884.79,7419.59,384,164,3,6,0,2,5,2,2,100,0,0,1,3,1,636.0,1.29493,0,0,67,-34,31,-62,91,-101,18,21,-124,100,-72,-109,-10,37,13,23,-108,-80,-122,-97,-77,-100,88,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
4,1.266693333,107,53,132700.95,519,0.03,3800.08,7372.27,378,160,3,6,0,2,5,2,2,100,0,0,1,3,1,501.0,1.266693333,0,0,-28,-52,101,117,91,-81,79,-88,6,-88,-125,53,-101,-17,16,11,-111,37,-97,-50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
5,1.253816667,105,53,131955.15,515,0.03,3761.45,7330.84,376,158,3,6,0,2,5,2,2,100,0,0,1,3,1,345.0,1.253816667,0,0,-103,95,-37,-109,10,-23,45,63,104,-63,-94,-53,-107,-12,-109,89,-14,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
6,1.21113,101,53,127744.35,500,0.03,3633.39,7096.91,366,154,3,6,0,2,5,2,2,100,0,0,1,3,1,228.0,1.21113,0,0,-19,109,97,-120,88,-117,53,-118,-85,38,-78,83,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
7,1.298276667,110,53,136053.35,530,0.03,3894.83,7558.52,385,163,3,6,0,2,5,2,2,100,0,0,1,3,1,630.0,1.298276667,0,0,-26,-55,-13,-64,-14,44,-23,73,15,58,-29,-65,-55,96,40,-72,-117,33,-69,111,-97,-96,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
8,1.31676,114,53,135903.55,535,0.03,3950.28,7550.2,387,167,3,6,0,2,5,2,2,100,0,0,1,3,1,609.0,1.31676,0,0,1,-62,-119,30,-43,46,29,-66,-24,-8,6,-78,-67,16,55,81,-4,116,51,3,69,-59,-47,31,124,61,-44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
9,1.249813333,104,53,131843.12,514,0.03,3749.44,7324.62,376,157,3,6,0,2,5,2,2,100,0,0,1,3,1,375.0,1.249813333,0,0,119,73,-16,-7,99,-91,-112,-45,-107,-6,-73,45,94,-123,-66,-56,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
