,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,DSP
0,1.126486667,35.92,90,53,121397.69,472,0.03,3379.46,6744.32,350,122,143,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,15.0,1.126486667,2,0,0,-43,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.228086667,35.68,101,53,131466.1,507,0.03,3684.26,7303.67,371,136,154,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,285.0,1.228086667,16,0,0,-124,126,82,7,-16,-106,-2,-22,-1,-31,59,1,5,-107,-44,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.14558,35.62,93,53,122410.63,478,0.03,3436.74,6800.59,353,125,146,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,48.0,1.14558,5,0,0,48,-111,36,97,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.301383333,34.78,112,53,135791.24,530,0.03,3904.15,7543.96,383,147,165,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,777.0,1.301383333,27,0,0,15,95,6,9,93,-66,19,46,-62,29,-112,24,-111,32,98,82,23,-27,7,-41,-42,-116,-98,9,17,-113,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.26269,35.25,106,53,133529.59,518,0.03,3788.07,7418.31,377,141,159,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,594.0,1.26269,21,0,0,124,55,111,-17,47,56,106,49,9,-37,-89,-18,-1,38,36,-106,-64,-3,-72,36,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.240086667,35.16,104,53,130817.1,510,0.03,3720.26,7267.62,372,138,157,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,315.0,1.240086667,18,0,0,110,16,-65,-109,-22,-65,16,92,-20,31,64,78,-13,-94,-50,81,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.255516667,35.5,103,53,133730.91,517,0.03,3766.55,7429.5,379,138,156,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,363.0,1.255516667,18,0,0,-15,-14,39,-70,-15,-4,-79,-104,-74,-99,46,-10,-92,-47,25,-46,-86,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.282026667,34.77,109,53,133713.08,524,0.03,3846.08,7428.5,381,143,162,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,462.0,1.282026667,23,0,0,-71,34,43,85,-79,-3,-77,-107,30,73,-88,-124,72,105,-16,122,-23,-66,-3,102,-40,28,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.1241,35.92,90,53,121140.49,471,0.03,3372.3,6730.03,349,122,143,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,15.0,1.1241,2,0,0,-69,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.19675,35.69,98,53,128149.9,496,0.03,3590.25,7119.44,364,132,151,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,165.0,1.19675,12,0,0,-19,-12,-14,42,2,7,-58,4,-70,33,-120,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
