,BugsDelivered,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Assignment,ExitPoint,Function.1,FunctionCall,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,BRAM
0,2.58944,158,66,543536.44,995,0.01,7768.32,30196.47,660,335,224,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,10882.0,2.58944,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,14,4,3,6,8,6,4,1,4,4,1,0,0,0,9,4,8,7,3,0,0,2,3,2,1,4,1,0,0,0,8
1,6.564826667,230,66,2531853.67,2399,0.01,19694.48,140658.54,1503,896,296,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,20776.0,6.564826667,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,5,16,58,0,13,23,13,33,28,0,50,0,10,15,36,13,26,0,73,0,20,11,29,29,23,0,72,0,30,16
2,2.359336667,141,66,508562.4,920,0.01,7078.01,28253.47,613,307,207,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,847.0,2.359336667,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,7,2,0,0,3,2,1,4,2,1,1,0,0,4,2,4,3,1,0,3,0,1,0,0,0,1,0,1,0,16
3,2.13947,117,66,506889.63,854,0.01,6418.41,28160.54,574,280,183,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,324.0,2.13947,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
4,2.572156667,156,66,546830.74,990,0.01,7716.47,30379.49,655,335,222,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1273.0,2.572156667,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,15,6,0,8,0,8,10,8,9,2,4,1,2,0,8,3,11,5,2,0,0,1,2,2,6,4,1,0,1,0,8
5,2.566486667,151,66,563692.17,992,0.01,7699.46,31316.23,657,335,217,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1736.0,2.566486667,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,4,4,6,0,8,7,0,6,2,0,2,0,2,7,2,10,6,0,0,1,1,5,2,2,3,2,0,1,0,8
6,2.464366667,148,66,527507.75,955,0.01,7393.1,29305.99,635,320,214,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1086.0,2.464366667,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,1,3,10,4,9,3,0,2,1,1,0,1,1,3,6,5,5,0,0,0,3,1,0,4,2,1,0,0,0,16
7,6.61917,232,66,2530805.56,2416,0.01,19857.51,140600.31,1520,896,298,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,15954.0,6.61917,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,24,11,4,69,0,13,13,39,25,0,0,47,0,13,16,43,31,11,1,82,11,8,41,27,3,12,0,46,0,20,16
8,2.59678,159,66,541649.1,997,0.01,7790.34,30091.62,662,335,225,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1750.0,2.59678,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,15,4,2,5,3,10,7,0,7,3,2,0,0,0,10,4,7,5,0,3,1,5,3,2,4,3,1,0,0,0,8
9,3.768283333,208,66,889604.95,1396,0.01,11304.85,49422.5,900,496,274,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,16271.0,3.768283333,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,38,25,21,0,48,0,19,14,41,24,1,0,30,0,27,23,18,12,17,0,29,0,22,16,6,20,13,8,27,10,22,16
