,BugsDelivered,DistinctOperands,DistinctOperators,ProgramLength,ProgramLevel,ProgramVolume,TotalOperators,Goto,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
0,1.231233333,103,53,507,0.03,3693.7,370,0,100,0,0,1.231233333,0,0,-85,41,1,-67,105,92,126,-36,8,-95,-44,9,-70,-126,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
1,1.28692,109,53,526,0.03,3860.76,382,0,100,0,0,1.28692,0,0,-42,-106,-57,26,102,68,114,-37,111,103,1,117,-125,6,-108,114,-98,38,-107,-12,-114,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
2,1.190346667,97,53,494,0.03,3571.04,362,0,100,0,0,1.190346667,0,0,-115,-94,28,-43,88,30,-69,23,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
3,1.29493,111,53,528,0.03,3884.79,384,0,100,0,0,1.29493,0,0,67,-34,31,91,-101,18,21,-124,100,-109,-10,37,13,23,-108,-80,-122,-97,-77,-100,88,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
4,1.266693333,107,53,519,0.03,3800.08,378,0,100,0,0,1.266693333,0,0,-28,-52,101,91,-81,79,-88,6,-88,53,-101,-17,16,11,-111,37,-97,-50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
5,1.253816667,105,53,515,0.03,3761.45,376,0,100,0,0,1.253816667,0,0,-103,95,-37,10,-23,45,63,104,-63,-53,-107,-12,-109,89,-14,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
6,1.21113,101,53,500,0.03,3633.39,366,0,100,0,0,1.21113,0,0,-19,109,97,88,-117,53,-118,-85,38,83,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
7,1.298276667,110,53,530,0.03,3894.83,385,0,100,0,0,1.298276667,0,0,-26,-55,-13,-14,44,-23,73,15,58,-65,-55,96,40,-72,-117,33,-69,111,-97,-96,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
8,1.31676,114,53,535,0.03,3950.28,387,0,100,0,0,1.31676,0,0,1,-62,-119,-43,46,29,-66,-24,-8,-78,-67,16,55,81,-4,116,51,3,69,-59,-47,31,124,61,-44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
9,1.249813333,104,53,514,0.03,3749.44,376,0,100,0,0,1.249813333,0,0,119,73,-16,99,-91,-112,-45,-107,-6,45,94,-123,-66,-56,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
10,1.140016667,91,53,477,0.03,3420.05,353,0,100,0,0,1.140016667,0,0,-16,22,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
11,1.224813333,102,53,505,0.03,3674.44,369,0,100,0,0,1.224813333,0,0,12,15,-53,-112,-95,34,92,44,-72,101,-97,16,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
12,1.26269,106,53,518,0.03,3788.07,376,0,100,0,0,1.26269,0,0,21,98,104,-69,69,78,69,97,2,-46,76,-80,122,28,113,-82,-29,112,-46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
13,1.165526667,95,53,485,0.03,3496.58,358,0,100,0,0,1.165526667,0,0,-116,37,-108,-55,-90,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
14,1.171913333,96,53,487,0.03,3515.74,359,0,100,0,0,1.171913333,0,0,43,-125,-97,-116,-19,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
15,1.137626667,91,53,476,0.03,3412.88,352,0,100,0,0,1.137626667,0,0,-45,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
16,1.264253333,107,53,518,0.03,3792.76,378,0,100,0,0,1.264253333,0,0,-35,84,-6,2,126,100,-97,-53,122,-43,67,-120,-38,48,-8,5,-9,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
17,1.132846667,91,53,474,0.03,3398.54,351,0,100,0,0,1.132846667,0,0,-43,48,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
18,1.204726667,100,53,498,0.03,3614.18,366,0,100,0,0,1.204726667,0,0,44,-107,-70,24,-7,-65,-33,-26,-98,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
19,1.207146667,100,53,499,0.03,3621.44,365,0,100,0,0,1.207146667,0,0,114,70,-86,121,-85,-110,68,78,-117,58,86,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
20,1.177446667,98,53,488,0.03,3532.34,358,0,100,0,0,1.177446667,0,0,35,22,97,2,58,80,-23,118,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
21,1.171913333,96,53,487,0.03,3515.74,359,0,100,0,0,1.171913333,0,0,123,18,-87,-117,-81,-84,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
22,1.130456667,91,53,473,0.03,3391.37,350,0,100,0,0,1.130456667,0,0,25,-85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
23,1.151946667,94,53,480,0.03,3455.84,354,0,100,0,0,1.151946667,0,0,68,-90,99,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
24,1.23852,103,53,510,0.03,3715.56,372,0,100,0,0,1.23852,0,0,-64,65,-109,90,-17,7,-13,-18,-112,-90,88,85,73,96,88,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.2498353
