,Effort,ProgramLength,ProgramLevel,TimeToImplement,TotalOperators,Total_Operands,CoverageEstimation,SCALAR_INPUT,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,min_Slack
0,508927.51,851,0.01,28273.75,571,280,90,1,1,3,1,2.12971,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
1,586809.43,1081,0.01,32600.52,710,371,90,1,1,3,1,2.859836667,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,18,2,13,6,10,11,1,4,10,0,6,11,0,9,6,0,2,3,7,5,5,5,5,2,2,0,0,1.11022e-16
2,2279087.48,2293,0.01,126615.97,1446,847,90,1,1,3,1,6.278476667,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,26,3,61,14,22,19,29,35,4,0,65,0,18,4,36,16,25,10,52,0,27,4,36,28,4,0,56,0,26,1.11022e-16
3,503034.0,891,0.01,27946.33,595,296,90,1,1,3,1,2.26592,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,3,0,1,3,0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
4,502530.58,853,0.01,27918.37,573,280,90,1,1,3,1,2.1392,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
5,632833.07,1130,0.01,35157.39,738,392,90,1,1,3,1,3.000446667,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8,0,27,11,6,14,10,11,0,0,18,0,4,15,14,9,4,0,19,11,9,7,3,9,3,0,4,0,6,1.11022e-16
6,1506286.62,1870,0.01,83682.59,1199,671,90,1,1,3,1,5.101906667,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,12,3,50,0,3,16,24,22,0,0,71,0,15,28,13,20,0,0,30,6,11,26,22,23,3,3,48,0,20,1.11022e-16
7,600640.53,1085,0.01,33368.92,714,371,90,1,1,3,1,2.861826667,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4,0,20,5,12,11,9,8,0,1,5,0,3,7,6,9,12,0,0,0,10,5,3,7,7,0,3,0,4,1.11022e-16
8,625414.26,1143,0.01,34745.24,751,392,90,1,1,3,1,3.04585,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,21,8,13,6,10,17,1,0,25,0,4,13,3,10,10,0,11,7,10,11,1,8,8,2,4,1,4,1.11022e-16
9,514940.63,920,0.01,28607.81,613,307,90,1,1,3,1,2.35504,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,1,0,3,1,0,3,1,0,1,0,1,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1.11022e-16
10,505856.86,896,0.01,28103.16,600,296,90,1,1,3,1,2.278633333,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,0,4,1,0,2,1,0,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,1.11022e-16
11,513398.56,923,0.01,28522.14,616,307,90,1,1,3,1,2.36488,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,1,0,7,2,0,5,2,2,0,1,0,2,2,3,5,0,0,0,1,0,1,1,1,1,0,0,0,1.11022e-16
12,1208197.47,1659,0.01,67122.08,1064,595,90,1,1,3,1,4.51241,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,13,0,57,4,11,15,13,17,20,0,45,1,20,24,15,28,22,0,48,0,29,25,10,20,26,2,44,1,17,1.11022e-16
13,1510642.79,1861,0.01,83924.6,1190,671,90,1,1,3,1,5.07118,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,14,3,71,0,13,24,16,33,21,0,47,0,29,19,19,16,0,0,43,10,13,26,15,14,0,0,48,1,19,1.11022e-16
14,1482121.59,1840,0.01,82340.09,1169,671,90,1,1,3,1,5.020056667,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,0,63,0,29,18,2,36,9,0,76,0,18,2,0,19,27,0,57,0,18,16,10,22,4,0,59,0,9,1.11022e-16
15,607731.62,1076,0.01,33762.87,705,371,90,1,1,3,1,2.82943,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,14,0,15,4,15,10,7,14,0,4,15,2,2,7,6,10,14,0,12,4,12,6,2,8,6,2,3,2,5,1.11022e-16
16,501352.32,851,0.01,27852.91,571,280,90,1,1,3,1,2.134183333,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
17,1482121.59,1840,0.01,82340.09,1169,671,90,1,1,3,1,5.020056667,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,24,1,60,0,18,50,16,25,3,0,45,0,25,27,37,26,15,0,74,11,29,31,19,8,14,15,47,0,17,1.11022e-16
18,510942.27,887,0.01,28385.68,591,296,90,1,1,3,1,2.249233333,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1.11022e-16
19,612250.07,1084,0.01,34013.89,713,371,90,1,1,3,1,2.850466667,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,5,0,18,1,9,13,4,16,0,1,9,0,4,12,2,12,9,1,1,6,11,9,4,8,9,3,1,4,6,1.11022e-16
