id,clockCycles,assemblyInstr
values_27,406,
values_84,153,
values_65,853,
values_96,22,
values_28,457,
values_54,141,
values_15,346,
values_87,234,
values_59,297,
values_5,69,
values_92,22,
values_0,764,
values_77,103,
values_17,432,
values_12,764,
values_33,157,
values_25,418,
values_19,659,
values_97,639,
values_81,364,
values_8,312,
values_73,641,
values_89,787,
values_82,69,
values_34,141,
values_70,845,
values_29,348,
values_51,690,
values_57,766,
values_88,777,
values_23,316,
values_45,851,
values_66,44,
values_36,692,
values_56,22,
values_26,46,
values_43,643,
values_52,849,
values_98,774,
values_61,702,
values_44,22,
values_68,764,
values_41,293,
values_85,770,
values_79,641,
values_71,823,
values_63,404,
values_20,823,
values_74,645,
values_72,428,
values_86,69,
values_75,314,
values_55,408,
values_14,657,
values_47,44,
values_91,141,
values_64,829,
values_11,695,
values_49,184,
values_62,766,
values_80,412,
values_39,22,
values_90,295,
values_53,314,
values_94,557,
values_7,424,
values_31,143,
values_93,635,
values_38,715,
values_58,143,
values_78,354,
values_50,426,
values_3,155,
values_13,69,
values_83,69,
values_1,356,
values_21,424,
values_32,297,
values_22,815,
values_9,157,
values_6,141,
values_76,291,
values_18,428,
values_16,404,
values_40,709,
values_2,428,
values_60,312,
values_99,244,
values_48,785,
values_69,424,
values_46,103,
values_24,702,
values_95,426,
values_42,551,
values_37,827,
values_10,463,
values_67,67,
values_35,406,
values_30,137,
values_4,823,
