id,cInstr
values_27,817
values_84,327
values_65,1615
values_96,56
values_28,909
values_54,311
values_15,702
values_87,490
values_59,620
values_5,152
values_92,54
values_0,1489
values_77,229
values_17,842
values_12,1483
values_33,325
values_25,835
values_19,1303
values_97,1276
values_81,725
values_8,642
values_73,1281
values_89,1527
values_82,154
values_34,311
values_70,1615
values_29,699
values_51,1368
values_57,1492
values_88,1510
values_23,646
values_45,1620
values_66,109
values_36,1367
values_56,56
values_26,108
values_43,1276
values_52,1603
values_98,1492
values_61,1374
values_44,56
values_68,1493
values_41,616
values_85,1496
values_79,1269
values_71,1590
values_63,818
values_20,1586
values_74,1275
values_72,846
values_86,156
values_75,643
values_55,818
values_14,1304
values_47,109
values_91,307
values_64,1603
values_11,1385
values_49,385
values_62,1494
values_80,820
values_39,56
values_90,623
values_53,647
values_94,1081
values_7,846
values_31,308
values_93,1276
values_38,1393
values_58,314
values_78,720
values_50,845
values_3,326
values_13,154
values_83,154
values_1,717
values_21,846
values_32,624
values_22,1586
values_9,329
values_6,309
values_76,619
values_18,840
values_16,818
values_40,1398
values_2,840
values_60,640
values_99,487
values_48,1516
values_69,846
values_46,227
values_24,1372
values_95,841
values_42,1084
values_37,1588
values_10,908
values_67,153
values_35,817
values_30,309
values_4,1584
