id,cInstr
values_27,60731433089499139
values_84,471570213502979
values_65,50467023
values_96,304
values_28,27744509067299651584
values_54,30707251479785647
values_15,9619688804063406688
values_87,13871790539742904320
values_59,1688849860277658
values_5,13872236941463781376
values_92,1407374883553283
values_0,400
values_77,1830294831
values_17,10664523917620484117
values_12,4537458389
values_33,846695692763139
values_25,196
values_19,21474836483
values_97,12472360755787855459
values_81,1830294831
values_8,1830294831
values_73,3458764513827567304
values_89,16
values_82,297366872784899
values_34,3307405574147
values_70,3
values_29,423359221334019
values_51,7661748866064056512
values_57,1688849860277658
values_88,37041262510192197632
values_23,28
values_45,13872236941463781376
values_66,4537458389
values_36,14534228995
values_56,7195590419
values_26,27744509067299651584
values_43,108379960661508099
values_52,14534228995
values_98,236
values_61,243843847652638723
values_44,88
values_68,3720762359811
values_41,3
values_85,468555475579
values_79,5374413373443
values_71,428
values_63,50467023
values_20,9517231912540700672
values_74,119950201420595
values_72,9619688804063406688
values_86,1830294831
values_75,3458764513827567304
values_55,36
values_14,13871790539742904320
values_47,7861056357350288663
values_91,656
values_64,952515097001987
values_11,4537458389
values_49,9619688804063406688
values_62,7725585220454362388
values_80,76125919432933379
values_39,3720762359811
values_90,460480762744
values_53,327683
values_94,468555475579
values_7,19488235374830944259
values_31,216754062987624451
values_93,4537458389
values_38,9517231912540700672
values_58,98568
values_78,952515097001987
values_50,3720762359811
values_3,3458764513827567304
values_13,6597069766708
values_83,120721974656761859
values_1,88
values_21,1161589346819
values_32,7725585220454362388
values_22,40
values_9,9403516021949595648
values_6,926688126979
values_76,9403516021949595648
values_18,352217554841763843
values_16,19043471024336142720
values_40,432
values_2,6597069766708
values_60,7725585220454362388
values_99,1798752976
values_48,664
values_69,1798752976
values_46,27745269929346072788
values_24,9511602413006487744
values_95,19239377608126813760
values_42,119950201420595
values_37,24
values_10,7195590419
values_67,1798752976
values_35,98568
values_30,16
values_4,460480762744
