inputName,size,arr[size]
values_27,23,"{106, 88, 29, 80, 30, 4, 98, 25, 48, 42, 75, 3, 116, 48, 19, 113, 66, 84, 34, 80, 68, 102, 61"
values_84,12,"{112, 78, 55, 68, 13, 30, 115, 106, 10, 65, 34, 54"
values_65,21,"{58, 38, 73, 102, 3, 52, 18, 64, 5, 54, 21, 106, 110, 10, 57, 35, 97, 39, 56, 24, 77"
values_96,15,"{3, 116, 83, 80, 88, 65, 20, 49, 112, 8, 97, 14, 65, 104, 116"
values_28,24,"{64, 89, 59, 13, 20, 41, 85, 7, 116, 76, 34, 105, 99, 68, 116, 114, 104, 85, 109, 111, 9, 14, 102, 19"
values_54,17,"{27, 66, 26, 56, 44, 54, 37, 84, 47, 5, 3, 13, 34, 66, 88, 61, 34"
values_15,19,"{70, 89, 74, 17, 25, 110, 4, 93, 20, 29, 16, 101, 105, 25, 37, 12, 94, 72, 50"
values_87,12,"{47, 62, 7, 18, 30, 37, 76, 59, 114, 27, 68, 52"
values_59,16,"{53, 98, 73, 88, 77, 45, 109, 20, 28, 15, 58, 78, 56, 115, 2, 86"
values_5,6,"{86, 112, 23, 79, 68, 11"
values_92,14,"{93, 103, 56, 7, 5, 53, 94, 109, 103, 101, 23, 85, 9, 90"
values_0,20,"{2, 32, 2, 29, 81, 4, 64, 40, 21, 113, 20, 51, 100, 47, 113, 71, 34, 17, 78, 115"
values_77,27,"{106, 60, 83, 80, 73, 80, 108, 39, 95, 52, 3, 60, 19, 34, 57, 60, 90, 89, 16, 12, 23, 39, 20, 51, 113, 60, 16"
values_17,27,"{19, 93, 52, 84, 35, 109, 28, 53, 34, 58, 88, 102, 4, 17, 53, 99, 33, 23, 107, 26, 43, 105, 39, 49, 37, 96, 88"
values_12,14,"{89, 4, 87, 81, 66, 103, 2, 61, 28, 94, 60, 112, 94, 48"
values_33,22,"{56, 31, 63, 13, 100, 77, 15, 95, 17, 31, 61, 109, 63, 26, 104, 19, 16, 5, 14, 36, 19, 21"
values_25,12,"{18, 96, 21, 109, 82, 60, 62, 42, 39, 57, 113, 116"
values_19,16,"{109, 69, 60, 45, 24, 96, 80, 101, 53, 30, 79, 23, 36, 19, 46, 92"
values_97,26,"{37, 59, 103, 83, 106, 20, 66, 38, 8, 100, 72, 90, 93, 59, 63, 45, 31, 80, 68, 42, 114, 22, 20, 6, 103, 76"
values_81,22,"{66, 21, 12, 74, 105, 2, 104, 82, 48, 22, 78, 56, 85, 101, 13, 54, 91, 42, 58, 88, 16, 68"
values_8,28,"{116, 68, 63, 95, 25, 60, 34, 101, 79, 78, 35, 49, 76, 74, 91, 48, 87, 99, 98, 100, 68, 29, 32, 75, 21, 109, 89, 16"
values_73,21,"{11, 38, 71, 48, 67, 75, 82, 51, 67, 90, 78, 59, 9, 74, 76, 98, 94, 57, 68, 60, 69"
values_89,2,"{56, 58"
values_82,23,"{64, 87, 67, 82, 46, 110, 40, 19, 14, 84, 66, 64, 62, 70, 53, 61, 10, 19, 21, 100, 92, 112, 46"
values_34,24,"{37, 76, 48, 107, 106, 22, 8, 76, 9, 15, 9, 81, 54, 49, 80, 56, 57, 89, 45, 10, 36, 2, 96, 22"
values_70,23,"{106, 11, 100, 114, 45, 64, 80, 31, 110, 82, 106, 76, 55, 36, 16, 63, 98, 55, 114, 20, 99, 50, 81"
values_29,8,"{71, 38, 39, 92, 16, 88, 46, 69"
values_51,14,"{63, 36, 3, 44, 18, 98, 48, 46, 101, 9, 42, 97, 74, 115"
values_57,12,"{14, 50, 96, 92, 47, 10, 39, 42, 98, 51, 8, 2"
values_88,26,"{93, 87, 85, 39, 50, 88, 5, 26, 70, 48, 88, 49, 67, 69, 60, 50, 23, 77, 89, 8, 33, 23, 12, 12, 35, 100"
values_23,3,"{15, 94, 22"
values_45,13,"{35, 109, 21, 36, 11, 23, 91, 55, 11, 113, 95, 95, 74"
values_66,22,"{113, 88, 61, 55, 79, 113, 62, 81, 40, 26, 6, 68, 35, 52, 107, 49, 39, 3, 71, 16, 32, 48"
values_36,14,"{46, 115, 99, 43, 62, 48, 114, 28, 47, 83, 29, 67, 51, 31"
values_56,12,"{59, 71, 114, 46, 25, 10, 107, 7, 33, 9, 46, 56"
values_26,3,"{65, 19, 104"
values_43,4,"{69, 106, 109, 68"
values_52,25,"{40, 77, 69, 107, 80, 84, 9, 30, 54, 11, 89, 27, 100, 64, 85, 29, 10, 107, 50, 93, 100, 40, 5, 46, 31"
values_98,13,"{15, 28, 104, 17, 18, 76, 70, 83, 59, 109, 66, 17, 49"
values_61,2,"{101, 28"
values_44,7,"{12, 101, 101, 26, 90, 109, 30"
values_68,27,"{44, 90, 88, 62, 77, 102, 106, 47, 45, 47, 42, 77, 36, 16, 34, 58, 58, 77, 52, 21, 34, 37, 68, 25, 30, 64, 61"
values_41,24,"{89, 57, 104, 72, 55, 110, 92, 5, 24, 68, 95, 50, 77, 50, 18, 36, 42, 65, 56, 38, 26, 110, 91, 85"
values_85,12,"{73, 7, 9, 63, 46, 60, 2, 17, 75, 68, 15, 79"
