inputName,idum
values_27,10
values_84,4
values_65,-4
values_96,3
values_28,-34
values_54,14
values_15,116
values_87,-107
values_59,37
values_5,7
values_92,-110
values_0,-9
values_77,-4
values_17,97
values_12,56
values_33,12
values_25,-47
values_19,45
values_97,-60
values_81,5
values_8,-14
values_73,54
values_89,-113
values_82,-81
values_34,-124
values_70,-104
values_29,-35
values_51,34
values_57,75
values_88,-4
values_23,82
values_45,-69
values_66,117
values_36,-21
values_56,-37
values_26,97
values_43,-16
values_52,44
values_98,48
values_61,59
values_44,115
values_68,-101
values_41,34
values_85,-66
values_79,-95
values_71,56
values_63,-75
values_20,4
values_74,-74
values_72,36
values_86,80
values_75,-48
values_55,-21
values_14,26
values_47,-15
values_91,21
values_64,119
values_11,-44
values_49,33
values_62,-49
values_80,-21
values_39,49
values_90,114
values_53,-10
values_94,-111
values_7,-45
values_31,95
values_93,-83
values_38,107
values_58,-38
values_78,113
values_50,-114
values_3,17
values_13,-49
values_83,113
values_1,28
values_21,-12
values_32,86
values_22,-33
values_9,-63
values_6,-106
values_76,19
values_18,68
values_16,1
values_40,-32
values_2,-28
values_60,-126
values_99,98
values_48,-78
values_69,-45
values_46,18
values_24,92
values_95,-37
values_42,-123
values_37,107
values_10,-43
values_67,28
values_35,60
values_30,59
values_4,112
