values_27,21
values_84,3
values_65,24
values_96,8
values_28,11
values_54,10
values_15,3
values_87,19
values_59,3
values_5,12
values_92,16
values_0,7
values_77,11
values_17,6
values_12,7
values_33,16
values_25,19
values_19,14
values_97,7
values_81,25
values_8,13
values_73,7
values_89,4
values_82,15
values_34,7
values_70,23
values_29,19
values_51,20
values_57,25
values_88,3
values_23,15
values_45,6
values_66,17
values_36,8
values_56,6
values_26,24
values_43,4
values_52,4
values_98,4
values_61,5
values_44,24
values_68,23
values_41,17
values_85,18
values_79,12
values_71,3
values_63,19
values_20,24
values_74,5
values_72,20
values_86,14
values_75,9
values_55,9
values_14,23
values_47,7
values_91,7
values_64,6
values_11,17
values_49,25
values_62,19
values_80,13
values_39,25
values_90,3
values_53,6
values_94,3
values_7,12
values_31,24
values_93,20
values_38,5
values_58,20
values_78,2
values_50,5
values_3,21
values_13,7
values_83,9
values_1,11
values_21,18
values_32,24
values_22,19
values_9,24
values_6,20
values_76,25
values_18,23
values_16,15
values_40,20
values_2,2
values_60,3
values_99,2
values_48,22
values_69,16
values_46,24
values_24,5
values_95,23
values_42,21
values_37,16
values_10,22
values_67,9
values_35,2
values_30,3
values_4,9
