inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_84, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_65, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_96, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_28, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_54, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_15, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_87, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_59, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_5, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_92, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_0, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_77, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_17, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_12, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_33, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_25, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_19, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_97, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_81, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_8, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_73, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_89, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_82, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_34, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_70, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_29, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_51, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
values_57, 79, 10, 2, 10, 6, 0, 38, 4, 4, 3, 0, 14, 4, 4, 100.0
