inputName,size,a[size]
values_27,18,"{-35, -82, -13, -47, -123, -102, 74, 79, 39, 40, -83, 63, -126, 18, 13, 114, 55, 67"
values_84,4,"{-43, -54, 101, 25"
values_65,7,"{-28, 109, -12, 102, 2, -17, -51"
values_96,25,"{-10, 93, -78, -121, 13, -59, -100, 19, -50, -116, -76, 94, 124, -117, 89, -84, -9, 104, 29, 23, -94, 60, 92, 65, -13"
values_28,4,"{-25, 95, 40, -5"
values_54,6,"{107, 74, -78, -2, 47, 88"
values_15,23,"{122, 34, 120, -57, -56, -26, 85, 7, 98, -86, 31, -53, -97, 68, -107, 105, -28, 4, 10, -33, 33, 45, 57"
values_87,9,"{35, -72, -26, -64, -119, -53, 50, -114, -76"
values_59,7,"{-114, -118, 10, -81, 8, -23, -62"
values_5,11,"{63, -30, 82, 51, -46, 109, 119, -81, 89, 3, -72"
values_92,13,"{-71, 126, 15, -25, -52, 65, 115, 31, 15, 54, -73, -85, 68"
values_0,2,"{53, -17"
values_77,23,"{-28, 25, 12, 119, 107, -101, -97, 63, -12, 61, 120, 53, 125, 88, 15, 34, 69, -77, 32, -97, 119, 97, -77"
values_17,18,"{-86, 100, 92, 65, 90, 22, 68, -51, -77, -75, -6, 67, -73, -123, -92, 32, 7, -13"
values_12,20,"{-31, -55, -67, -54, -87, -87, 113, -83, -22, -49, -62, 99, 95, 70, 38, 63, 47, -57, -99, 0"
values_33,14,"{14, 7, -11, -105, -74, 46, 117, 26, -28, -109, -20, 18, -68, 47"
values_25,22,"{37, -23, 15, -13, -112, 38, -26, 57, 34, -27, 83, -60, 117, 32, -102, -108, 88, 62, -47, -29, 92, -102"
values_19,10,"{-84, -78, -76, -17, -82, -29, -99, -83, -114, 75"
values_97,22,"{-98, 110, -94, 17, 39, 121, -75, 0, -115, 11, -36, 7, -38, 66, 101, 28, -42, -121, -96, 69, 36, -70"
values_81,8,"{-21, -58, -109, -101, 109, -73, 17, 2"
values_8,22,"{35, -105, 115, -25, 124, -14, -121, -45, -61, -117, 36, 41, 67, -25, 54, -73, -102, -42, 110, 67, 110, -91"
values_73,6,"{-120, -48, -90, -32, 33, -123"
values_89,18,"{-67, 37, -119, 126, -50, 19, -83, 70, -49, 27, -91, -54, -120, 80, 25, -96, -59, -17"
