id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,761,,1268,0.600
values_84,78,,155,0.503
values_65,179,,329,0.544
values_96,989,,1614,0.613
values_28,80,,156,0.513
values_54,165,,311,0.531
values_15,915,,1516,0.604
values_87,277,,489,0.566
values_59,179,,331,0.541
values_5,367,,644,0.570
values_92,426,,725,0.588
values_0,25,,56,0.446
values_77,925,,1523,0.607
values_17,745,,1276,0.584
values_12,819,,1370,0.598
values_33,474,,814,0.582
values_25,901,,1494,0.603
values_19,350,,616,0.568
values_97,897,,1486,0.604
values_81,211,,385,0.548
values_8,897,,1492,0.601
values_73,167,,308,0.542
values_89,755,,1271,0.594
values_82,975,,1584,0.616
values_34,468,,811,0.577
values_70,367,,642,0.572
values_29,975,,1590,0.613
values_51,470,,816,0.576
values_57,25,,54,0.463
values_88,213,,384,0.555
values_23,538,,912,0.590
values_45,474,,806,0.588
values_66,211,,379,0.557
values_36,118,,224,0.527
values_56,183,,327,0.560
values_26,359,,636,0.564
values_43,542,,908,0.597
values_52,753,,1274,0.591
values_98,499,,839,0.595
values_61,838,,1389,0.603
values_44,215,,385,0.558
values_68,122,,224,0.545
values_41,662,,1093,0.606
values_85,271,,486,0.558
values_79,420,,722,0.582
values_71,765,,1280,0.598
values_63,540,,903,0.598
values_20,25,,54,0.463
values_74,779,,1303,0.598
values_72,51,,109,0.468
values_86,277,,487,0.569
values_75,893,,1476,0.605
values_55,275,,486,0.566
values_14,834,,1389,0.600
values_47,181,,328,0.552
values_91,80,,156,0.513
values_64,78,,153,0.510
values_11,967,,1590,0.608
values_49,991,,1613,0.614
values_62,979,,1601,0.611
values_80,850,,1395,0.609
values_39,927,,1524,0.608
values_90,983,,1607,0.612
values_53,921,,1519,0.606
values_94,493,,844,0.584
values_7,416,,720,0.578
values_31,359,,644,0.557
values_93,971,,1586,0.612
values_38,118,,224,0.527
values_58,476,,819,0.581
values_78,80,,156,0.513
values_50,120,,227,0.529
values_3,476,,819,0.581
values_13,275,,484,0.568
values_83,989,,1608,0.615
values_1,495,,845,0.586
values_21,997,,1612,0.618
values_32,491,,837,0.587
values_22,53,,108,0.491
values_9,350,,622,0.563
values_6,544,,905,0.601
values_76,283,,488,0.580
values_18,215,,379,0.567
values_16,959,,1592,0.602
values_40,213,,382,0.558
values_2,499,,847,0.589
values_60,404,,699,0.578
values_99,400,,701,0.571
values_48,281,,487,0.577
values_69,51,,107,0.477
values_46,838,,1383,0.606
values_24,476,,819,0.581
values_95,25,,54,0.463
values_42,213,,386,0.552
values_37,80,,154,0.519
values_10,365,,641,0.569
values_67,78,,153,0.510
values_35,499,,843,0.592
values_30,346,,618,0.560
values_4,167,,312,0.535
