,Area,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,ARRAY_INPUT,RANGE_ARRAY_INPUT,cInstr
Area,1.0,0.17659902032619532,0.5463634912456646,0.08945014746167283,0.2707056431283097,0.24103193707607887,0.19827617012126883,-0.4365338349069561,0.1765990203165793,0.24103193666542705,0.19314038451336346,0.20297558584784858,0.1268422963395675,0.6361790011139121,0.5536611634254383,0.06405642178319304,0.5536611634254383,0.5424259998817166,0.7937918044689569,0.6671429087399559,0.35444005812206736,0.35444005812206736,0.30025936600232855,0.4015490245318252,0.5212465497281578,0.20106693659745073,0.144625309132704,-0.5481160141365404,0.3964520478600434,0.15080002240948512,0.2717321206435164,0.27173212064351604,0.26191166274333827,0.11910969680457588,-0.017546522146998596
BugsDelivered,0.17659902032619532,1.0,0.5981712089591347,0.876798579587108,0.37446506473704416,0.9508629904497823,0.9979980688121396,-0.5861571829663945,1.0,0.950862988631045,0.9955581512144699,0.9882319242335025,0.840662533990948,0.5669527599088423,0.6480548023275368,0.588496743829288,0.6480548023275368,0.6298081938813993,0.19762739215241695,0.429572454516077,0.5451785313831043,0.5451785313831043,0.535698368902596,0.2266195636163559,0.6513816137984042,0.5469780472347638,0.5377475791155709,-0.09794444330075386,-0.1766693817818663,-0.19119684242743407,0.3418832490356213,0.341883249035621,0.39005234090823354,0.0035858625491581625,-0.044372803610407345
DifficultyLevel,0.5463634912456646,0.5981712089591347,1.0,0.3532646672277045,0.37726305061877097,0.714654329564387,0.6275198314761031,-0.8685902503207884,0.5981712089541031,0.7146543355554177,0.6289966638996276,0.6170806671563539,0.37870400372862933,0.7996537681092551,0.7586390659055742,0.27871626497594876,0.7586390659055742,0.7329759184075254,0.45206135045453394,0.855797077774482,0.4203748272570607,0.4203748272570607,0.3854115502865725,0.717253135983068,0.6935481438356502,0.34408482825784936,0.31037770451881946,-0.30187341862876166,-0.017460063162160224,-0.1594767696345184,0.42298013280415736,0.4229801328041576,0.41337551166497855,0.22933749990148286,-0.04085580854840982
DistinctOperands,0.08945014746167283,0.876798579587108,0.3532646672277045,1.0,0.6039503077921978,0.7304351239293649,0.8564640369522046,-0.41809779364769056,0.8767985795870501,0.7304351145015607,0.8628427667162012,0.8359876223381846,0.9900354882418049,0.45259501963238297,0.5354487994823661,0.7607109180838482,0.5354487994823661,0.5051600201678476,0.13375129439226105,0.28743371385830474,0.5333457267296069,0.5333457267296069,0.551139825917055,0.1204276426369682,0.5644502692716749,0.5618015182925226,0.5457790456013107,-0.09407202363573468,-0.17581475115481682,-0.13716114615693029,0.3246858449630609,0.3246858449630594,0.3810552218772848,-0.09882707497382151,-0.042478381846947515
DistinctOperators,0.2707056431283097,0.37446506473704416,0.37726305061877097,0.6039503077921978,1.0,0.3422854591289407,0.35031439973014195,-0.4371816709440376,0.3744650647260129,0.3422854472314181,0.39316753565547624,0.28448770601617557,0.7101673428670036,0.45231428675921426,0.42544627669832785,0.727715170323394,0.42544627669832785,0.35495414327178987,0.33578007338005855,0.4108788804967539,0.3836493059024566,0.3836493059024566,0.42316589611917627,0.24822257002278414,0.4357822288090015,0.3794259269366432,0.3265358986345669,-0.2926206854077925,0.0722602228848067,0.10298332218431129,0.2805010714129807,0.28050107141298025,0.23225827683136083,0.14351217607175862,-0.019725155060196637
Effort,0.24103193707607887,0.9508629904497823,0.714654329564387,0.7304351239293649,0.3422854591289407,1.0,0.9528027952857514,-0.6225066668483333,0.9508629904484935,0.999999999999989,0.9532735599018901,0.9394814477169784,0.7056898930258955,0.5837276334291828,0.6431289478219228,0.4924903335202892,0.6431289478219228,0.608844915758642,0.26852708191703156,0.48822096851604246,0.5069130894017283,0.5069130894017283,0.49297424574208865,0.307893440079083,0.635624542955871,0.48983824203689896,0.47456103183220066,-0.14355457781066003,-0.09024321466029385,-0.12391613684378222,0.31239675996088834,0.3123967599608894,0.34644180400598057,0.07514856393643722,-0.03913133170703482
ProgramLength,0.19827617012126883,0.9979980688121396,0.6275198314761031,0.8564640369522046,0.35031439973014195,0.9528027952857514,1.0,-0.6088800364665837,0.9979980688122791,0.952802794132924,0.9961736728399271,0.9921864782792112,0.8184334885853449,0.5859098665279955,0.6630470035011073,0.56178216214082,0.6630470035011073,0.651235285371333,0.20327725546957107,0.4585575510856539,0.5369346517600422,0.5369346517600422,0.5235098291436329,0.2591180087013945,0.6598458662985965,0.5344763206891013,0.5261517361345223,-0.10025587596601432,-0.1867054137817064,-0.21235773866241645,0.35418564009858117,0.35418564009858094,0.40152960370811536,0.010938810461053992,-0.045409853018275194
ProgramLevel,-0.4365338349069561,-0.5861571829663945,-0.8685902503207884,-0.41809779364769056,-0.4371816709440376,-0.6225066668483333,-0.6088800364665837,1.0,-0.5861571829536278,-0.6225066747655678,-0.6092138530146347,-0.6003200699631521,-0.4465594480428586,-0.8082717262511404,-0.7736967572397574,-0.3647549339599682,-0.7736967572397574,-0.7400869297902603,-0.4075753081365171,-0.8055742071954941,-0.5241005258340427,-0.5241005258340427,-0.4988594765481629,-0.5455597057886143,-0.737520342441437,-0.47437871893325284,-0.44564709001233244,0.26002701683468776,0.11811403670054195,0.2190605811364142,-0.4292878755338174,-0.4292878755338165,-0.43975162463342377,-0.21668008579315662,0.0375922273920983
ProgramVolume,0.1765990203165793,1.0,0.5981712089541031,0.8767985795870501,0.3744650647260129,0.9508629904484935,0.9979980688122791,-0.5861571829536278,1.0,0.9508629886297557,0.9955581512139278,0.9882319242346099,0.8406625339889464,0.5669527598992699,0.6480548023176994,0.588496743826418,0.6480548023176994,0.6298081938722759,0.19762739212463962,0.42957245451349035,0.5451785313658506,0.5451785313658506,0.535698368885599,0.22661956361766394,0.6513816137856726,0.5469780472208784,0.5377475791024782,-0.09794444329257522,-0.17666938178458363,-0.19119684242515583,0.3418832490265748,0.3418832490265762,0.39005234090124286,0.003585862526328179,-0.044372803602931055
TimeToImplement,0.24103193666542705,0.950862988631045,0.7146543355554177,0.7304351145015607,0.3422854472314181,0.999999999999989,0.952802794132924,-0.6225066747655678,0.9508629886297557,1.0,0.9532735576743252,0.9394814481137307,0.7056898825959802,0.5837276415201251,0.6431289579782189,0.49249032380938135,0.6431289579782189,0.6088449217434095,0.26852708386615387,0.48822097694731226,0.5069130925590065,0.5069130925590065,0.4929742451635358,0.3078934456919214,0.6356245514583814,0.48983824211608584,0.4745610318230108,-0.14355457751264086,-0.09024321636128638,-0.12391614565861792,0.3123967687729023,0.3123967687729024,0.3464418115157778,0.0751485778697183,-0.03913133306620384
