,BRAM,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28
BRAM,1.0,-0.017629810939152474,0.014763529178345072,-0.09862821509276369,-0.06558434085762613,-0.08189770631209735,-0.0673913393930707,-0.004797406695699629,-0.02925415296289754,-0.06415075972803964,-0.011476501851787682,-0.04865072349584829,-0.024939757048638076,-0.05011569004462217,-0.05830547697456963,-0.04797832815695151,-0.04839745784352442,-0.046458781419277374,-0.03877216911129292,-0.04377808826866737,-0.049106098332693186,-0.0524277255733586,-0.04799748601020055,-0.023987326551974546,-0.03217635583530251,-0.044433254741773086,-0.04605539636419059,-0.02947391985535196,-0.0322869488424531,-0.010804769250716186,-0.010467241310959852,-0.010834021971663834
SS_VAL_1,-0.017629810939152474,1.0,-0.2310314583690407,-0.22224708929810144,0.05660590497793834,0.05899483669888336,0.06581625693796073,0.08022390620631582,0.07737196089685519,0.10430904600132537,0.05530482480855892,0.08393132157466647,0.07934404136980888,0.08792286820431335,0.07950727669625303,0.10285614916902261,0.09560196845579327,0.146996751859049,0.09965057758656909,0.11780797383574211,0.19999357973065865,0.13926522083828233,0.10701383294156919,0.1497981855170974,0.15091118350234414,0.07201004126558644,0.14898943054569483,0.0603339227221587,0.07270868440554738,0.06527647405480903,0.07197728456387388,0.03535585955257731
SV_VAL_1,0.014763529178345072,-0.2310314583690407,1.0,0.337192966458533,-0.011967536204872153,-0.021332650029499627,-0.02185110693244122,-0.02362032708493606,-0.027937288232662408,-0.02946106200419549,-0.01550318737618015,-0.014360179930989314,-0.008725112491185663,-0.030337746117378078,-0.022493490867729893,-0.01820641928463172,-0.01229094233359752,-0.01838783305133193,-0.026578528251493577,-0.015145398300835352,-0.016281299549080603,-0.034422906994924354,-0.015434217389947505,-0.03213502867920412,-0.01813887337156396,-0.008026900701310116,-0.0023813725978600493,-0.006771352471491721,0.013298364066163157,-0.011239052784913443,-0.0073785272384802114,-0.0036794715263610083
SV_VAL_2,-0.09862821509276369,-0.22224708929810144,0.337192966458533,1.0,-0.021571924108684477,-0.021806751794307588,-0.014247442874323035,-0.03081339389905787,-0.020881922569401575,-0.02105188735232987,-0.021243527188845226,-0.022828621425057982,-0.018858591771849027,-0.016040532462440263,-0.01682849759307492,-0.021273118075703305,-0.01792064709986341,-0.025930561508134744,-0.015010860178434653,-0.018466499670690233,-0.03227303176487443,-0.020576580725717383,-0.013607508128099492,-0.019394261052384253,-0.02063536113628909,-0.008870559785532329,-0.018030468521816296,-0.008175466517939671,-0.008694697309877849,-0.007158395843427052,-0.007305532087348155,-0.0036430708231485597
V_VAL_1,-0.06558434085762613,0.05660590497793834,-0.011967536204872153,-0.021571924108684477,1.0,0.12224398975827959,0.13431428322291497,0.11545065741636179,0.10960643361938276,0.11281176407509903,0.06670642978834292,0.1276638950709904,0.08215354360515532,0.11425361705607245,0.11796043664921216,0.06885605403388084,0.06966848764285953,0.13921438657746035,0.057517845050595574,0.10016560995174893,0.08239425925846351,0.10252241796181451,0.07314679759610013,0.06301206373587485,0.09691840272079694,0.10836138749074667,0.07943740255701506,0.07086807895264399,0.06601064566228663,0.05041062913960569,-0.04790195877771827,0.028040550430331945
V_VAL_2,-0.08189770631209735,0.05899483669888336,-0.021332650029499627,-0.021806751794307588,0.12224398975827959,1.0,0.14760725694203372,0.06667047111692766,0.15251901650840857,0.13697206255544989,0.119985544850069,0.07635074445420957,0.09476864555422794,0.16586499485357953,0.14981477343172173,0.14691692453909527,0.07597264803830159,0.10700488424714262,0.10294128966154957,0.06900461949865949,0.05791130409417142,0.055604900665056516,0.07887017769053585,0.059559805659283795,0.06006512977449402,0.09829592828193216,0.11367540258285999,0.07019449596528132,0.08763066973616056,0.04597470711602557,0.008861676067976169,0.06403529200811643
V_VAL_3,-0.0673913393930707,0.06581625693796073,-0.02185110693244122,-0.014247442874323035,0.13431428322291497,0.14760725694203372,1.0,0.1298193668299171,0.07762635953079722,0.10079550757318954,0.10413232883122865,0.09242890677987528,0.1540231016454704,0.15040501652510985,0.1423084401718949,0.1268859605482386,0.12201715260086399,0.06916926567304375,0.10241686548790697,0.07537159855326425,0.13957734150727588,0.08716816569741123,0.11789224936920166,0.10786359036678775,0.12233070337067928,0.09961184008719293,0.08747742581730443,0.09361363313618098,0.036540684196837064,0.07578798382368616,0.015628959849366124,0.018933166958781448
V_VAL_4,-0.004797406695699629,0.08022390620631582,-0.02362032708493606,-0.03081339389905787,0.11545065741636179,0.06667047111692766,0.1298193668299171,1.0,0.14652171460572158,0.13825904038545794,0.11472406988514182,0.09403091590139631,0.08724981147432713,0.12378238715932478,0.1447447316860028,0.08956297065455546,0.0828995856001756,0.09676260540877672,0.061027038634705655,0.08309845590586112,0.10768577932992593,0.10154670924842718,0.08634910114509188,0.0695295969494997,0.12740697613783686,0.06545964884800017,0.0648268014095918,0.10071906178669059,0.028402592463274368,0.047794007976784264,0.022141691982915993,0.054553846159579006
V_VAL_5,-0.02925415296289754,0.07737196089685519,-0.027937288232662408,-0.020881922569401575,0.10960643361938276,0.15251901650840857,0.07762635953079722,0.14652171460572158,1.0,0.08012945669942352,0.05468906712502937,0.08698573412895168,0.007098791928776801,0.09763327027632135,0.1504458247873385,0.0761928649600627,0.12420309932696412,0.08580886224415314,0.16650034333875047,0.08259769206691299,0.03678860103326502,0.1445071476912382,0.07927578815837558,0.058304984528380795,0.10758223320846402,0.08480520090927834,0.08853893677348207,0.09014166074559361,0.07947722673323751,0.017638425970321166,0.012886462480243032,-0.0362404636795611
V_VAL_6,-0.06415075972803964,0.10430904600132537,-0.02946106200419549,-0.02105188735232987,0.11281176407509903,0.13697206255544989,0.10079550757318954,0.13825904038545794,0.08012945669942352,1.0,0.12663167608448614,0.08340015413965583,0.11656741310173445,0.15123211846217174,0.08051809847534708,0.06415188891211496,0.10940915908067234,0.06440386995250197,0.16562424273154594,0.07109086246041521,0.09776896694593644,0.07885646881951464,0.09856217646882365,0.10319940480829923,0.14467027415996667,0.04756235743017188,0.12806164768881953,0.04589532539895944,0.08454555335629703,0.013068265776063511,0.030610853796487543,0.03227121300703202
