,min_Slack,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32
min_Slack,1.0,-0.20203754872794089,-0.2159761819146296,-0.1894904211651603,-0.13255216229587233,-0.20882013372693775,-0.10949368168480803,-0.21160515430861834,-0.19973763606961223,-0.1863604712050161,-0.1997949897466065,-0.14690308479790387,-0.11904965425401007,-0.194058561215949,-0.09435696707432009,-0.183808086171013,-0.19432547385253784,-0.18645551804119567,-0.19587036344446296,-0.19857521244078402,-0.11713976170686116,-0.18932680776894054,-0.11237515837361585,-0.19494084754277144,-0.1866546582050675,-0.17824205872551288,-0.18685905727494911,-0.1706308630655483,-0.12090799538765172,-0.1798395148917723,-0.10748593472047671,-0.18184225024805575
M_VAL_2,-0.20203754872794089,1.0,0.7605487860812825,0.6340367937501551,0.36493544396668665,0.8428619771444561,0.31950884821062775,0.8118521843698107,0.7922126956778368,0.7647889424416051,0.7936994858176922,0.5328867246616525,0.39217998656183717,0.8189169684511296,0.30776241308955377,0.7801577249787404,0.7789529074148496,0.764717390640448,0.8012935890620893,0.707610924580387,0.40253011886260864,0.8111007607166505,0.3468524086415071,0.8092583902914403,0.7903713602409419,0.7720211772947374,0.7826375211009442,0.6554724628084376,0.4040233865722617,0.7852654801477216,0.39119021379911356,0.776850263156753
M_VAL_3,-0.2159761819146296,0.7605487860812825,1.0,0.5840265376376826,0.34065421484844555,0.8027508893895611,0.385611677964225,0.7728015129173785,0.7922960649880482,0.7380140069751391,0.7860444634680269,0.4762780019750532,0.3200148041636632,0.7548240944177461,0.3310570191857574,0.683805341581667,0.7858411474986864,0.7317207949234212,0.7859772636495322,0.638782313593245,0.34379753208044833,0.7389673776575746,0.47977458259228606,0.7640998809971099,0.7367636975475772,0.6970854534048567,0.769669013772618,0.562500113675835,0.36170412053688067,0.7160262921559516,0.434593352078729,0.7201173645371876
M_VAL_4,-0.1894904211651603,0.6340367937501551,0.5840265376376826,1.0,0.34432478532631317,0.7523629941911363,0.16698832808873557,0.7024144367607823,0.663720389796653,0.6163328428296516,0.5982525034108664,0.6346926233465134,0.3063568168338489,0.7474359904769542,0.21518631464806867,0.662448566886838,0.6082998438687722,0.6403351696270237,0.6091268468026396,0.7307236292460796,0.41850929229021905,0.7408687316763162,0.3058189221134859,0.6937350372195605,0.6463384986028491,0.6406850025066081,0.5758560004440973,0.6476098843805413,0.41720743166036867,0.7002261714364264,0.30690105094107717,0.6805940466416185
M_VAL_5,-0.13255216229587233,0.36493544396668665,0.34065421484844555,0.34432478532631317,1.0,0.38853331866852325,0.13383669704312698,0.38182543831020066,0.3162061228747065,0.3739309602382391,0.36460346141482897,0.3536267902432717,0.2686831200209546,0.3786641798148175,0.33335162131308493,0.3729756738923166,0.33857540732865643,0.3493794349219215,0.31879268364164004,0.3801912972519421,0.3656682215864191,0.3646668051838013,0.19190683764706518,0.3413500808940284,0.2833435628733793,0.3825980361337302,0.3702985611663772,0.3454759065860167,0.21910501375552532,0.34406684049329705,0.17873383752431748,0.36307447416649785
M_VAL_6,-0.20882013372693775,0.8428619771444561,0.8027508893895611,0.7523629941911363,0.38853331866852325,1.0,0.31260286197280396,0.8962084545737188,0.8624371570784253,0.858413424216326,0.8361034835656453,0.6763783026258775,0.3678273659896282,0.9452300027162118,0.308691041614186,0.8730361658671962,0.8351836104815362,0.8648671842186378,0.8407527661206826,0.8000121714310947,0.44759099826019866,0.944940387286779,0.40444524042812063,0.895474115249219,0.878076083324306,0.8631517932342044,0.8472374188700723,0.7588009175054684,0.41916347087372713,0.918577764429884,0.39883668363264835,0.8882836803830417
M_VAL_7,-0.10949368168480803,0.31950884821062775,0.385611677964225,0.16698832808873557,0.13383669704312698,0.31260286197280396,1.0,0.28527761707913435,0.34131352513709196,0.28349371066612605,0.3315882784841523,0.11037326874331217,0.1454934785014137,0.27391082817187085,0.2347478821719528,0.2736432217384944,0.2219413627157475,0.2746702717405206,0.37221194939513397,0.28086097182644865,0.17418058227173266,0.23088169588222732,0.2512520914353694,0.329782507608379,0.28137723927654945,0.29607644472101763,0.36767426819915533,0.2298955906496348,0.13950043147617563,0.2356216071315462,0.16727178222273917,0.27039760773469107
M_VAL_8,-0.21160515430861834,0.8118521843698107,0.7728015129173785,0.7024144367607823,0.38182543831020066,0.8962084545737188,0.28527761707913435,1.0,0.8057584585148929,0.7897214292521179,0.7873484016791351,0.6208828863906986,0.36989971621837636,0.863992042450906,0.3029969945677583,0.800535554797801,0.7605517845843476,0.794719378243485,0.7883008841692914,0.785748152748634,0.4512575186200774,0.8558738863046708,0.4361409106558776,0.8467981070744826,0.8098402915604959,0.7672574037618002,0.8023317582281443,0.7286300503500592,0.4449766058183934,0.8224731045497038,0.381099520113386,0.79717736335096
M_VAL_9,-0.19973763606961223,0.7922126956778368,0.7922960649880482,0.663720389796653,0.3162061228747065,0.8624371570784253,0.34131352513709196,0.8057584585148929,1.0,0.7790780281649642,0.7893525389465164,0.5333775343623166,0.35748036586890125,0.8488935019124971,0.32311685461901124,0.7797722393778947,0.7695411813222098,0.7923670382319677,0.8407530484951828,0.7209609919620641,0.42420372689613134,0.8407015236004146,0.4734080579690517,0.8266517101489753,0.8237990283509499,0.7688986110309153,0.8065176797250313,0.6316465361356238,0.40133162145093804,0.8032099708501975,0.4076339063596209,0.7882184579072845
M_VAL_10,-0.1863604712050161,0.7647889424416051,0.7380140069751391,0.6163328428296516,0.3739309602382391,0.858413424216326,0.28349371066612605,0.7897214292521179,0.7790780281649642,1.0,0.7623969476261245,0.5674968135124596,0.3357280443738281,0.8582307742283924,0.2874730446615601,0.804210558666654,0.7808206460250158,0.7885541339751931,0.7811299749441392,0.689049949878068,0.40716631400394726,0.8391647854364134,0.3555352125664105,0.8058641142221886,0.8056167030759505,0.8150144227769183,0.8056566007132826,0.6750427919416884,0.4000126822071199,0.839363020344046,0.35701218824929526,0.8001734174251552
