inputName,val
values_27,69
values_84,-85
values_65,80
values_96,16
values_28,-52
values_54,95
values_15,-40
values_87,-4
values_59,-86
values_5,64
values_92,98
values_0,-70
values_77,57
values_17,101
values_12,-10
values_33,-69
values_25,-70
values_19,-121
values_97,-60
values_81,61
values_8,82
values_73,-58
values_89,-44
values_82,-61
values_34,114
values_70,68
values_29,3
values_51,114
values_57,61
values_88,-118
values_23,83
values_45,119
values_66,-15
values_36,-71
values_56,111
values_26,36
values_43,-15
values_52,-62
values_98,30
values_61,76
values_44,-100
values_68,20
values_41,-9
values_85,-35
values_79,84
values_71,45
values_63,-40
values_20,86
values_74,22
values_72,-23
values_86,-105
values_75,57
values_55,33
values_14,15
values_47,-38
values_91,-29
values_64,-125
values_11,22
values_49,-18
values_62,-35
values_80,-121
values_39,112
values_90,77
values_53,125
values_94,93
values_7,-119
values_31,-34
values_93,9
values_38,35
values_58,101
values_78,-38
values_50,112
values_3,6
values_13,43
values_83,-86
values_1,-108
values_21,97
values_32,53
values_22,52
values_9,-90
values_6,108
values_76,44
values_18,-30
values_16,58
values_40,-75
values_2,47
values_60,-38
values_99,68
values_48,-32
values_69,-98
values_46,-8
values_24,-112
values_95,109
values_42,-66
values_37,17
values_10,41
values_67,-109
values_35,-85
values_30,-89
values_4,-36
