inputName,size,arr[size]
values_27,16,"{82, 49, 17, 41, 8, 99, 107, 38, 107, 68, 65, 82, 87, 114, 102, 31"
values_84,6,"{14, 114, 94, 27, 64, 69"
values_65,14,"{32, 16, 113, 56, 77, 8, 38, 94, 62, 66, 111, 81, 86, 87"
values_96,7,"{8, 108, 48, 16, 15, 68, 59"
values_28,15,"{103, 11, 79, 110, 78, 43, 19, 36, 50, 88, 40, 68, 62, 70, 5"
values_54,28,"{33, 53, 95, 101, 65, 111, 90, 81, 10, 105, 24, 65, 62, 53, 104, 89, 24, 108, 31, 105, 107, 108, 34, 32, 89, 47, 98, 96"
values_15,7,"{59, 13, 86, 25, 44, 113, 15"
values_87,20,"{93, 72, 86, 14, 7, 19, 3, 41, 75, 18, 84, 5, 102, 113, 9, 39, 52, 82, 59, 60"
values_59,16,"{75, 10, 6, 22, 97, 51, 27, 109, 89, 21, 49, 45, 77, 22, 98, 102"
values_5,14,"{62, 31, 66, 66, 68, 57, 21, 96, 92, 14, 98, 81, 43, 67"
values_92,19,"{24, 60, 111, 40, 33, 101, 69, 109, 104, 27, 112, 52, 70, 36, 67, 65, 85, 76, 2"
values_0,21,"{7, 84, 109, 17, 70, 26, 58, 3, 76, 105, 53, 114, 25, 49, 92, 67, 24, 65, 109, 6, 30"
values_77,7,"{110, 55, 84, 79, 62, 4, 14"
values_17,12,"{84, 107, 48, 4, 29, 18, 34, 110, 47, 115, 14, 110"
values_12,2,"{10, 69"
values_33,14,"{94, 34, 5, 83, 23, 87, 114, 63, 112, 64, 110, 16, 12, 61"
values_25,7,"{44, 60, 81, 61, 54, 102, 91"
values_19,22,"{107, 106, 109, 22, 5, 31, 91, 83, 90, 111, 92, 54, 6, 59, 71, 70, 47, 103, 54, 13, 107, 18"
values_97,4,"{114, 113, 20, 59"
values_81,11,"{5, 82, 48, 26, 62, 27, 11, 10, 84, 109, 108"
values_8,23,"{109, 98, 15, 77, 84, 105, 76, 37, 12, 104, 30, 57, 6, 71, 88, 44, 53, 88, 63, 40, 7, 60, 50"
