id,clockCycles,assemblyInstr
values_27,183,
values_84,39,
values_65,126,
values_96,48,
values_28,231,
values_54,606,
values_15,51,
values_87,324,
values_59,177,
values_5,156,
values_92,312,
values_0,381,
values_77,72,
values_17,123,
values_12,6,
values_33,189,
values_25,36,
values_19,471,
values_97,27,
values_81,90,
values_8,546,
values_73,18,
values_89,99,
values_82,369,
values_34,288,
values_70,738,
values_29,237,
values_51,729,
values_57,426,
values_88,147,
values_23,375,
values_45,366,
values_66,114,
values_36,246,
values_56,144,
values_26,531,
values_43,345,
values_52,96,
values_98,342,
values_61,489,
values_44,375,
values_68,168,
values_41,15,
values_85,111,
values_79,210,
values_71,66,
values_63,429,
values_20,30,
values_74,183,
values_72,639,
values_86,120,
values_75,282,
values_55,225,
values_14,507,
values_47,282,
values_91,495,
values_64,186,
values_11,51,
values_49,180,
values_62,459,
values_80,99,
values_39,336,
values_90,357,
values_53,9,
values_94,399,
values_7,60,
values_31,102,
values_93,132,
values_38,399,
values_58,108,
values_78,189,
values_50,249,
values_3,210,
values_13,213,
values_83,147,
values_1,486,
values_21,567,
values_32,54,
values_22,171,
values_9,9,
values_6,138,
values_76,42,
values_18,165,
values_16,51,
values_40,426,
values_2,246,
values_60,135,
values_99,102,
values_48,474,
values_69,9,
values_46,60,
values_24,21,
values_95,279,
values_42,102,
values_37,18,
values_10,648,
values_67,567,
values_35,348,
values_30,405,
values_4,450,
