id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,65,,68,0.956
values_84,7281,,3852,1.890
values_65,2654,,1440,1.843
values_96,3399,,1841,1.846
values_28,9105,,4781,1.904
values_54,8479,,4462,1.900
values_15,2321,,1265,1.835
values_87,2008,,1098,1.829
values_59,7862,,4146,1.896
values_5,7866,,4137,1.901
values_92,2011,,1112,1.808
values_0,5636,,2986,1.887
values_77,606,,370,1.638
values_17,8469,,4447,1.904
values_12,216,,154,1.403
values_33,6167,,3261,1.891
values_25,2014,,1111,1.813
values_19,1203,,682,1.764
values_97,4677,,2497,1.873
values_81,5641,,2992,1.885
values_8,1202,,679,1.770
values_73,605,,366,1.653
values_89,1715,,952,1.801
values_82,779,,456,1.708
values_34,126,,106,1.189
values_70,2317,,1270,1.824
values_29,126,,104,1.212
values_51,5159,,2737,1.885
values_57,6703,,3540,1.894
values_88,321,,213,1.507
values_23,7871,,4140,1.901
values_45,321,,211,1.521
values_66,1202,,683,1.760
values_36,65,,68,0.956
values_56,452,,282,1.603
values_26,9122,,4788,1.905
values_43,612,,368,1.663
values_52,604,,365,1.655
values_98,1204,,687,1.753
values_61,6177,,3276,1.886
values_44,2005,,1106,1.813
values_68,1209,,692,1.747
values_41,322,,213,1.512
values_85,126,,106,1.189
values_79,215,,153,1.405
values_71,5645,,2995,1.885
values_63,981,,563,1.742
values_20,606,,367,1.651
values_74,9102,,4775,1.906
values_72,609,,367,1.659
values_86,6716,,3553,1.890
values_75,7862,,4142,1.898
values_55,2667,,1455,1.833
values_14,322,,213,1.512
values_47,8476,,4449,1.905
values_91,3805,,2038,1.867
values_64,5645,,2987,1.890
values_11,9091,,4766,1.907
values_49,605,,366,1.653
values_62,65,,69,0.942
values_80,323,,213,1.516
values_39,322,,214,1.505
values_90,603,,361,1.670
values_53,453,,283,1.601
values_94,65,,68,0.956
values_7,3406,,1843,1.848
values_31,4692,,2515,1.866
values_93,323,,214,1.509
values_38,8460,,4449,1.902
values_58,7875,,4160,1.893
values_78,3388,,1830,1.851
values_50,7867,,4145,1.898
values_3,981,,566,1.733
values_13,9108,,4777,1.907
values_83,3394,,1828,1.857
values_1,6162,,3254,1.894
values_21,126,,105,1.200
values_32,4223,,2258,1.870
values_22,781,,458,1.705
values_9,975,,562,1.735
values_6,784,,462,1.697
values_76,609,,366,1.664
values_18,3810,,2049,1.859
values_16,1718,,956,1.797
values_40,2312,,1267,1.825
values_2,2319,,1275,1.819
values_60,983,,572,1.719
values_99,3024,,1628,1.857
values_48,2001,,1105,1.811
values_69,3403,,1836,1.853
values_46,3397,,1822,1.864
values_24,5654,,2992,1.890
values_95,984,,570,1.726
values_42,4673,,2494,1.874
values_37,4234,,2265,1.869
values_10,3808,,2039,1.868
values_67,126,,104,1.212
values_35,778,,455,1.710
values_30,127,,106,1.198
values_4,3404,,1830,1.860
