id,cInstr
values_27,68
values_84,3852
values_65,1440
values_96,1841
values_28,4781
values_54,4462
values_15,1265
values_87,1098
values_59,4146
values_5,4137
values_92,1112
values_0,2986
values_77,370
values_17,4447
values_12,154
values_33,3261
values_25,1111
values_19,682
values_97,2497
values_81,2992
values_8,679
values_73,366
values_89,952
values_82,456
values_34,106
values_70,1270
values_29,104
values_51,2737
values_57,3540
values_88,213
values_23,4140
values_45,211
values_66,683
values_36,68
values_56,282
values_26,4788
values_43,368
values_52,365
values_98,687
values_61,3276
values_44,1106
values_68,692
values_41,213
values_85,106
values_79,153
values_71,2995
values_63,563
values_20,367
values_74,4775
values_72,367
values_86,3553
values_75,4142
values_55,1455
values_14,213
values_47,4449
values_91,2038
values_64,2987
values_11,4766
values_49,366
values_62,69
values_80,213
values_39,214
values_90,361
values_53,283
values_94,68
values_7,1843
values_31,2515
values_93,214
values_38,4449
values_58,4160
values_78,1830
values_50,4145
values_3,566
values_13,4777
values_83,1828
values_1,3254
values_21,105
values_32,2258
values_22,458
values_9,562
values_6,462
values_76,366
values_18,2049
values_16,956
values_40,1267
values_2,1275
values_60,572
values_99,1628
values_48,1105
values_69,1836
values_46,1822
values_24,2992
values_95,570
values_42,2494
values_37,2265
values_10,2039
values_67,104
values_35,455
values_30,106
values_4,1830
