id,cInstr
values_27,1892
values_84,1136
values_65,2086
values_96,1270
values_28,598
values_54,2638
values_15,2294
values_87,2388
values_59,3028
values_5,1702
values_92,62
values_0,2376
values_77,2650
values_17,290
values_12,314
values_33,1080
values_25,206
values_19,182
values_97,3048
values_81,190
values_8,472
values_73,180
values_89,742
values_82,1206
values_34,1992
values_70,3318
values_29,966
values_51,64
values_57,182
values_88,2424
values_23,866
values_45,192
values_66,2622
values_36,1720
values_56,1580
values_26,860
values_43,136
values_52,2428
values_98,860
values_61,2474
values_44,270
values_68,1522
values_41,3336
values_85,2716
values_79,118
values_71,20
values_63,2466
values_20,542
values_74,2654
values_72,198
values_86,2808
values_75,1788
values_55,206
values_14,444
values_47,2110
values_91,66
values_64,70
values_11,428
values_49,1402
values_62,1350
values_80,856
values_39,80
values_90,1676
values_53,3062
values_94,850
values_7,2316
values_31,256
values_93,1626
values_38,1552
values_58,72
values_78,452
values_50,654
values_3,992
values_13,2062
values_83,740
values_1,28
values_21,2448
values_32,374
values_22,1520
values_9,1654
values_6,940
values_76,54
values_18,682
values_16,464
values_40,2894
values_2,2508
values_60,2874
values_99,3268
values_48,1932
values_69,1284
values_46,1684
values_24,2056
values_95,100
values_42,332
values_37,1448
values_10,1470
values_67,3336
values_35,312
values_30,216
values_4,110
