,FUNCTION,Column1,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function_1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,DSP
0,insertionsort,2100,1.231233333,35.25,103,53,130193.92,507,0.03,3693.7,7233,370,137,156,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,330,1.231233333,17,0,0,-85,41,1,11,-67,105,92,126,-36,8,115,-95,-44,9,-70,-126,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,insertionsort,2101,1.28692,35.01,109,53,135162.06,526,0.03,3860.76,7509,382,144,162,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,612,1.28692,24,0,0,-42,-106,-57,88,26,102,68,114,-37,111,-18,103,1,117,-125,6,-108,114,-98,38,-107,-12,-114,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,insertionsort,2102,1.190346667,36.06,97,53,128778.2,494,0.03,3571.04,7154.34,362,132,150,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,129,1.190346667,12,0,0,-115,-94,28,30,-43,88,30,-69,23,43,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,insertionsort,2103,1.29493,34.38,111,53,133552.69,528,0.03,3884.79,7419.59,384,144,164,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,636,1.29493,24,0,0,67,-34,31,-62,91,-101,18,21,-124,100,-72,-109,-10,37,13,23,-108,-80,-122,-97,-77,-100,88,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,insertionsort,2104,1.266693333,34.92,107,53,132700.95,519,0.03,3800.08,7372.27,378,141,160,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,501,1.266693333,21,0,0,-28,-52,101,117,91,-81,79,-88,6,-88,-125,53,-101,-17,16,11,-111,37,-97,-50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,insertionsort,2105,1.253816667,35.08,105,53,131955.15,515,0.03,3761.45,7330.84,376,139,158,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,345,1.253816667,19,0,0,-103,95,-37,-109,10,-23,45,63,104,-63,-94,-53,-107,-12,-109,89,-14,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,insertionsort,2106,1.21113,35.16,101,53,127744.35,500,0.03,3633.39,7096.91,366,134,154,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,228,1.21113,14,0,0,-19,109,97,-120,88,-117,53,-118,-85,38,-78,83,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,insertionsort,2107,1.298276667,34.93,110,53,136053.35,530,0.03,3894.83,7558.52,385,145,163,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,630,1.298276667,25,0,0,-26,-55,-13,-64,-14,44,-23,73,15,58,-29,-65,-55,96,40,-72,-117,33,-69,111,-97,-96,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,insertionsort,2108,1.31676,34.4,114,53,135903.55,535,0.03,3950.28,7550.2,387,148,167,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,609,1.31676,28,0,0,1,-62,-119,30,-43,46,29,-66,-24,-8,6,-78,-67,16,55,81,-4,116,51,3,69,-59,-47,31,124,61,-44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,insertionsort,2109,1.249813333,35.16,104,53,131843.12,514,0.03,3749.44,7324.62,376,138,157,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,375,1.249813333,18,0,0,119,73,-16,-7,99,-91,-112,-45,-107,-6,-73,45,94,-123,-66,-56,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,insertionsort,2110,1.140016667,36.11,91,53,123497.78,477,0.03,3420.05,6860.99,353,124,144,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,39,1.140016667,4,0,0,-16,22,-69,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,insertionsort,2111,1.224813333,35.33,102,53,129830.31,505,0.03,3674.44,7212.8,369,136,155,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,249,1.224813333,16,0,0,12,15,-53,-11,-112,-95,34,92,44,-72,-20,101,-97,16,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,insertionsort,2112,1.26269,35.5,106,53,134476.6,518,0.03,3788.07,7470.92,376,142,159,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,495,1.26269,22,0,0,21,98,104,-28,-69,69,78,69,97,2,-11,-46,76,-80,122,28,113,-82,-29,112,-46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,insertionsort,2113,1.165526667,35.43,95,53,123871.12,485,0.03,3496.58,6881.73,358,127,148,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,72,1.165526667,7,0,0,-116,37,-108,99,-55,-90,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,insertionsort,2114,1.171913333,35.33,96,53,124222.64,487,0.03,3515.74,6901.26,359,128,149,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,81,1.171913333,8,0,0,43,-125,-97,-109,-116,-19,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,insertionsort,2115,1.137626667,36.11,91,53,123238.88,476,0.03,3412.88,6846.6,352,124,144,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,36,1.137626667,4,0,0,-45,31,62,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,insertionsort,2116,1.264253333,34.67,107,53,131505.93,518,0.03,3792.76,7305.89,378,140,160,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,435,1.264253333,20,0,0,-35,84,-6,-115,2,126,100,-97,-53,122,-20,-43,67,-120,-38,48,-8,5,-9,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,insertionsort,2117,1.132846667,35.82,91,53,121731.38,474,0.03,3398.54,6762.85,351,123,144,22,3,6,3,2,0,9,2,2,1,5,5,2,2,100,0,0,1,3,1,24,1.132846667,3,0,0,-43,48,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
