,FUNCTION,BugsDelivered,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,VocabularySize,DecisionPoint,GlobalVariables,If,Goto,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Flip_Flop
0,insertionsort,1.231233333,103,53,130193.92,507,0.03,3693.7,7233.0,370,156,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,330.0,1.231233333,17,0,0,-85,41,1,11,-67,105,92,126,-36,8,115,-95,-44,9,-70,-126,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
1,insertionsort,1.28692,109,53,135162.06,526,0.03,3860.76,7509.0,382,162,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,612.0,1.28692,24,0,0,-42,-106,-57,88,26,102,68,114,-37,111,-18,103,1,117,-125,6,-108,114,-98,38,-107,-12,-114,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
2,insertionsort,1.190346667,97,53,128778.2,494,0.03,3571.04,7154.34,362,150,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,129.0,1.190346667,12,0,0,-115,-94,28,30,-43,88,30,-69,23,43,110,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
3,insertionsort,1.29493,111,53,133552.69,528,0.03,3884.79,7419.59,384,164,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,636.0,1.29493,24,0,0,67,-34,31,-62,91,-101,18,21,-124,100,-72,-109,-10,37,13,23,-108,-80,-122,-97,-77,-100,88,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
4,insertionsort,1.266693333,107,53,132700.95,519,0.03,3800.08,7372.27,378,160,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,501.0,1.266693333,21,0,0,-28,-52,101,117,91,-81,79,-88,6,-88,-125,53,-101,-17,16,11,-111,37,-97,-50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
5,insertionsort,1.253816667,105,53,131955.15,515,0.03,3761.45,7330.84,376,158,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,345.0,1.253816667,19,0,0,-103,95,-37,-109,10,-23,45,63,104,-63,-94,-53,-107,-12,-109,89,-14,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
6,insertionsort,1.21113,101,53,127744.35,500,0.03,3633.39,7096.91,366,154,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,228.0,1.21113,14,0,0,-19,109,97,-120,88,-117,53,-118,-85,38,-78,83,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
7,insertionsort,1.298276667,110,53,136053.35,530,0.03,3894.83,7558.52,385,163,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,630.0,1.298276667,25,0,0,-26,-55,-13,-64,-14,44,-23,73,15,58,-29,-65,-55,96,40,-72,-117,33,-69,111,-97,-96,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
8,insertionsort,1.31676,114,53,135903.55,535,0.03,3950.28,7550.2,387,167,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,609.0,1.31676,28,0,0,1,-62,-119,30,-43,46,29,-66,-24,-8,6,-78,-67,16,55,81,-4,116,51,3,69,-59,-47,31,124,61,-44,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
9,insertionsort,1.249813333,104,53,131843.12,514,0.03,3749.44,7324.62,376,157,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,375.0,1.249813333,18,0,0,119,73,-16,-7,99,-91,-112,-45,-107,-6,-73,45,94,-123,-66,-56,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
10,insertionsort,1.140016667,91,53,123497.78,477,0.03,3420.05,6860.99,353,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,39.0,1.140016667,4,0,0,-16,22,-69,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
11,insertionsort,1.224813333,102,53,129830.31,505,0.03,3674.44,7212.8,369,155,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,249.0,1.224813333,16,0,0,12,15,-53,-11,-112,-95,34,92,44,-72,-20,101,-97,16,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
12,insertionsort,1.26269,106,53,134476.6,518,0.03,3788.07,7470.92,376,159,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,495.0,1.26269,22,0,0,21,98,104,-28,-69,69,78,69,97,2,-11,-46,76,-80,122,28,113,-82,-29,112,-46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
13,insertionsort,1.165526667,95,53,123871.12,485,0.03,3496.58,6881.73,358,148,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,72.0,1.165526667,7,0,0,-116,37,-108,99,-55,-90,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
14,insertionsort,1.171913333,96,53,124222.64,487,0.03,3515.74,6901.26,359,149,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,81.0,1.171913333,8,0,0,43,-125,-97,-109,-116,-19,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
15,insertionsort,1.137626667,91,53,123238.88,476,0.03,3412.88,6846.6,352,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,36.0,1.137626667,4,0,0,-45,31,62,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
16,insertionsort,1.264253333,107,53,131505.93,518,0.03,3792.76,7305.89,378,160,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,435.0,1.264253333,20,0,0,-35,84,-6,-115,2,126,100,-97,-53,122,-20,-43,67,-120,-38,48,-8,5,-9,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
17,insertionsort,1.132846667,91,53,121731.38,474,0.03,3398.54,6762.85,351,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,24.0,1.132846667,3,0,0,-43,48,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
18,insertionsort,1.204726667,100,53,126423.99,498,0.03,3614.18,7023.55,366,153,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,150.0,1.204726667,12,0,0,44,-107,-70,-53,24,-7,-65,-33,-26,-98,100,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
19,insertionsort,1.207146667,100,53,128597.21,499,0.03,3621.44,7144.29,365,153,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,210.0,1.207146667,14,0,0,114,70,-86,-45,121,-85,-110,68,78,-117,78,58,86,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
20,insertionsort,1.177446667,98,53,124172.62,488,0.03,3532.34,6898.48,358,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,132.0,1.177446667,10,0,0,35,22,97,39,2,58,80,-23,118,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
21,insertionsort,1.171913333,96,53,124222.64,487,0.03,3515.74,6901.26,359,149,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,114.0,1.171913333,8,0,0,123,18,-87,72,-117,-81,-84,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
22,insertionsort,1.130456667,91,53,121474.56,473,0.03,3391.37,6748.59,350,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,24.0,1.130456667,3,0,0,25,-85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
23,insertionsort,1.151946667,94,53,122755.95,480,0.03,3455.84,6819.77,354,147,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,60.0,1.151946667,6,0,0,68,-90,99,-75,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
24,insertionsort,1.23852,103,53,131920.24,510,0.03,3715.56,7328.9,372,156,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,309.0,1.23852,18,0,0,-64,65,-109,118,90,-17,7,-13,-18,-112,32,-90,88,85,73,96,88,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
25,insertionsort,1.1871,98,53,126153.43,492,0.03,3561.3,7008.52,361,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,150.0,1.1871,11,0,0,11,86,-108,35,-81,-112,8,85,65,122,-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
26,insertionsort,1.297383333,111,53,134734.84,529,0.03,3892.15,7485.27,384,164,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,546.0,1.297383333,25,0,0,75,-94,-61,-79,-110,-53,36,116,-46,-117,-78,64,84,-102,15,-126,18,36,48,-74,69,-30,44,38,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
27,insertionsort,1.1241,90,53,121140.49,471,0.03,3372.3,6730.03,349,143,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,18.0,1.1241,2,0,0,41,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
28,insertionsort,1.132846667,91,53,121731.38,474,0.03,3398.54,6762.85,351,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,24.0,1.132846667,3,0,0,-101,102,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
29,insertionsort,1.169506667,96,53,123967.56,486,0.03,3508.52,6887.09,358,149,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,111.0,1.169506667,8,0,0,93,31,-28,-23,75,85,-58,-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
30,insertionsort,1.194336667,98,53,125953.78,495,0.03,3583.01,6997.43,365,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,156.0,1.194336667,10,0,0,-2,-22,-45,-107,92,-121,-24,-35,-60,-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
31,insertionsort,1.21282,99,53,130506.77,502,0.03,3638.46,7250.38,368,152,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,228.0,1.21282,14,0,0,78,79,-47,-78,75,80,-9,-99,-114,-119,-1,100,100,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
32,insertionsort,1.24495,104,53,130378.44,512,0.03,3734.85,7243.25,375,157,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,318.0,1.24495,17,0,0,-101,-5,59,-66,70,-126,-35,-27,75,-112,-75,83,41,-90,-71,-22,-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
33,insertionsort,1.316116667,112,53,137328.5,536,0.03,3948.35,7629.36,389,165,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,573.0,1.316116667,27,0,0,-70,-99,66,-80,107,-21,91,101,-34,-34,-79,-21,108,117,-46,-19,0,-63,112,115,-56,-74,-29,-14,121,111,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
