inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 787, 66, 415, 198, 1202, 264, 9669.36, 668797.52, 0.01, 69.17, 37155.42, 2.55
values_84, 564, 66, 275, 112, 839, 178, 6272.14, 508211.37, 0.01, 81.03, 28233.97, 2.12
values_65, 959, 66, 527, 216, 1486, 282, 12095.37, 973845.54, 0.01, 80.51, 54102.53, 3.27
values_96, 1173, 66, 671, 227, 1844, 293, 15111.13, 1474034.31, 0.01, 97.55, 81890.79, 4.32
values_28, 788, 66, 415, 195, 1203, 261, 9657.57, 678258.63, 0.01, 70.23, 37681.04, 2.57
values_54, 635, 66, 320, 148, 955, 214, 7393.10, 527507.75, 0.01, 71.35, 29305.99, 2.18
values_15, 1052, 66, 595, 227, 1647, 293, 13496.76, 1167440.40, 0.01, 86.50, 64857.80, 3.70
values_87, 564, 66, 275, 112, 839, 178, 6272.14, 508211.37, 0.01, 81.03, 28233.97, 2.12
values_59, 638, 66, 320, 151, 958, 217, 7435.57, 519997.20, 0.01, 69.93, 28888.73, 2.16
values_5, 1071, 66, 595, 224, 1666, 290, 13627.73, 1194555.58, 0.01, 87.66, 66364.20, 3.75
values_92, 1153, 66, 671, 228, 1824, 294, 14956.20, 1452522.76, 0.01, 97.12, 80695.71, 4.28
values_0, 1057, 66, 595, 223, 1652, 289, 13504.98, 1189104.16, 0.01, 88.05, 66061.34, 3.74
values_77, 584, 66, 287, 124, 871, 190, 6593.34, 503593.25, 0.01, 76.38, 27977.40, 2.11
values_17, 1063, 66, 595, 222, 1658, 288, 13545.74, 1198065.40, 0.01, 88.45, 66559.19, 3.76
values_12, 1054, 66, 595, 220, 1649, 286, 13455.63, 1200914.78, 0.01, 89.25, 66717.49, 3.77
values_33, 949, 66, 527, 215, 1476, 281, 12006.41, 971179.22, 0.01, 80.89, 53954.40, 3.27
values_25, 776, 66, 415, 191, 1191, 257, 9534.70, 683652.88, 0.01, 71.70, 37980.72, 2.59
values_19, 1055, 66, 595, 222, 1650, 288, 13480.38, 1192284.63, 0.01, 88.45, 66238.03, 3.75
values_97, 1175, 66, 671, 226, 1846, 292, 15118.42, 1481270.30, 0.01, 97.98, 82292.79, 4.33
values_81, 563, 66, 275, 112, 838, 178, 6264.66, 507605.64, 0.01, 81.03, 28200.31, 2.12
values_8, 1047, 66, 595, 215, 1642, 281, 13356.73, 1219810.95, 0.01, 91.33, 67767.28, 3.81
values_73, 580, 66, 287, 124, 867, 190, 6563.06, 501280.54, 0.01, 76.38, 27848.92, 2.10
values_89, 563, 66, 275, 111, 838, 177, 6257.85, 511621.80, 0.01, 81.76, 28423.43, 2.13
values_82, 562, 66, 275, 111, 837, 177, 6250.39, 511011.28, 0.01, 81.76, 28389.52, 2.13
values_34, 957, 66, 527, 211, 1484, 277, 12040.79, 992423.87, 0.01, 82.42, 55134.66, 3.32
values_70, 582, 66, 287, 120, 869, 186, 6551.53, 517079.43, 0.01, 78.92, 28726.63, 2.15
values_29, 787, 66, 415, 192, 1202, 258, 9629.50, 686853.83, 0.01, 71.33, 38158.55, 2.59
values_51, 639, 66, 320, 153, 959, 219, 7456.02, 514611.63, 0.01, 69.02, 28589.54, 2.14
values_57, 637, 66, 320, 148, 957, 214, 7408.58, 528612.47, 0.01, 71.35, 29367.36, 2.18
values_88, 562, 66, 275, 111, 837, 177, 6250.39, 511011.28, 0.01, 81.76, 28389.52, 2.13
values_23, 779, 66, 415, 197, 1194, 263, 9598.47, 667264.15, 0.01, 69.52, 37070.23, 2.55
values_45, 682, 66, 352, 163, 1034, 229, 8105.74, 577645.63, 0.01, 71.26, 32091.42, 2.31
values_66, 957, 66, 527, 213, 1484, 279, 12056.20, 984362.93, 0.01, 81.65, 54686.83, 3.30
values_36, 960, 66, 527, 216, 1487, 282, 12103.51, 974500.89, 0.01, 80.51, 54138.94, 3.28
