id,clockCycles,assemblyInstr
values_27,2613,
values_84,73,
values_65,5080,
values_96,11565,
values_28,2270,
values_54,721,
values_15,6405,
values_87,73,
values_59,879,
values_5,12713,
values_92,12021,
values_0,15594,
values_77,255,
values_17,12712,
values_12,15678,
values_33,14199,
values_25,2479,
values_19,12632,
values_97,8985,
values_81,73,
values_8,7468,
values_73,170,
values_89,73,
values_82,73,
values_34,5213,
values_70,170,
values_29,2588,
values_51,882,
values_57,731,
values_88,49,
values_23,3049,
values_45,637,
values_66,9906,
values_36,4898,
values_56,886,
values_26,2148,
values_43,1661,
values_52,574,
values_98,12901,
values_61,5060,
values_44,1249,
values_68,6090,
values_41,1266,
values_85,73,
values_79,250,
values_71,216,
values_63,13119,
values_20,2703,
values_74,258,
values_72,169,
values_86,73,
values_75,257,
values_55,884,
values_14,11915,
values_47,10739,
values_91,9758,
values_64,10012,
values_11,7016,
values_49,899,
values_62,12356,
values_80,73,
values_39,4584,
values_90,9634,
values_53,582,
values_94,11102,
values_7,5977,
values_31,4873,
values_93,12888,
values_38,15395,
values_58,649,
values_78,258,
values_50,507,
values_3,6292,
values_13,15681,
values_83,74,
values_1,7373,
values_21,1582,
values_32,5214,
values_22,15120,
values_9,10847,
values_6,7791,
values_76,169,
values_18,6768,
values_16,13483,
values_40,1606,
values_2,14375,
values_60,13360,
values_99,9843,
values_48,10907,
values_69,5299,
values_46,1424,
values_24,2491,
values_95,12633,
values_42,911,
values_37,10925,
values_10,12369,
values_67,18607,
values_35,4909,
values_30,5629,
values_4,11864,
