inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 463, 45, 255, 55, 718, 100, 4770.29, 497627.85, 0.01, 104.32, 27645.99
values_84, 455, 45, 250, 51, 705, 96, 4642.40, 512029.25, 0.01, 110.29, 28446.07
values_65, 462, 45, 255, 55, 717, 100, 4763.64, 496934.77, 0.01, 104.32, 27607.49
values_96, 460, 45, 254, 55, 714, 100, 4743.71, 492914.94, 0.01, 103.91, 27384.16
values_28, 460, 45, 255, 56, 715, 101, 4760.62, 487751.15, 0.01, 102.46, 27097.29
values_54, 461, 45, 255, 56, 716, 101, 4767.28, 488433.32, 0.01, 102.46, 27135.18
values_15, 457, 45, 255, 54, 712, 99, 4720.10, 501510.83, 0.01, 106.25, 27861.71
values_87, 457, 45, 250, 51, 707, 96, 4655.57, 513481.82, 0.01, 110.29, 28526.77
values_59, 455, 45, 250, 52, 705, 97, 4652.94, 503322.68, 0.01, 108.17, 27962.37
values_5, 454, 45, 250, 51, 704, 96, 4635.81, 511302.97, 0.01, 110.29, 28405.72
values_92, 462, 45, 255, 56, 717, 101, 4773.94, 489115.49, 0.01, 102.46, 27173.08
values_0, 460, 45, 255, 55, 715, 100, 4750.36, 495548.62, 0.01, 104.32, 27530.48
values_77, 461, 45, 255, 56, 716, 101, 4767.28, 488433.32, 0.01, 102.46, 27135.18
values_17, 462, 45, 255, 55, 717, 100, 4763.64, 496934.77, 0.01, 104.32, 27607.49
values_12, 453, 45, 250, 51, 703, 96, 4629.23, 510576.69, 0.01, 110.29, 28365.37
values_33, 454, 45, 250, 52, 704, 97, 4646.34, 502608.75, 0.01, 108.17, 27922.71
values_25, 462, 45, 255, 56, 717, 101, 4773.94, 489115.49, 0.01, 102.46, 27173.08
values_19, 463, 45, 255, 56, 718, 101, 4780.60, 489797.65, 0.01, 102.46, 27210.98
values_97, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_81, 453, 45, 250, 51, 703, 96, 4629.23, 510576.69, 0.01, 110.29, 28365.37
values_8, 455, 45, 250, 51, 705, 96, 4642.40, 512029.25, 0.01, 110.29, 28446.07
values_73, 462, 45, 254, 56, 716, 101, 4767.28, 486517.89, 0.01, 102.05, 27028.77
values_89, 455, 45, 250, 50, 705, 95, 4631.75, 521071.67, 0.01, 112.50, 28948.43
values_82, 455, 45, 250, 51, 705, 96, 4642.40, 512029.25, 0.01, 110.29, 28446.07
values_34, 455, 45, 250, 52, 705, 97, 4652.94, 503322.68, 0.01, 108.17, 27962.37
values_70, 458, 45, 254, 55, 712, 100, 4730.43, 491534.22, 0.01, 103.91, 27307.46
values_29, 461, 45, 255, 56, 716, 101, 4767.28, 488433.32, 0.01, 102.46, 27135.18
values_51, 460, 45, 255, 55, 715, 100, 4750.36, 495548.62, 0.01, 104.32, 27530.48
