inputName,nn,size,isign,data[size]
values_27,7,10,-1,"{42, 24, -104, -88, 114, -9, -114, -1, 113, -101"
values_84,2,5,-1,"{22, -15, 115, -34, -31"
values_65,10,10,1,"{-78, -126, -21, 19, 73, 17, 68, -2, -27, -102"
values_96,2,9,0,"{-3, 24, -49, 12, 107, -42, -55, 40, -117"
values_28,7,10,0,"{51, -81, -66, 114, 94, 35, -81, 93, 86, -57"
values_54,10,10,-1,"{39, 17, -24, -124, 87, -89, 67, 126, -59, 114"
values_15,8,10,1,"{111, -124, 0, 36, 115, 52, 4, 58, 61, 107"
values_87,2,5,-1,"{-118, -100, -40, -72, -89"
values_59,10,5,-1,"{-82, -106, 19, -62, 107"
values_5,8,5,1,"{-85, 13, -48, 59, -97"
values_92,2,10,-1,"{-59, 53, -94, -100, 7, -86, 33, -29, 109, 76"
values_0,8,10,1,"{54, 76, 15, 9, 35, -96, -88, -100, 8, -59"
values_77,2,10,-1,"{-45, 84, 121, 114, -97, -120, -82, 56, 61, 113"
values_17,8,10,-1,"{-126, -101, 18, 112, 57, -82, 91, 60, -64, -59"
values_12,8,5,-1,"{38, -63, 80, 76, 9"
values_33,7,5,0,"{-88, 70, 62, -89, -82"
values_25,7,10,1,"{-63, 59, 41, -100, -55, -26, -21, -2, 27, 85"
values_19,8,10,-1,"{56, -98, 7, 61, -109, -65, -70, 73, -116, -54"
values_97,2,9,-1,"{59, -111, -85, 30, 49, 81, 91, 78, -112"
values_81,2,5,0,"{106, 115, -104, 67, -6"
values_8,8,5,0,"{-73, 22, -110, -109, -103"
values_73,10,9,0,"{-18, -14, -104, -56, -126, -23, 50, -112, 6"
values_89,2,5,-1,"{-118, -86, 111, 46, -1"
values_82,2,5,-1,"{92, -102, -96, 108, -28"
values_34,7,5,-1,"{-15, 19, 93, -43, -3"
values_70,10,9,1,"{-20, 17, 61, 30, 66, 23, 16, -95, -91"
values_29,7,10,-1,"{117, -86, -28, 93, -29, -96, 107, 118, 121, 1"
values_51,10,10,0,"{1, 107, -63, -91, 66, 90, -120, 61, 51, -106"
values_57,10,5,-1,"{-78, 59, 2, -123, -22"
values_88,2,5,0,"{-20, -126, 28, -35, -48"
values_23,8,9,0,"{-97, -5, -50, -12, -80, 36, 34, -65, 82"
values_45,7,9,1,"{-51, -111, 115, -67, 87, -17, 25, -44, -108"
values_66,10,10,0,"{-10, 39, -45, 63, 124, -107, -116, -61, -51, 30"
values_36,7,5,0,"{-35, 87, -122, 40, 94"
values_56,10,5,0,"{21, -65, 48, -111, -97"
values_26,7,10,0,"{-126, 91, 20, 93, 0, -28, 105, 124, -112, -125"
values_43,7,10,0,"{-66, -18, -114, 39, -93, 49, 115, 28, 44, -70"
values_52,10,10,-1,"{-27, -109, -96, -45, -37, 16, 72, 115, 124, -67"
values_98,2,9,0,"{-36, -64, -1, -72, -41, -111, -18, 10, 86"
values_61,10,5,0,"{18, 96, -47, 115, -54"
values_44,7,10,-1,"{37, -61, 105, 39, 79, -98, 21, -108, -56, 71"
values_68,10,10,0,"{-110, 125, 103, 36, 39, -104, 36, -53, -85, 119"
values_41,7,10,0,"{-72, 117, 92, 8, -6, 108, -90, 88, -2, -63"
values_85,2,5,1,"{22, -73, -58, -48, -91"
values_79,2,10,-1,"{-80, -38, -62, 113, 13, -103, -95, 67, 49, 85"
values_71,10,9,0,"{19, -55, 50, 7, -76, 68, 89, 62, 67"
values_63,10,5,0,"{49, -17, 80, 23, -111"
values_20,8,9,1,"{118, -123, 52, 22, 71, -6, -34, -110, 99"
